Samples	SBS1	SBS5	SBS10a	SBS10b	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40
ColoRect-AdenoCA::S.1	2338	0	685	0	0	0	5273	0	0	0
ColoRect-AdenoCA::S.2	1787	1134	0	0	0	0	3648	0	0	7611
ColoRect-AdenoCA::S.3	2171	1544	0	0	0	0	5889	0	0	0
ColoRect-AdenoCA::S.4	2243	1597	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.5	3967	312	0	0	0	0	0	0	0	23148
ColoRect-AdenoCA::S.6	1670	5360	0	0	0	0	0	0	0	11574
ColoRect-AdenoCA::S.7	2522	1922	0	0	0	0	4455	0	0	0
ColoRect-AdenoCA::S.8	2423	4839	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.9	2732	3278	0	0	0	0	4161	0	0	7284
ColoRect-AdenoCA::S.10	1153	1596	0	0	0	0	4572	0	2567	0
ColoRect-AdenoCA::S.11	2278	748	0	0	0	0	5192	0	0	9961
ColoRect-AdenoCA::S.12	2616	1146	0	0	0	1450	2731	0	0	0
ColoRect-AdenoCA::S.13	2884	538	0	0	0	0	3285	0	0	11659
ColoRect-AdenoCA::S.14	1500	0	0	0	0	0	0	0	0	21632
ColoRect-AdenoCA::S.15	1097	1826	0	0	0	0	3553	0	0	2691
ColoRect-AdenoCA::S.16	2392	5117	0	0	0	0	1748	0	0	0
ColoRect-AdenoCA::S.17	3391	0	0	0	0	0	4414	0	0	8517
ColoRect-AdenoCA::S.18	2321	4852	0	0	0	0	2011	0	0	6652
ColoRect-AdenoCA::S.19	2947	1707	1239	0	0	0	5809	0	0	4264
ColoRect-AdenoCA::S.20	1569	283	0	0	0	0	3210	0	0	10603
ColoRect-AdenoCA::S.21	3056	0	0	0	0	0	3302	0	0	8912
ColoRect-AdenoCA::S.22	2361	83	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.23	2393	6345	0	0	0	0	5022	0	0	0
ColoRect-AdenoCA::S.24	3243	5099	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.25	4244	0	0	0	0	0	0	0	0	8645
ColoRect-AdenoCA::S.26	3412	748	0	0	0	0	3370	0	0	9457
ColoRect-AdenoCA::S.27	3361	1629	0	0	0	5377	4449	0	0	0
ColoRect-AdenoCA::S.28	2771	0	0	0	0	0	2984	0	0	10933
ColoRect-AdenoCA::S.29	1685	4849	0	0	0	0	2969	0	0	0
ColoRect-AdenoCA::S.30	3718	3653	0	0	1904	0	6306	0	0	7051
ColoRect-AdenoCA::S.31	2390	4506	0	0	0	0	3419	0	0	5645
ColoRect-AdenoCA::S.32	3170	2293	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.33	1274	0	0	0	0	0	2311	0	0	10603
ColoRect-AdenoCA::S.34	2789	1366	0	0	0	0	0	0	0	9320
ColoRect-AdenoCA::S.35	4303	2607	0	0	0	0	3815	0	0	0
ColoRect-AdenoCA::S.36	3817	1487	1227	0	1836	0	8560	0	0	0
ColoRect-AdenoCA::S.37	3589	4700	0	0	0	0	0	0	0	11438
ColoRect-AdenoCA::S.38	2714	0	0	0	0	1537	1692	0	0	4876
ColoRect-AdenoCA::S.39	3761	0	0	0	0	0	9209	0	0	7681
ColoRect-AdenoCA::S.40	2521	1560	0	0	0	0	3410	0	0	0
ColoRect-AdenoCA::S.41	2610	0	0	0	0	0	0	0	0	15119
ColoRect-AdenoCA::S.42	1165	2000	0	0	772	0	3055	0	0	7967
