Sample Names	MutationType	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS11
Eso-AdenoCA::S.1	AC>CA	0.007028932242832378	0.0	0.0	0.0	0.0	0.6130390670209933	0.0	0.3799320007361742	0.0
Eso-AdenoCA::S.1	AC>CG	0.0051330585943334395	0.0	0.0	0.0	0.0	0.7193602532876008	0.0	0.2755066881180658	0.0
Eso-AdenoCA::S.1	AC>CT	0.0037938809112066513	0.0	0.0	0.0	0.0	0.29101035070889714	0.0	0.7051957683798963	0.0
Eso-AdenoCA::S.1	AC>GA	0.00848168101333598	0.0	0.0	0.0	0.0	0.24745956131323343	0.0	0.7440587576734307	0.0
Eso-AdenoCA::S.1	AC>GG	5.439649093498346e-16	0.0	0.0	0.0	0.0	0.2355147224834668	0.0	0.7644852775165326	0.0
Eso-AdenoCA::S.1	AC>GT	0.020862164820212456	0.0	0.0	0.0	0.0	0.23827132220983285	0.0	0.7408665129699548	0.0
Eso-AdenoCA::S.1	AC>TA	0.0377658270693499	0.0	0.0	0.0	0.0	0.09828656943555251	0.0	0.8639476034950977	0.0
Eso-AdenoCA::S.1	AC>TG	0.0004122207968373476	0.0	0.0	0.0	0.0	0.045978283813773765	0.0	0.9536094953893889	0.0
Eso-AdenoCA::S.1	AC>TT	0.07255492458598116	0.0	0.0	0.0	0.0	0.020836438910758835	0.0	0.90660863650326	0.0
Eso-AdenoCA::S.1	AT>CA	0.0020580987558106987	0.0	0.0	0.0	0.0	0.4295827306286107	0.0	0.5683591706155786	0.0
Eso-AdenoCA::S.1	AT>CC	7.052618843148308e-16	0.0	0.0	0.0	0.0	0.7525547580886711	0.0	0.24744524191132816	0.0
Eso-AdenoCA::S.1	AT>CG	5.28522469175852e-15	0.0	0.0	0.0	0.0	0.9999999999999851	0.0	9.608321616554766e-15	0.0
Eso-AdenoCA::S.1	AT>GA	0.010744390341088605	0.0	0.0	0.0	0.0	0.6544724590833388	0.0	0.3347831505755725	0.0
Eso-AdenoCA::S.1	AT>GC	0.000722495156908438	0.0	0.0	0.0	0.0	0.8155380640034596	0.0	0.18373944083963198	0.0
Eso-AdenoCA::S.1	AT>TA	0.014232211525117186	0.0	0.0	0.0	0.0	0.7508329053406696	0.0	0.23493488313421326	0.0
Eso-AdenoCA::S.1	CC>AA	1.0	0.0	0.0	0.0	0.0	8.877188013684535e-18	0.0	1.0241540126130657e-17	0.0
Eso-AdenoCA::S.1	CC>AG	0.769443833680635	0.0	0.0	0.0	0.0	0.0006254087452925188	0.0	0.22993075757407255	0.0
Eso-AdenoCA::S.1	CC>AT	0.8574116993314628	0.0	0.0	0.0	0.0	0.005191423069357882	0.0	0.13739687759917935	0.0
Eso-AdenoCA::S.1	CC>GA	0.6566709080801909	0.0	0.0	0.0	0.0	0.007962300924260502	0.0	0.33536679099554867	0.0
Eso-AdenoCA::S.1	CC>GG	0.10177606980817	0.0	0.0	0.0	0.0	0.32949198958987747	0.0	0.5687319406019524	0.0
Eso-AdenoCA::S.1	CC>GT	0.06907116633754273	0.0	0.0	0.0	0.0	0.007273575969346776	0.0	0.9236552576931104	0.0
Eso-AdenoCA::S.1	CC>TA	0.9659176136028239	0.0	0.0	0.0	0.0	3.8800212136082377e-16	0.0	0.034082386397175674	0.0
Eso-AdenoCA::S.1	CC>TG	0.018033465151261988	0.0	0.0	0.0	0.0	0.012761477193473184	0.0	0.9692050576552649	0.0
Eso-AdenoCA::S.1	CC>TT	0.23147519952631773	0.0	0.0	0.0	0.0	0.35684063799079774	0.0	0.4116841624828845	0.0
Eso-AdenoCA::S.1	CG>AT	0.8368996860939114	0.0	0.0	0.0	0.0	0.03213015870377575	0.0	0.1309701552023128	0.0
Eso-AdenoCA::S.1	CG>GC	0.721045807317713	0.0	0.0	0.0	0.0	0.2596782709741347	0.0	0.0192759217081523	0.0
Eso-AdenoCA::S.1	CG>GT	0.9299429828338355	0.0	0.0	0.0	0.0	0.01069208058865198	0.0	0.05936493657751246	0.0
Eso-AdenoCA::S.1	CG>TA	0.23147519952631773	0.0	0.0	0.0	0.0	0.35684063799079774	0.0	0.4116841624828845	0.0
Eso-AdenoCA::S.1	CG>TC	0.9372602229265935	0.0	0.0	0.0	0.0	0.015093718734033324	0.0	0.04764605833937306	0.0
Eso-AdenoCA::S.1	CG>TT	0.9840009823771936	0.0	0.0	0.0	0.0	0.003938316510851319	0.0	0.01206070111195512	0.0
Eso-AdenoCA::S.1	CT>AA	0.9999999999999958	0.0	0.0	0.0	0.0	2.002207148221425e-15	0.0	2.3099302186373698e-15	0.0
Eso-AdenoCA::S.1	CT>AC	0.22217880865271908	0.0	0.0	0.0	0.0	0.3826708817295966	0.0	0.3951503096176843	0.0
Eso-AdenoCA::S.1	CT>AG	0.29938347168920026	0.0	0.0	0.0	0.0	0.45668642894146516	0.0	0.24393009936933457	0.0
Eso-AdenoCA::S.1	CT>GA	0.004916291846946546	0.0	0.0	0.0	0.0	0.3610357656942266	0.0	0.6340479424588269	0.0
Eso-AdenoCA::S.1	CT>GC	0.00972710230527741	0.0	0.0	0.0	0.0	0.804751875091108	0.0	0.18552102260361455	0.0
Eso-AdenoCA::S.1	CT>GG	0.007821427197556604	0.0	0.0	0.0	0.0	0.24763905884482007	0.0	0.7445395139576233	0.0
Eso-AdenoCA::S.1	CT>TA	0.999999999999996	0.0	0.0	0.0	0.0	1.901504399052987e-15	0.0	2.193750270118722e-15	0.0
Eso-AdenoCA::S.1	CT>TC	0.0008536020143679713	0.0	0.0	0.0	0.0	0.9985980772472359	0.0	0.0005483207383960928	0.0
Eso-AdenoCA::S.1	CT>TG	0.9999999999999636	0.0	0.0	0.0	0.0	1.6479683668460842e-14	0.0	1.9939915921026908e-14	0.0
Eso-AdenoCA::S.1	GC>AA	0.9999999999999973	0.0	0.0	0.0	0.0	1.2651740910032674e-15	0.0	1.459621132229779e-15	0.0
