,Eso-AdenoCA::S.1,Eso-AdenoCA::S.2,Eso-AdenoCA::S.3,Eso-AdenoCA::S.4,Eso-AdenoCA::S.5,Eso-AdenoCA::S.6,Eso-AdenoCA::S.7,Eso-AdenoCA::S.8,Eso-AdenoCA::S.9,Eso-AdenoCA::S.10,Eso-AdenoCA::S.11,Eso-AdenoCA::S.12,Eso-AdenoCA::S.13,Eso-AdenoCA::S.14,Eso-AdenoCA::S.15,Eso-AdenoCA::S.16,Eso-AdenoCA::S.17,Eso-AdenoCA::S.18,Eso-AdenoCA::S.19,Eso-AdenoCA::S.20,Eso-AdenoCA::S.21,Eso-AdenoCA::S.22,Eso-AdenoCA::S.23,Eso-AdenoCA::S.24,Eso-AdenoCA::S.25,Eso-AdenoCA::S.26,Eso-AdenoCA::S.27,Eso-AdenoCA::S.28,Eso-AdenoCA::S.29,Eso-AdenoCA::S.30,Eso-AdenoCA::S.31,Eso-AdenoCA::S.32,Eso-AdenoCA::S.33,Eso-AdenoCA::S.34,Eso-AdenoCA::S.35,Eso-AdenoCA::S.36,Eso-AdenoCA::S.37,Eso-AdenoCA::S.38,Eso-AdenoCA::S.39,Eso-AdenoCA::S.40,Eso-AdenoCA::S.41,Eso-AdenoCA::S.42,Eso-AdenoCA::S.43,Eso-AdenoCA::S.44,Eso-AdenoCA::S.45,Eso-AdenoCA::S.46,Eso-AdenoCA::S.47,Eso-AdenoCA::S.48,Eso-AdenoCA::S.49,Eso-AdenoCA::S.50,Eso-AdenoCA::S.51,Eso-AdenoCA::S.52,Eso-AdenoCA::S.53,Eso-AdenoCA::S.54,Eso-AdenoCA::S.55,Eso-AdenoCA::S.56,Eso-AdenoCA::S.57,Eso-AdenoCA::S.58,Eso-AdenoCA::S.59,Eso-AdenoCA::S.60,Eso-AdenoCA::S.61,Eso-AdenoCA::S.62,Eso-AdenoCA::S.63,Eso-AdenoCA::S.64,Eso-AdenoCA::S.65,Eso-AdenoCA::S.66,Eso-AdenoCA::S.67,Eso-AdenoCA::S.68,Eso-AdenoCA::S.69,Eso-AdenoCA::S.70,Eso-AdenoCA::S.71,Eso-AdenoCA::S.72,Eso-AdenoCA::S.73,Eso-AdenoCA::S.74,Eso-AdenoCA::S.75,Eso-AdenoCA::S.76,Eso-AdenoCA::S.77,Eso-AdenoCA::S.78,Eso-AdenoCA::S.79,Eso-AdenoCA::S.80,Eso-AdenoCA::S.81,Eso-AdenoCA::S.82,Eso-AdenoCA::S.83,Eso-AdenoCA::S.84,Eso-AdenoCA::S.85,Eso-AdenoCA::S.86,Eso-AdenoCA::S.87,Eso-AdenoCA::S.88,Eso-AdenoCA::S.89,Eso-AdenoCA::S.90,Eso-AdenoCA::S.91,Eso-AdenoCA::S.92,Eso-AdenoCA::S.93,Eso-AdenoCA::S.94,Eso-AdenoCA::S.95,Eso-AdenoCA::S.96,Eso-AdenoCA::S.97,Eso-AdenoCA::S.98,Eso-AdenoCA::S.99,Eso-AdenoCA::S.100
SBS1,3603.6744426774053,269.4801339532717,1307.7789174526329,2676.6553400513976,2256.5625275094944,1322.4512618294582,902.8757946795778,2991.721240200757,1373.1984743834862,1110.9273802951734,3625.706698689793,3308.575881695639,2189.0872410883467,1429.6902757366054,3003.1676939017125,1729.1383537621057,1561.2421060560548,1394.7287510237093,1774.2594177812111,1172.308442051779,756.8378334235921,1564.7563576121345,1869.0865830362368,1188.6565689749448,867.8263442460461,887.0249510460056,2656.5288785675752,949.0705052747127,3703.580886915749,1010.2177140889071,1101.5941893482698,643.6085219305281,1545.670840962842,845.3411664653826,2184.8423150825483,1357.3572218080708,464.2880787841993,1804.6117756340732,2583.70973115417,1001.1553996095249,1106.5913449206244,2488.764481074575,3483.510677769081,783.2140939206947,3442.7862865876273,1349.809258054309,2085.605608353214,339.52591537184,1656.669426546268,518.4171370755116,944.1499854778008,2019.5590022568456,1182.802488973085,1029.0806856062,986.2477508628215,1867.030053790369,3042.7528295027064,2270.3751726957325,1074.5679496751661,1231.867472542205,3475.249592503934,2280.4099853066637,1144.4677522337008,1262.6718230989363,721.8551511683305,1261.3914152831373,1949.7459985573776,1642.5735698518765,2231.3057492814223,2252.589525614103,1179.4748480083563,1755.9145079655025,1192.7535919864895,1233.3989235783233,1402.542613664231,2255.866297427432,1681.3792128974928,743.8360235759867,2755.4279487021786,924.0892011271828,2003.4669028884093,5136.506586590842,657.1336190738863,1662.518498816157,504.32756018892064,904.6326676503159,2934.14975445078,731.2347665804331,1778.531110986042,0.0,2461.1559148971432,1641.4670877801664,1058.0084388818225,774.2868324632462,1331.7902917702122,1763.1765432534992,3530.5967208936627,1651.5533578448521,1024.5338961015532,1990.137022607311
SBS2,0.0,0.0,313.3328043163148,621.6735539775075,219.91110432226708,302.1319244053273,3109.6647356828844,0.0,328.23883625661335,0.0,0.0,2117.7872472499803,916.0513701662315,1817.3680914225667,0.0,1685.824710168648,0.0,0.0,0.0,539.352622109194,0.0,0.0,0.0,0.0,0.0,0.0,787.2981362282172,2005.1149330557523,2350.3694116624333,563.0422012187233,0.0,1275.389884900673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4556.287717930945,0.0,0.0,951.9733436869518,0.0,0.0,0.0,0.0,0.0,884.4384270036126,0.0,0.0,421.7259305805537,0.0,0.0,121.06002491619375,0.0,0.0,0.0,0.0,0.0,995.1826974757477,0.0,970.8097247186419,0.0,2699.755028347675,0.0,761.8187287720809,0.0,0.0,432.6270017071201,0.0,0.0,0.0,0.0,1169.3404246007137,0.0,2077.939877823008,439.42691695352755,0.0,822.8206631095045,0.0,0.0,0.0,439.1609966036724,0.0,2443.875967733649,0.0,0.0,0.0,0.0,0.0,0.0,1481.1010037064966,162.9739664309466,1510.8893061057784,0.0,0.0,0.0,0.0
SBS3,0.0,0.0,3733.2847127281975,0.0,0.0,0.0,0.0,0.0,5950.6756669163815,0.0,0.0,9242.149404964875,0.0,22048.910496518452,3930.258058593461,4500.3292312458325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.4981865420177,0.0,0.0,0.0,0.0,10874.406688889347,0.0,0.0,0.0,12570.057499298258,0.0,0.0,0.0,4218.684797583613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6559.938578262391,0.0,0.0,2001.1582265094642,1961.5298019214933,0.0,8540.260598056013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7861.764976940339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3747.5486664872005,0.0,0.0,15360.46595884642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208.9621849541645,0.0
SBS5,6396.062163710802,8212.889155664247,0.0,4791.00874473862,3599.2798184223248,0.0,3585.5506338016767,15108.170922427575,10146.826827260618,3974.707773326109,0.0,14208.594150326688,6106.037095439709,0.0,2146.5387880022517,7823.527262251363,10925.270884612373,6051.624500729565,4065.110617775141,4629.8038639222705,5245.467088515444,0.0,3721.430286287119,9258.065924379824,5653.5016565123005,11609.413794572552,0.0,6322.99095566769,2081.4228079452305,3868.1373880119218,17194.106081650545,5155.603382771522,5793.419757350675,0.0,0.0,23988.05130196501,4653.139564392541,11539.135855113756,7338.554457862494,1926.726234465143,4663.801225375088,17505.57501259358,6022.109067098745,6009.355399530027,11936.822517622724,9273.001463353461,0.0,3139.5819105406804,37058.590153593985,6288.4074821204595,16808.192694716556,2084.9224830664884,5754.023626266359,1283.0718697411257,13244.271683033381,6580.787718798427,1359.4658392844563,8879.290045241796,7528.577283387221,6606.751249331539,0.0,1245.991905445728,2171.3597203925574,919.7863543054843,10692.503092754221,15052.097678918439,0.0,0.0,0.0,0.0,0.0,8401.539768320157,3474.1719727070954,4685.898124355468,0.0,0.0,3168.855047264222,21306.589471051215,0.0,11101.135516631111,4778.752141874742,5686.970148773741,13393.523979760896,0.0,6033.014514219051,24132.265975855476,6301.53912859459,6892.701345049345,3756.423427987151,24619.50867755166,10507.514308115056,15867.51908014097,0.0,25289.613683026808,1644.0323707875364,0.0,1457.7033401176009,4074.111388097864,11409.530563809003,11131.122783937459
SBS13,0.0,1899.3149005212945,0.0,598.4253764379489,352.34168201999864,1266.4636611032035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.423845444775,0.0,0.0,0.0,0.0,0.0,878.9959971773255,0.0,1253.3733515095776,239.69836863993078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.0378812678712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.1920201512019,2655.654195938652,0.0,0.0,768.5996184644738,1525.3308535871306,1083.6236891811502,0.0,1268.9045384786043,0.0,592.4560575532524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.9173461212158,0.0,0.0,0.0,0.0,287.65561055187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6295968800489,388.08678603951233,362.28063952547586,0.0,0.0,0.0,1694.530690032415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.6180435672742,414.33975506227597,0.0
SBS17a,1891.7041574734633,9479.192977669212,0.0,4560.392383099834,1774.69027143882,4393.833326977616,8704.507196706178,2395.38296106067,1811.5255063205764,3763.759000749824,1297.3077715928123,3102.3950781881986,680.7080673046934,4405.0354294197905,4135.877733552737,7989.775126066358,944.2977175663285,2890.417347851018,4420.048691889503,5754.159428257737,6016.9157972983085,1790.304655889221,5835.338768440356,11818.47495442246,14347.160628314683,2877.7711901013727,11279.033544119444,577.2971310407742,152.81074479622453,4017.4663568747733,2610.808277531589,12914.724934720358,2561.154553151959,2741.7073500657225,4479.629072128093,10778.374216464972,0.0,0.0,0.0,3827.941963063045,684.9460853996777,3276.4223153550406,0.0,0.0,4028.7057511689386,2428.679938542234,4510.406544164975,1796.2927563524515,7917.701701532357,3592.7241914974516,4245.138927369028,8960.804239350988,10399.256855281352,0.0,0.0,472.97561108959684,2463.63373822073,1624.5673236318246,1048.451305665673,8789.387624153318,6913.506672060053,7661.471448129811,3729.2978598066434,395.78559506472004,0.0,3224.0262020705227,5803.432987352539,3592.774142507402,11928.721208380648,9538.986472372013,2327.901632250602,17831.232246905234,490.4153313627945,15787.549877435958,8763.717574431274,0.0,2518.0594947081468,0.0,1387.4870177600064,964.7503080027058,22690.839507078996,2626.3159662294966,752.9245720365002,4286.07771059295,4743.915852372043,664.222966584503,5607.2234185919315,2502.9947802356833,686.5488683418033,2659.4563533271835,724.5477598403763,5994.492025577814,0.0,1483.5433142271743,0.0,7475.557199447643,5880.4205246369875,2378.9476699412044,6597.278345059659,3966.4601517915457
SBS17b,190.99847917440582,3964.1312618053466,11168.24793116166,267.78598235394674,0.0,77295.27815624062,10886.751298007892,2862.8267203785153,14463.720794029683,5851.567514773775,4504.71803324545,9677.712809985675,12737.527346638562,28005.038631100608,0.0,767.4856747557035,1765.1852644261833,781.0047662736622,536.3872624025042,39044.874082153074,39122.79270143474,0.0,0.0,17344.17650195317,5333.224329784573,5307.865233144625,1997.4266859529982,17747.78818522716,1670.423263240459,6023.926800797555,22307.86467783447,17855.83428693872,1063.908927355248,6148.201101733591,1690.4743507958065,6200.852919290475,5281.981152209311,10786.628582671226,0.0,10355.71011972073,2949.85343372307,679.2542653440967,2351.533947073103,6152.47847187545,6198.801159240725,9587.373445021401,7285.429196285565,4158.379213130142,3944.0633852872393,31851.88171909833,6128.675857840959,12858.537509574942,5881.705910400634,21206.49628497614,27165.268566770625,1447.7652751388102,2638.8507978703956,24884.22681163815,11238.260911100511,2718.95653517574,4480.1229614668155,4144.658149016779,8150.979600430326,14685.334632797714,2649.751465265125,13143.967408992372,9289.303821660535,6201.539199969993,236.25755622075008,2574.7366269300474,3759.4319894055116,3663.7237716187124,8373.640124051715,406.26986890906323,2488.8578394604665,1044.404879112277,584.8197565886696,0.0,2109.581675908415,10684.812269418431,1810.4452652074344,3447.5970311954206,2871.7019789407123,28297.413930762672,21484.208374498194,6685.916351034169,10356.681068808217,401.4190307829817,17780.420849639955,26515.78974393413,0.0,2432.2250534483487,1650.1024960176844,24538.210227311454,400.18789397998984,350.13848306882136,2827.9359562826244,5688.127615622459,0.0,2302.965525665308
SBS18,1901.8270042876193,0.0,5073.333678861432,0.0,0.0,260.73463782570525,0.0,0.0,707.6567957864263,0.0,2390.2921391697437,1689.2171885156163,0.0,5831.862053643617,0.0,1645.7964082868095,0.0,769.3176034375718,0.0,0.0,0.0,3740.644871404783,0.0,3553.592276207076,2559.7646058933647,0.0,0.0,0.0,0.0,2785.225289811963,3392.337962427825,3083.437296434602,1523.4491096433248,0.0,0.0,0.0,4764.282067168883,0.0,0.0,1189.8238422583152,0.0,0.0,0.0,0.0,2120.7746802098536,638.0343817229781,0.0,0.0,0.0,7062.742451949639,8691.899927426093,2041.3326620137243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4521.762547142655,0.0,0.0,2406.414284552558,1084.4644542641927,613.7497351775187,0.0,0.0,0.0,0.0,0.0,4566.52533425819,405.30427285027736,3138.715251590418,0.0,0.0,0.0,0.0,1863.0169630120454,0.0,5120.599864171069,5038.471141022266,0.0,0.0,0.0,0.0,0.0,4393.7090781581755,3797.643498651737,0.0,7861.039537668462,0.0,0.0,5207.647616440862,5141.495687853994,0.0,0.0,598.1388215392561,2633.3324414649223,6397.727776898777,4825.147020797029
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.5206382059969,0.0,0.0,0.0,0.0,0.0,6539.485899005122,0.0,11952.10197540055,389.9013966255143,0.0,0.0,0.0,0.0,8729.236744632899,5633.027480238434,0.0,0.0,885.5153481385482,0.0,1025.4073048654373,0.0,0.0,0.0,0.0,0.0,1564.6226827608207,0.0,0.0,0.0,0.0,0.0,757.5583039854146,0.0,0.0,0.0,0.0,8615.14789198256,0.0,0.0,0.0,0.0,0.0,0.0,2127.6459495074228,0.0,0.0,0.0,0.0,0.0,0.0,2275.047246865086,601.3293265168655,1278.578674848468,0.0,662.533060927844,0.0,0.0,0.0,0.0,0.0,0.0,4460.59047167576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.1894142971769,1044.756645330628,0.0,0.0,3572.360689076346,0.0,0.0,0.0,0.0,0.0,1225.470791087115,0.0,0.0,432.62169900532126,0.0,0.0,0.0,0.0,0.0
SBS40,7036.183410669603,20042.14876296533,0.0,0.0,16355.164023704292,0.0,0.0,0.0,0.0,22363.700220959785,4082.879804643816,5528.281614594336,0.0,5034.253622747165,0.0,0.0,0.0,11135.577707421142,0.0,7798.527165751516,0.0,9806.486393590118,0.0,0.0,5147.506672343199,11980.259579597103,4938.217464879278,7218.57215850716,0.0,4421.672340808092,0.0,0.0,0.0,0.0,15237.377341962834,17153.242914763403,11554.058736479412,6301.066616118447,12022.280928378736,0.0,5138.189272094742,0.0,14238.494450560094,0.0,0.0,0.0,0.0,3910.397368507666,0.0,0.0,0.0,15179.522796211017,13219.49528474478,0.0,0.0,988.5864268027533,0.0,4981.203728135883,12296.850454854073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15387.26934870601,18613.41281332889,6798.896911455386,7432.042128803512,8389.506964361615,0.0,9939.099595255726,9913.404357758012,0.0,7895.642641932592,0.0,6673.510880219111,18341.049422464534,6980.101366694407,4007.7834328069644,9352.533589087685,4034.5772595112708,17125.743437951987,4772.213805297566,0.0,0.0,0.0,3581.2935540476155,0.0,5075.366805754167,3596.851773074789,22785.190384465906,0.0,11953.368315832542,17086.574058083435,7570.417690770577,0.0,0.0,0.0
