"Mutation type","Liver-HCC::MSI-H.S.1"
"DEL_C_1_0",61
"DEL_C_1_1",10
"DEL_C_1_2",0
"DEL_C_1_3",27
"DEL_C_1_4",35
"DEL_C_1_5+",274
"DEL_T_1_0",60
"DEL_T_1_1",0
"DEL_T_1_2",64
"DEL_T_1_3",74
"DEL_T_1_4",445
"DEL_T_1_5+",5002
"INS_C_1_0",0
"INS_C_1_1",1
"INS_C_1_2",0
"INS_C_1_3",16
"INS_C_1_4",46
"INS_C_1_5+",438
"INS_T_1_0",29
"INS_T_1_1",0
"INS_T_1_2",4
"INS_T_1_3",30
"INS_T_1_4",175
"INS_T_1_5+",16593
"DEL_repeats_2_0",8
"DEL_repeats_2_1",66
"DEL_repeats_2_2",20
"DEL_repeats_2_3",12
"DEL_repeats_2_4",10
"DEL_repeats_2_5+",0
"DEL_repeats_3_0",3
"DEL_repeats_3_1",99
"DEL_repeats_3_2",26
"DEL_repeats_3_3",4
"DEL_repeats_3_4",0
"DEL_repeats_3_5+",0
"DEL_repeats_4_0",0
"DEL_repeats_4_1",37
"DEL_repeats_4_2",7
"DEL_repeats_4_3",0
"DEL_repeats_4_4",0
"DEL_repeats_4_5+",1
"DEL_repeats_5+_0",0
"DEL_repeats_5+_1",48
"DEL_repeats_5+_2",3
"DEL_repeats_5+_3",0
"DEL_repeats_5+_4",0
"DEL_repeats_5+_5+",1
"INS_repeats_2_0",8
"INS_repeats_2_1",1
"INS_repeats_2_2",7
"INS_repeats_2_3",9
"INS_repeats_2_4",41
"INS_repeats_2_5+",279
"INS_repeats_3_0",1
"INS_repeats_3_1",10
"INS_repeats_3_2",4
"INS_repeats_3_3",3
"INS_repeats_3_4",1
"INS_repeats_3_5+",20
"INS_repeats_4_0",0
"INS_repeats_4_1",13
"INS_repeats_4_2",0
"INS_repeats_4_3",0
"INS_repeats_4_4",5
"INS_repeats_4_5+",19
"INS_repeats_5+_0",0
"INS_repeats_5+_1",7
"INS_repeats_5+_2",1
"INS_repeats_5+_3",2
"INS_repeats_5+_4",3
"INS_repeats_5+_5+",2
"DEL_MH_2_1",9
"DEL_MH_3_1",0
"DEL_MH_3_2",32
"DEL_MH_4_1",2
"DEL_MH_4_2",4
"DEL_MH_4_3",13
"DEL_MH_5+_1",3
"DEL_MH_5+_2",0
"DEL_MH_5+_3",0
"DEL_MH_5+_4",4
"DEL_MH_5+_5+",23
