Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10,Stomach-AdenoCA::MSI-H.S.11,Stomach-AdenoCA::MSI-H.S.12,Stomach-AdenoCA::MSI-H.S.13,Stomach-AdenoCA::MSI-H.S.14,Stomach-AdenoCA::MSI-H.S.15,Stomach-AdenoCA::MSI-H.S.16,Stomach-AdenoCA::MSI-H.S.17,Stomach-AdenoCA::MSI-H.S.18,Stomach-AdenoCA::MSI-H.S.19,Stomach-AdenoCA::MSI-H.S.20,Stomach-AdenoCA::MSI-H.S.21,Stomach-AdenoCA::MSI-H.S.22,Stomach-AdenoCA::MSI-H.S.23,Stomach-AdenoCA::MSI-H.S.24,Stomach-AdenoCA::MSI-H.S.25,Stomach-AdenoCA::MSI-H.S.26,Stomach-AdenoCA::MSI-H.S.27,Stomach-AdenoCA::MSI-H.S.28,Stomach-AdenoCA::MSI-H.S.29,Stomach-AdenoCA::MSI-H.S.30,Stomach-AdenoCA::MSI-H.S.31,Stomach-AdenoCA::MSI-H.S.32,Stomach-AdenoCA::MSI-H.S.33,Stomach-AdenoCA::MSI-H.S.34
AC>CA,0.7157464505228424,0.723434282795206,-4.609734711198831,4.480649552375038,-0.9307703459785976,2.2382741475445194,-2.30746579221963,8.170873233543277,-0.679140516561143,2.395293500027849,-1.6644712870917084,-12.238204957929716,-1.75792337013776,0.2384394345392009,0.3823045575054742,8.866482536341245,-1.427457911472258,0.7245823340366249,5.641890377738437,-4.356337512118653,0.09630716346925028,5.307624319299473,1.4714270496505337,-1.8771077243679573,0.251005013443502,-0.6707822420526037,2.339602058030187,-5.9832360010540935,15.069363306587245,-1.5799895616580182,-4.4543726899376805,-10.335530226535518,5.448057105285208,-2.59182380253492
AC>CG,0.10940131007058285,-0.3845103093202193,-1.0506952742380629,1.846859328970267,0.5686905591254796,-0.5467663837921198,-0.295531580791554,-0.4437984886770001,0.6609056895979302,1.4950674673825408,-0.6481760613358443,-1.4969545531561375,-0.3183094321384372,-0.15114103940617457,-0.17507917729044514,5.207472505349377,0.2761046350977231,-0.5043371634471717,1.6266302628997633,-1.3188337268502348,-0.20955731324744414,-0.33836285564822804,-0.30454289245228144,0.682098343329586,-0.36173463740289336,0.6379953232010026,-0.5360453918841936,-0.7170210837424862,-0.45826834202158423,-0.7336227102443357,0.36443768642799745,-1.4062864274013118,-0.17206511264481233,-0.24198880357965546
AC>CT,-0.6596097154526159,-1.0046856996598308,1.4603511437812404,-0.34098340664488713,-0.6690208277114644,9.387907476408037,-2.3751009313790465,0.423027989998529,-2.938354117003621,4.3329201967936894,11.507648290101917,-4.982487008083779,1.0147009687967057,2.811018900969124,1.8424914202183205,0.1233143172502893,16.12375910841577,-2.078097757787341,-0.22384990449981546,-2.669304238525323,-1.3438778527266007,2.068592465335409,0.7442572875054068,7.594466305098966,-0.9715101134678138,1.182675340678513,-3.238829340643039,-1.3835992559704242,4.9154231300406135,-1.8000076358558523,-1.7855648875727268,-3.0640384505302514,-0.5139241603552858,-1.4731226530611057
AC>GA,-2.109223316744679,-2.018722187010755,-1.141961106041022,-1.1655974831957256,0.6364401805221935,-2.246560639390142,0.9569795431354207,-0.47349977829720125,-1.7603114069343397,-2.3886908698870775,-2.019061718749018,0.1699370698283289,2.1085616340849747,-1.1289011295851339,1.9949149559037564,-1.534972679080492,2.28984201732114,-1.8845889742506048,0.08736554311469091,1.1426574667931972,1.846777574907594,-0.8167122481981104,-0.0781979875459502,0.6769851561163993,-0.7483235095710578,-0.24366768791742643,-0.017670108010965357,10.210055197876802,5.245318744024133,-0.7099821668242736,1.5170874088807924,3.802614502915716,0.4510577777870144,0.4662755672938781
AC>GG,-0.4401968486984533,1.068807404797611,-0.4810598794487512,-0.32634582932846695,0.3715887553589534,2.4282071891058576,-0.83480196507615,1.6807417028723368,-0.6920681229081023,-0.5867955048674574,1.1923798045499985,-0.27447398260433786,-0.16351871705444146,0.7626807288348514,0.7273759962155719,-0.34455471941307036,1.4133882120138948,-0.4582624011752297,-0.5136085891695009,-0.6750386831115855,-0.31604846206206877,-0.18090463711381236,-0.7901316392770368,-0.29858088207785316,-0.19335494366362344,-0.574260511252407,-0.9874935546841663,0.23277938470236648,2.0375350386725595,-0.5643748220844385,-0.4802299254094841,-0.5718633607620479,-0.08896690628514528,0.693319370860261
AC>GT,3.040788628766941,0.036189642445138226,-2.4293663482056775,-0.5558338854008494,1.923508280147912,-0.41906808418742925,-1.4523521565461377,-1.1508973544738703,-0.8069533646261859,2.3983969387716604,-0.4159882691795054,-2.771519903231424,-0.9713631255361995,-0.19072663405110712,0.48035788572446547,0.9046467304218377,1.9038977259097636,3.1486928558308986,-8.571874587470774e-06,1.8430326499798841,-0.5729675594273331,1.5494132466202648,-0.7177143682886173,0.9943537699355722,0.6424026002581867,-0.03687828589741127,-1.5588248354273184,8.661716003564411,-2.3569385104287575,-0.3532677298153324,5.119048063012361,-0.026157104909781292,-0.608802971169028,-1.264967931294969
AC>TA,-1.176443654319033,1.248208521319703,-0.9384460747225722,0.21230443729260395,5.749932004735219,-1.6363723015929499,-2.7639159731108984,-0.15138772013747315,2.3493650280506038,0.24351650478394493,5.991686607065373,-3.4167844290949603,1.6058016567119022,8.887674392652384,4.584933448457438,0.2621751337297603,3.672388414082569,-2.0852539756328494,0.4098469413417152,-1.8768629701691242,-1.6329047731343491,-0.5727512360306595,-1.4001776825982324,1.7385738883165798,0.3879483616314674,3.145108577138016,-1.1719329752447143,0.391575315741826,-4.145029906472914,0.9454918003259278,-0.4482402131734118,-0.23289780608873079,-0.2971320479998975,4.5117082837489955
AC>TG,-0.2839084166111426,-1.9886175095109258,0.8316691776208261,-0.7623202713117601,-1.339021214123114,2.983238398346221,-2.041673766688521,-0.38196692322892245,-1.5211829770250616,-0.08634481584817344,-1.6228239390946437,1.9423863051345043,-0.07694220815889796,-0.43585095148073344,-0.5843645468422828,-0.12616357195838693,1.1913335379854786,-0.7870040255353568,-1.0596567926423734,0.49003765957538215,-0.6754134664917688,-0.1644721839709183,-1.8639719231615286,0.5389296455674283,-0.18673376388766297,0.8177144070832618,-1.1303015832390502,-0.44297574348212665,0.843264246423415,-0.6826899372904582,1.5352499150417187,-0.2247414671426839,-0.027402974317992514,0.4562563534902596
AC>TT,0.43706877812511025,-0.971554296674805,-0.2974706037267104,-0.8771717750621792,1.7243974489582845,-2.520251631572448,1.914647380840889,0.13600545363010064,-2.739533444456209,-2.6714119885222645,-2.957374055439201,1.114156147993996,-0.13461256775938155,-1.070201304233278,2.5533482950483144,-0.14926415462279555,-0.9326740341631881,-1.8894141248679341,6.4019751994868255,-0.012551281721099095,1.3356024452961344,-0.34755223373313177,-4.608163069543341,-1.112016339516174,-0.40001959086448,-0.9091616091052024,-1.2489699659432238,-2.4776428230728387,-1.3162060153062356,1.4362180954568302,-0.1361299193855121,-0.29102384632040634,-0.23963381535683206,-1.4175709878256664
AT>CA,0.020636258513574424,-1.4833178942391747,4.806878378607766,2.3490536775534183,0.5647626666592618,0.2956706770377624,-1.5823607868843461,-0.39708207550054175,-1.823591838591982,0.20211286986086385,-1.965653920732014,-2.781827083405144,0.06120168296389483,10.119727444176888,1.3648199858679908,-1.770193888899115,-2.381810096337677,5.678318243121534,-0.23735840297392397,-1.9150994242670927,5.279195182724798,0.25169223412718,-0.7692034642889214,-0.1410064990630775,1.285471731498148,3.5776078678597725,-2.6336392628441825,-1.9579065474421202,-0.3587112784314943,-1.6192785159239955,-1.0465011968379163,8.494830529273669,-0.6266658470529665,-0.1455377948540575
