"","p_value"
"size_10",0.0890622221155252
"size_9",0.0433694544398821
"size_11",4.42730431407437e-06
"size_8",1.53542549084455e-09
"size_12",1.75517981489419e-13
"size_7",2.68398528356351e-21
"size_13",2.60822204588821e-21
"size_14",8.0035069284982e-33
"size_15",7.44654030723928e-40
"size_6",7.52212568028948e-51
"size_16",3.41127579918368e-55
"size_17",1.39286344302546e-63
"size_18",1.44198053219289e-69
"size_19",4.25202850876169e-77
"size_5",2.35807927055308e-80
"size_20",5.68239719785171e-88
"size_21",4.36400903325773e-90
"size_22",2.23098803685379e-102
"size_23",2.44746721335846e-111
"size_24",1.90296398784988e-119
"size_4",2.99659045959861e-121
"size_25",1.55176598198732e-126
"size_26",3.18475830637309e-135
"size_27",1.58415946863021e-136
"size_28",9.31500102222371e-143
"size_29",1.90344982255411e-143
"size_30",1.63970852773834e-149
"size_31",1.1025511321438e-152
"size_33",1.19768764044593e-160
"size_32",2.20655940404895e-161
"size_34",2.49340029221453e-167
"size_35",2.5589574652859e-169
"size_36",2.41849068506128e-175
"size_37",1.25508437799413e-176
"size_39",4.45705488842427e-177
"size_38",1.23895694254912e-181
"size_40",1.48397628093559e-184
"size_3",2.06843017533373e-185
"size_41",5.17701047630761e-186
"size_42",1.54282664380355e-187
"size_43",4.89261306988368e-192
"size_44",2.01021114136485e-192
"size_45",2.07756764383756e-194
"size_46",7.58139481502208e-196
"size_50",3.76573926091092e-201
"size_47",2.42150228872505e-201
"size_48",1.52535248178041e-201
"size_49",4.01360657931015e-204
"size_51",1.85193265105002e-204
"size_54",4.57366739453927e-208
"size_52",2.90538271240394e-208
"size_53",7.06986827072393e-209
"size_55",1.0391144097917e-210
"size_56",7.83172935359359e-211
"size_57",1.70785600448451e-212
"size_59",1.17906051348926e-213
"size_58",4.25006864407956e-214
"size_60",1.44682855164319e-214
"size_62",8.49589991032619e-217
"size_61",2.14539142929587e-217
"size_63",1.31355547648742e-219
"size_64",2.03191146369472e-220
"size_67",1.78373190597023e-221
"size_68",2.9964911595866e-222
"size_65",2.45920050240286e-222
"size_66",7.43683136733369e-223
"size_70",6.51839081956732e-224
"size_69",1.63649421575832e-224
"size_71",9.63701553955716e-226
"size_72",3.51626467749226e-226
"size_74",1.2244912927816e-226
"size_73",5.5236517676792e-227
"size_76",1.96198176879398e-227
"size_75",6.3983749467158e-228
"size_78",7.7438415477843e-229
"size_77",3.404802968437e-229
"size_79",2.59751978090136e-230
"size_80",1.26226944199237e-231
"size_81",1.03415124024146e-231
"size_83",7.70298205318433e-233
"size_82",8.00622078082548e-234
"size_86",4.56474039444395e-234
"size_85",4.50930968707606e-234
"size_88",2.17120028476534e-234
"size_84",1.82068286585958e-234
"size_87",1.12173219634701e-234
"size_89",2.10141340501054e-235
"size_90",2.58679194338449e-236
"size_91",1.16756285055427e-237
"size_94",6.70827645212019e-238
"size_92",4.1183237144899e-238
"size_100",5.90382465498909e-240
"size_98",4.07307417971759e-240
"size_93",2.63450126420003e-240
"size_97",1.30377170817349e-240
"size_95",8.72673366284748e-241
"size_2",8.36665892503701e-241
"size_99",7.22829816681752e-241
"size_96",1.11045737825327e-241
"size_1",5.70478029185179e-292
