"","p_value"
"size_4",0.675618335554589
"size_5",0.00360718089046453
"size_3",4.18491919709864e-05
"size_6",4.15061596327499e-06
"size_7",2.17157212940998e-12
"size_8",6.88709640565206e-16
"size_2",1.09311212186149e-19
"size_9",7.32696326896311e-25
"size_10",6.11954960912002e-36
"size_11",1.48207688059662e-36
"size_12",1.44312921137443e-47
"size_13",4.84279323622839e-50
"size_14",1.40206408340613e-53
"size_15",1.08744782505289e-63
"size_1",1.59144430583277e-64
"size_16",4.23226927281044e-65
"size_17",1.08279864071588e-76
"size_19",2.16101499767803e-78
"size_18",2.04228358680408e-81
"size_20",1.59022421520429e-89
"size_21",1.01861677654752e-92
"size_22",1.13137190319457e-95
"size_23",6.41640775996491e-97
"size_25",2.09529205182744e-102
"size_26",2.68501254748608e-106
"size_24",1.05452824280043e-108
"size_27",8.19968068207172e-110
"size_28",4.01372491530499e-116
"size_29",1.68897669106986e-120
"size_30",7.20514294735708e-122
"size_31",3.09978692595475e-123
"size_34",8.20693109459683e-124
"size_33",2.88271757235011e-124
"size_32",1.15460366585823e-126
"size_35",5.34423835691355e-130
"size_36",2.03204090690098e-133
"size_38",2.59388382651726e-136
"size_37",2.47639005489949e-139
"size_41",5.30719676336478e-140
"size_42",8.10248651119384e-142
"size_44",1.03432809592182e-142
"size_39",2.46276035380477e-143
"size_40",7.32460073542897e-144
"size_45",2.25840572248831e-144
"size_43",1.7114734097282e-147
"size_46",2.28809159460752e-148
"size_50",2.51234657936006e-149
"size_48",2.16662231853375e-149
"size_47",7.51734853231458e-151
"size_49",1.08774409827865e-151
"size_55",2.14671343993254e-154
"size_52",9.28218540637907e-155
"size_56",6.69111711464083e-155
"size_62",1.2633921624218e-156
"size_51",1.7164837984791e-157
"size_60",7.65499224437735e-159
"size_53",1.8763464524517e-159
"size_64",5.09392789889737e-160
"size_61",2.71292588887948e-161
"size_65",8.64989427985151e-162
"size_67",8.52794968545698e-162
"size_66",6.32889137018082e-162
"size_54",6.01479534637685e-163
"size_58",1.7933597559004e-163
"size_57",4.21074959598805e-164
"size_59",1.58488127838592e-164
"size_63",1.36142914271633e-165
"size_73",5.61866699463084e-166
"size_72",1.84350409888193e-166
"size_74",2.67456917102685e-167
"size_68",2.03272385198875e-167
"size_75",1.57047968424244e-167
"size_77",1.11244802262489e-167
"size_71",6.98892585153759e-168
"size_69",1.77360083694792e-168
"size_82",1.46701345290379e-170
"size_83",5.45058928642268e-171
"size_76",2.45096565868299e-171
"size_84",7.76712533709588e-172
"size_80",9.76843325245457e-174
"size_70",7.89925306133432e-174
"size_81",2.19686872327404e-174
"size_91",1.361665496723e-174
"size_90",3.71298920982186e-175
"size_92",9.22496998583728e-176
"size_93",4.43631659157846e-176
"size_78",1.25508437799413e-176
"size_89",5.22622005770081e-177
"size_79",2.27818868195709e-177
"size_100",1.99275349497341e-177
"size_94",1.57398249095756e-177
"size_95",3.79207366751032e-178
"size_97",2.20284487665914e-178
"size_99",1.517069662197e-178
"size_86",1.5009854399242e-178
"size_96",8.29671816274716e-179
"size_98",6.9650807024451e-179
"size_88",3.58599243084226e-179
"size_87",1.19815705293066e-179
"size_85",1.58306626291233e-181
