"","p_value"
"size_1",0.00201386995701998
"size_2",7.15790298817141e-36
"size_3",5.07804730053458e-65
"size_4",2.60433409911545e-77
"size_5",8.17927908721868e-92
"size_6",3.70524932325144e-103
"size_7",7.53109713852729e-106
"size_8",3.66965272967282e-109
"size_9",2.30153137809655e-120
"size_10",7.62666837928994e-121
"size_11",1.04702220470682e-122
"size_12",3.25013937124944e-128
"size_13",5.09214287996522e-130
"size_15",4.65349575190676e-132
"size_14",3.98165150686732e-132
"size_16",1.33063543800995e-135
"size_17",7.49009553585559e-136
"size_18",6.40549958526078e-137
"size_20",6.87078691707823e-139
"size_21",1.86652692710055e-142
"size_19",5.90881028381496e-143
"size_25",4.41176060728404e-143
"size_22",8.19771540354226e-144
"size_24",1.66626492544464e-144
"size_23",1.59123757338038e-144
"size_30",3.32863523543885e-145
"size_28",8.38048053042804e-146
"size_26",2.09578483901214e-146
"size_34",3.19514863596349e-147
"size_31",2.18099640688337e-147
"size_27",1.02790340545014e-148
"size_29",2.76777864683594e-149
"size_32",1.90639693119897e-149
"size_39",1.47031957250263e-149
"size_36",2.34310467581137e-150
"size_33",6.30026961845559e-151
"size_42",5.48083018816746e-151
"size_37",4.73983947488092e-151
"size_35",3.67206540046802e-151
"size_46",3.08315164291246e-151
"size_40",2.86700752024287e-151
"size_47",9.165887341581e-152
"size_38",5.0879499268214e-152
"size_43",3.57603506984213e-152
"size_64",3.0304688951911e-152
"size_41",2.79520385595786e-152
"size_57",2.1126550716396e-152
"size_63",9.35247709012199e-153
"size_51",9.00814701525986e-153
"size_50",6.84582611351222e-153
"size_45",5.21227604369823e-153
"size_44",3.79172949215691e-153
"size_62",3.40106644979089e-153
"size_61",2.05796909686662e-153
"size_59",1.31317221782067e-153
"size_52",1.07727698300022e-153
"size_66",7.89345429796372e-154
"size_53",2.41148585304788e-154
"size_56",2.26309359725149e-154
"size_48",2.24519819206198e-154
"size_73",1.50641883396092e-154
"size_67",1.09845179605613e-154
"size_58",9.40740976872625e-155
"size_65",9.37009628201336e-155
"size_78",8.89823136714295e-155
"size_54",7.65066826147964e-155
"size_72",6.51273657204903e-155
"size_68",5.46720968891886e-155
"size_49",4.88123645930599e-155
"size_75",2.79611243337734e-155
"size_77",2.39871153238766e-155
"size_87",1.87011543137654e-155
"size_60",8.6999736477094e-156
"size_91",7.76522817338862e-156
"size_71",4.70637146311807e-156
"size_55",3.07624806095227e-156
"size_89",2.42067451460787e-156
"size_90",1.69282126321424e-156
"size_76",1.58794423076181e-156
"size_86",1.35327077224863e-156
"size_85",1.12589356411112e-156
"size_79",1.08608744266233e-156
"size_70",9.05360486712203e-157
"size_92",8.87430265725716e-157
"size_88",5.65725418716357e-157
"size_83",4.12313567138862e-157
"size_84",2.81239048851088e-157
"size_69",2.35300963454686e-157
"size_74",1.91793948938373e-157
"size_94",1.18053234132557e-157
"size_97",9.95446376691517e-158
"size_93",8.86079550110085e-158
"size_99",8.07940462673673e-158
"size_80",6.71702882223785e-158
"size_100",5.59534125562161e-158
"size_82",4.80330637310922e-158
"size_81",1.57733428080796e-158
"size_95",7.22392383181157e-159
"size_98",7.5461971249724e-160
"size_96",4.8282148827243e-160
