"tool_name","total_cpu_sec","sum_of_cpu_by_cancer_type"
"deconstruct_0.00",27.423,19.7049999999989
"deconstruct_0.03",28.2189999999999,20.5369999999994
"deconstruct_0.06",27.246,19.6490000000004
"deconstruct_0.10",27.901,20.3219999999996
"fitms_0.001",21.056,11.8689999999999
"fitms_0.005",19.718,11.9009999999999
"fitms_0.010",21.0950000000002,12.924
"fitms_0.030",23.6820000000001,15.5630000000008
"fitms_0.050",26.753,16.134
"fitms_0.060",23.9399999999999,15.8759999999991
"mp",21.7370000000001,13.381
"musical",660.662999999998,653.291999999998
"mutsig",13.5240000000004,6.20800000000018
"pasa",33467.57,33458.676
"sigest",9.125,0.215000000000003
"sigpro",392.681999999997,384.759999999997
"yapsa_0.00",7.92200000000017,0.247999999999593
"yapsa_0.01",7.89099999999982,0.230000000000018
"yapsa_0.03",7.83699999999958,0.230000000000928
"yapsa_0.06",7.83500000000004,0.228000000000975
"yapsa_0.10",7.85100000000003,0.231000000000471
"msa_default",480600,480600
"msa_thresholdx10",491760,491760
"msa_thresholdx100",504720,504720
"msa_thresholdx1000",529560,529560
