Sample.ID,Tool,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Breast-AdenoCA::S.1,deconstruct_0.00,0,29.4115099605703,0,69.2531859654204,0,0,0,0,51.3353040740093,0,0
Breast-AdenoCA::S.2,deconstruct_0.00,0,0,0,34.8498355370495,0,41.7982283649745,0,0,0,0,8.35193609797603
Breast-AdenoCA::S.3,deconstruct_0.00,0,117.461321242813,0,29.0721536993999,0,0,0,0,56.1908580404575,0,6.27566701732959
Breast-AdenoCA::S.4,deconstruct_0.00,0,28.8061950913037,0,44.4980020464619,0,22.3697706596258,0,0,27.3260322026086,0,0
Breast-AdenoCA::S.5,deconstruct_0.00,0,21.4365271601356,0,31.881077743537,0,37.307592621126,0,0,54.3748024752014,0,0
Breast-AdenoCA::S.6,deconstruct_0.00,0,15.696839381023,0,63.4652415891112,0,0,0,0,38.3828476012193,0,13.4550714286464
Breast-AdenoCA::S.7,deconstruct_0.00,0,33.6281874769817,0,46.1137670308303,0,18.7918211957028,0,0,0.46622429648517,0,0
Breast-AdenoCA::S.8,deconstruct_0.00,0,5.10786605532613,0,11.1634976789482,0,22.5795011376737,0,0,57.149135128052,0,0
Breast-AdenoCA::S.9,deconstruct_0.00,0,12.4675325746584,0,50.666511810734,0,0,0,0,66.8659556146077,0,0
Breast-AdenoCA::S.10,deconstruct_0.00,0,51.8134728941731,0,13.8911769104462,0,27.4551118881396,0,0,63.4822022683195,0,14.3580360389217
Breast-AdenoCA::S.11,deconstruct_0.00,0,14.6844079267469,0,62.8131479672103,0,7.28454052214349,0,0,42.9710967872801,0,18.2468067966192
Breast-AdenoCA::S.12,deconstruct_0.00,0,0,0,13.9820661430036,0,27.4964356077345,0,0,46.8601220114799,0,40.661376237782
Breast-AdenoCA::S.13,deconstruct_0.00,0,57.0439481224888,0,14.4525651347838,0,42.0401797838259,0,0,46.4633069589014,0,0
Breast-AdenoCA::S.14,deconstruct_0.00,0,12.5854111196411,0,0,0,11.729425642715,0,0,36.5341491408568,0,59.1510140967871
Breast-AdenoCA::S.15,deconstruct_0.00,0,25.0280458593185,0,114.392128391961,0,0,0,0,51.8882203312005,0,16.69160541752
Breast-AdenoCA::S.16,deconstruct_0.00,0,17.6082257772587,0,4.00292548675363,0,57.2727458040934,0,0,16.1161029318942,0,0
Breast-AdenoCA::S.17,deconstruct_0.00,0,58.6199246420404,0,26.4872870688549,0,26.4659502623314,0,0,23.4268380267732,0,0
Breast-AdenoCA::S.18,deconstruct_0.00,0,142.89684120211,0,1.91289599745751,0,50.1084059260407,0,0,0,0,13.0818568743918
Breast-AdenoCA::S.19,deconstruct_0.00,0,24.3464640448289,0,25.0832423427244,0,0,0,0,9.57029361244673,0,0
Breast-AdenoCA::S.20,deconstruct_0.00,0,42.6295661592746,0,12.0412675966008,0,0,0,0,50.3291662441247,0,0
Breast-AdenoCA::S.21,deconstruct_0.00,0,6.52126072817832,0,36.1346122593002,0,53.1850323201006,0,0,61.1590946924209,0,0
Breast-AdenoCA::S.22,deconstruct_0.00,0,6.15229405006706,0,0,0,11.0436049608877,0,0,107.804100989045,0,0
Breast-AdenoCA::S.23,deconstruct_0.00,0,28.4516974896069,0,38.0643291893785,0,51.2780236901069,0,0,53.4414354827629,0,4.76451414814486
Breast-AdenoCA::S.24,deconstruct_0.00,0,20.7476614572031,0,15.9340573196596,0,0,0,0,73.3182812231373,0,0
Breast-AdenoCA::S.25,deconstruct_0.00,0,28.520013191286,0,24.3123433766237,0,0,0,0,86.1676434320902,0,0
Breast-AdenoCA::S.26,deconstruct_0.00,0,0,0,72.2515373001016,0,0,0,0,58.7484626998984,0,0
Breast-AdenoCA::S.27,deconstruct_0.00,0,15.0644726644876,0,37.7311394316779,0,0,0,0,32.6192666338119,0,13.5851212700226
Breast-AdenoCA::S.28,deconstruct_0.00,0,10.8890189126333,0,42.9095236576533,0,0,0,0,72.2014574297134,0,0
Breast-AdenoCA::S.29,deconstruct_0.00,0,42.8115642248896,0,3.52627415131373,0,0,0,0,99.6621616237967,0,0
