"Mutation type","Breast-AdenoCA::S.1","Breast-AdenoCA::S.2","Breast-AdenoCA::S.3","Breast-AdenoCA::S.4","Breast-AdenoCA::S.5","Breast-AdenoCA::S.6","Breast-AdenoCA::S.7","Breast-AdenoCA::S.8","Breast-AdenoCA::S.9","Breast-AdenoCA::S.10","Breast-AdenoCA::S.11","Breast-AdenoCA::S.12","Breast-AdenoCA::S.13","Breast-AdenoCA::S.14","Breast-AdenoCA::S.15","Breast-AdenoCA::S.16","Breast-AdenoCA::S.17","Breast-AdenoCA::S.18","Breast-AdenoCA::S.19","Breast-AdenoCA::S.20","Breast-AdenoCA::S.21","Breast-AdenoCA::S.22","Breast-AdenoCA::S.23","Breast-AdenoCA::S.24","Breast-AdenoCA::S.25","Breast-AdenoCA::S.26","Breast-AdenoCA::S.27","Breast-AdenoCA::S.28","Breast-AdenoCA::S.29","Breast-AdenoCA::S.30","Breast-AdenoCA::S.31","Breast-AdenoCA::S.32","Breast-AdenoCA::S.33","Breast-AdenoCA::S.34","Breast-AdenoCA::S.35","Breast-AdenoCA::S.36","Breast-AdenoCA::S.37","Breast-AdenoCA::S.38","Breast-AdenoCA::S.39","Breast-AdenoCA::S.40","Breast-AdenoCA::S.41","Breast-AdenoCA::S.42","Breast-AdenoCA::S.43","Breast-AdenoCA::S.44","Breast-AdenoCA::S.45","Breast-AdenoCA::S.46","Breast-AdenoCA::S.47","Breast-AdenoCA::S.48","Breast-AdenoCA::S.49","Breast-AdenoCA::S.50","Breast-AdenoCA::S.51","Breast-AdenoCA::S.52","Breast-AdenoCA::S.53","Breast-AdenoCA::S.54","Breast-AdenoCA::S.55","Breast-AdenoCA::S.56","Breast-AdenoCA::S.57","Breast-AdenoCA::S.58","Breast-AdenoCA::S.59","Breast-AdenoCA::S.60","Breast-AdenoCA::S.61","Breast-AdenoCA::S.62","Breast-AdenoCA::S.63","Breast-AdenoCA::S.64","Breast-AdenoCA::S.65","Breast-AdenoCA::S.66","Breast-AdenoCA::S.67","Breast-AdenoCA::S.68","Breast-AdenoCA::S.69","Breast-AdenoCA::S.70","Breast-AdenoCA::S.71","Breast-AdenoCA::S.72","Breast-AdenoCA::S.73","Breast-AdenoCA::S.74","Breast-AdenoCA::S.75","Breast-AdenoCA::S.76","Breast-AdenoCA::S.77","Breast-AdenoCA::S.78","Breast-AdenoCA::S.79","Breast-AdenoCA::S.80","Breast-AdenoCA::S.81","Breast-AdenoCA::S.82","Breast-AdenoCA::S.83","Breast-AdenoCA::S.84","Breast-AdenoCA::S.85","Breast-AdenoCA::S.86","Breast-AdenoCA::S.87","Breast-AdenoCA::S.88","Breast-AdenoCA::S.89","Breast-AdenoCA::S.90","Breast-AdenoCA::S.91","Breast-AdenoCA::S.92","Breast-AdenoCA::S.93","Breast-AdenoCA::S.94","Breast-AdenoCA::S.95","Breast-AdenoCA::S.96","Breast-AdenoCA::S.97","Breast-AdenoCA::S.98","Breast-AdenoCA::S.99","Breast-AdenoCA::S.100"
"DEL_C_1_0",11,38,29,32,8,15,119,12,32,48,13,11,101,26,57,40,44,32,23,19,4,19,24,33,58,48,101,15,13,37,17,62,8,4,20,16,45,49,11,38,17,9,20,35,11,8,23,16,5,8,33,1,10,88,12,12,18,48,19,55,0,38,53,81,14,20,25,5,41,11,13,11,21,35,78,10,29,7,31,23,135,59,14,23,18,35,39,0,21,103,6,4,0,158,48,41,38,43,29,13
"DEL_C_1_1",15,10,4,21,11,8,54,3,22,26,3,8,15,4,14,19,10,3,6,7,1,5,8,11,23,7,13,9,11,20,15,14,5,2,8,37,19,24,7,13,8,2,10,20,2,10,9,2,5,5,8,0,1,11,2,1,8,7,15,23,0,17,25,11,14,17,28,4,25,2,3,8,10,10,38,10,14,11,12,9,48,9,11,7,9,13,12,1,7,56,1,22,0,27,12,18,14,14,4,10
"DEL_C_1_2",0,0,0,11,1,0,3,11,2,0,0,0,1,1,2,3,2,0,0,0,0,2,4,0,16,0,0,0,1,1,2,9,0,0,9,4,1,0,3,2,5,1,2,0,2,3,0,0,0,0,0,0,4,0,0,7,0,0,4,1,0,1,3,0,1,0,14,0,0,1,1,4,0,2,2,0,3,0,2,0,3,3,0,1,2,4,1,1,0,12,0,2,0,11,2,0,1,4,1,3
"DEL_C_1_3",1,1,1,1,0,1,3,0,2,3,0,0,4,4,4,4,0,2,0,1,0,2,0,7,5,4,1,3,1,3,0,6,0,0,2,8,0,4,3,4,0,0,5,2,2,0,5,1,2,1,0,0,0,4,0,2,3,1,2,6,1,3,2,5,3,2,2,1,0,2,1,0,1,3,2,3,1,1,0,0,3,5,0,1,5,0,6,2,3,2,3,4,0,3,2,3,6,1,2,3
"DEL_C_1_4",0,2,3,0,2,0,8,2,1,2,0,1,11,5,3,4,1,0,0,3,1,2,5,0,3,1,4,0,2,1,2,1,2,0,0,3,2,6,1,3,1,1,1,0,1,1,3,1,1,1,2,0,2,4,0,1,1,1,2,4,0,3,3,1,1,6,1,0,0,0,1,1,1,2,4,1,1,4,1,1,8,2,0,1,2,2,1,0,1,1,1,1,0,3,1,4,3,5,1,2
"DEL_C_1_5+",2,0,0,3,0,0,4,0,0,0,0,1,0,5,1,3,1,0,0,1,2,2,1,0,4,0,1,1,1,0,1,0,2,9,0,0,1,0,2,1,0,0,1,0,0,3,1,1,2,1,3,0,1,1,0,0,0,2,4,4,0,1,1,3,4,1,0,0,3,2,1,0,5,4,2,2,2,1,3,1,0,4,1,0,2,2,0,0,1,3,6,2,0,2,0,4,5,0,1,0
"DEL_T_1_0",5,12,9,22,2,4,35,8,12,13,2,12,49,8,10,31,12,16,4,15,2,37,5,20,21,36,11,16,17,3,28,41,3,7,8,36,23,15,20,18,5,7,29,2,3,13,32,7,7,18,14,0,1,13,0,3,5,8,20,13,1,16,31,37,12,18,41,5,11,3,2,12,7,23,48,6,12,10,8,12,15,21,2,21,8,14,12,17,30,48,5,14,0,16,14,10,31,9,17,18
"DEL_T_1_1",3,4,0,2,1,0,23,0,5,3,4,3,15,7,5,10,5,6,4,8,3,15,0,7,10,4,2,4,6,3,3,9,1,0,4,8,6,1,15,17,1,0,12,3,0,2,5,2,3,4,7,0,1,7,2,1,5,8,13,11,0,1,7,5,3,7,8,1,6,2,11,5,3,14,28,2,8,4,3,3,6,4,2,5,4,0,3,8,4,14,1,2,0,21,9,14,5,10,5,14
"DEL_T_1_2",7,5,4,12,6,1,34,10,3,9,2,1,29,8,13,30,12,7,9,8,2,7,5,12,20,8,13,1,1,2,25,7,1,5,6,32,3,11,22,12,2,2,15,7,2,6,9,15,1,6,7,0,8,26,0,7,4,11,25,15,0,13,15,11,8,9,22,2,24,4,5,9,5,28,16,4,14,7,14,4,38,20,1,15,4,5,7,5,4,38,0,2,0,26,17,4,16,11,5,22
"DEL_T_1_3",8,16,12,6,11,3,69,10,14,13,0,5,31,3,16,39,11,5,5,13,1,27,21,13,10,14,54,5,6,7,32,38,2,6,10,25,7,20,21,33,3,7,8,16,1,6,3,19,4,2,15,0,15,14,3,14,7,10,9,15,2,5,31,8,8,16,47,4,11,4,5,11,8,18,25,4,11,26,15,8,63,18,4,13,7,11,5,18,13,33,6,6,0,53,24,15,16,18,4,15
