base_tool,Tool,tool_rank,m.Combined,med.Combined,sd.Combined,m.F1,med.F1,sd.F1,m.SMD,med.SMD,sd.SMD,m.sens,med.sens,sd.sens,m.prec,med.prec,sd.prec,m.scaled_L2,m.KL,med.KL
pasa,pasa,1,2.6425731605358,2.68359763651458,0.298064408561936,0.86686605986606,0.888888888888889,0.133827497964446,0.138473576677608,0.089878337906915,0.134476623826715,0.797390652557319,0.8,0.191056813027466,0.983656084656085,1,0.0653039938533218,0.917997325051505,0.233335279880884,0.0520977070536861
musical,musical,1,2.61661612910313,2.68606075447273,0.326176009723102,0.882238626660195,0.888888888888889,0.125437573711987,0.172654594000925,0.128862479008795,0.153710595494101,0.892752645502646,1,0.150670460884946,0.896518077601411,1,0.151803235978733,0.89948422106962,0.176837601833686,0.0653597477746711
fitms,fitms_0.010,1,2.57032153407416,2.60638203591469,0.315977220384779,0.822214150047483,0.857142857142857,0.155503998138778,0.136427584091629,0.104883153857576,0.117010760925899,0.750667107583774,0.75,0.208219735545255,0.956082010582011,1,0.108655777024643,0.920574421403742,,
msa,msa_thresholdx10,1,2.5043519820644,2.58391702481509,0.384395754076854,0.835279758367994,0.857142857142857,0.157308670231686,0.209697841568754,0.165785394699754,0.169199127408887,0.821965608465609,0.833333333333333,0.203815801308727,0.892084215167549,1,0.155618782528434,0.874600633734987,0.30966430649646,0.121865203756285
sigpro,sigpro,1,2.4702508320995,2.52226742882891,0.39673528029116,0.829040434873768,0.857142857142857,0.152927126500547,0.245087792239125,0.175053653928766,0.21522439543816,0.76842328042328,0.75,0.206445280175306,0.946915343915344,1,0.121179996224665,0.854915045478898,0.47963146066524,0.241574418413339
mp,mp,1,2.4623045658771,2.54029543189981,0.412234743035993,0.800031931031931,0.857142857142857,0.185962594097357,0.214351959696096,0.16027902078828,0.178580219031468,0.748416666666667,0.8,0.24314191706382,0.928239858906526,1,0.137217203833401,0.876672291177064,0.338479090985644,0.160569484427582
yapsa,yapsa_0.03,1,2.42657489558731,2.48107844965611,0.386106266710882,0.805784215784216,0.833333333333333,0.157564406918611,0.228266374253957,0.187854105648829,0.164884074713552,0.809808201058201,0.8,0.200086267267493,0.845033068783069,0.845238095238095,0.17466912386206,0.870630312446963,0.259905941595335,0.167673462422948
deconstruct,deconstruct_0.03,1,2.41768952712943,2.47336272809951,0.38850686266204,0.800107158273825,0.8,0.157919676190843,0.22789601078944,0.188878970954761,0.169676676784614,0.793382275132275,0.8,0.202558016499136,0.852203262786596,1,0.171730118911653,0.872491160443598,0.2766202807866,0.191321536732927
mutsig,mutsig,1,2.30664573593308,2.33333998183805,0.315473570779516,0.718145816401234,0.727272727272727,0.149576567188193,0.243415801295123,0.205614382319047,0.167438860647266,0.948619047619048,1,0.112420573009819,0.601442489609156,0.6,0.181787126056303,0.870106207934681,0.257091898163025,0.173488973453451
sigest,sigest,1,2.21682954969687,2.24224072869425,0.273581701574823,0.634090324202037,0.666666666666667,0.150660185954101,0.241803599833337,0.205262508662692,0.167093828095602,0.966918430335097,1,0.0895236237374268,0.491714719195111,0.5,0.164828833818172,0.871522389059012,0.360141360928132,0.188396360366136
siglasso,siglasso,1,2.19473183345446,2.19756075684125,0.371813490937179,0.680638447971781,0.666666666666667,0.212293593048198,0.351584304111673,0.31140369404005,0.195971261876026,0.560160052910053,0.5,0.248574699063538,0.986156084656085,1,0.0671320207563069,0.795814086486942,,
