"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"1","fitms_0.005","ColoRect-AdenoCA",2.81867815695171,2.89710746462516,0.18952917804609,0.948444444444444,1,0.0879166984411699,0.0924885097149579,0.0786254714505716,0.0637732881946513,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.944146438659599,0.0788964738761012,0.013323625740602,-1087.27097305744,-328.038315492654
"2","fitms_0.001","ColoRect-AdenoCA",2.81867812867226,2.89710746462516,0.18952913811471,0.948444444444444,1,0.0879166984411699,0.0924885379944092,0.0786254714505259,0.0637732807398885,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.944146420836872,0.078896479512131,0.0133236257406009,-1087.26886451344,-328.038315492654
"3","fitms_0.010","ColoRect-AdenoCA",2.8186780090048,2.89710746462523,0.189529087815432,0.948444444444444,1,0.0879166984411699,0.0924886576618621,0.0786254714505696,0.0637732268010673,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.944146368594674,0.0788964965181121,0.0133236257406199,-1087.27097305744,-328.038315492654
"4","fitms_0.060","ColoRect-AdenoCA",2.81716699004961,2.89710746462516,0.191836920242359,0.948444444444444,1,0.0879166984411699,0.0939996766170525,0.0786254714505303,0.0665582833531378,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.943297226637897,0.0864282347150787,0.0133236257406,-1106.83183893481,-328.038315492654
"5","fitms_0.030","ColoRect-AdenoCA",2.81716658766823,2.89710746462522,0.191836505509829,0.948444444444444,1,0.0879166984411699,0.094000078998438,0.0786254714505255,0.0665578006447279,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.943297050090409,0.0864282375261746,0.0133236257406014,-1106.8291791961,-328.038315492654
"6","fitms_0.050","ColoRect-AdenoCA",2.81716656543215,2.89710746462522,0.191836635815612,0.948444444444444,1,0.0879166984411699,0.0940001012345214,0.0786254714505268,0.0665580079038765,0.9255,1,0.130557274865103,0.985666666666667,1,0.0647892205358507,0.943297029912028,0.0864282805897323,0.0133236257406046,-1106.8317726802,-328.038315492654
"7","fitms_0.100","ColoRect-AdenoCA",2.81516874925642,2.89676791104555,0.193848212935889,0.947015873015873,1,0.0882305956872436,0.0934979174102426,0.0736841722580771,0.0676220131601682,0.923,1,0.131506423394218,0.985666666666667,1,0.0647892205358507,0.943638110534941,0.0923324524697206,0.0141968138874508,-1090.41720005035,-328.271531926279
"8","pasa","ColoRect-AdenoCA",2.81377987443928,2.91660063509386,0.211532914059169,0.948090909090909,1,0.0833799053203311,0.0973867922273862,0.0701553287274455,0.0989222512816477,0.917333333333333,1,0.13233888410786,0.993833333333333,1,0.0357424852594955,0.941251845189097,0.12099663505907,0.00881170495890328,-1046.65756064847,-340.70539833291
"9","fitms_0.200","ColoRect-AdenoCA",2.76698322277719,2.89137645216261,0.253735235460585,0.937698412698413,1,0.0993937623705211,0.128516777222805,0.0973333709034604,0.130843713578614,0.905,1,0.15200677815828,0.9905,1,0.046976783434141,0.923635126788254,0.218629054151739,0.0216272299407927,-12089.8652656924,-333.053859427317
"10","pasa","Breast-AdenoCA",2.73333818965919,2.73517376916717,0.208573612009972,0.895929792429792,0.888888888888889,0.102843385632822,0.0918522865312847,0.0730717129089223,0.0738461606583027,0.828857142857143,0.8,0.160559901263571,0.996333333333333,1,0.0259045125614008,0.94670061631866,0.107934047736421,0.0250924965391981,-282.521686854811,-272.003894490015
"11","musical","Breast-AdenoCA",2.72589358396422,2.72882117289319,0.225103403368196,0.915459873459873,0.909090909090909,0.0934859784085871,0.119939749369112,0.0964206425475246,0.081460287881739,0.935380952380952,1,0.11358512415872,0.910452380952381,1,0.123557618730077,0.929558619911006,0.0834131198077431,0.0334740866949796,-278.278683812601,-269.758629902568
"12","pasa","Kidney-RCC",2.71981085615089,2.87557138076981,0.281854405255183,0.924174492174492,1,0.10027814721049,0.153927239087203,0.0995474147466278,0.144412346188407,0.881238095238095,1,0.159877627336537,0.9925,1,0.0428616519994413,0.908744314903048,0.247010747358381,0.0199584789060572,-268.240360561859,-258.906587866935
"13","musical","Kidney-RCC",2.71304278201095,2.77500658800879,0.240909498131484,0.923883727383727,1,0.10011365281509,0.156195313227145,0.134000633623208,0.10814307547607,0.984333333333333,1,0.0637765811312086,0.884904761904762,1,0.153161413723094,0.907523258253223,0.102341759781867,0.0480726464476692,-260.237676410996,-260.476004295369
"14","msa_thresholdx10","Breast-AdenoCA",2.69640077058903,2.7130222021231,0.25856076733482,0.909450604950605,0.909090909090909,0.0988021584431384,0.14128970560145,0.113834812756424,0.106156809024277,0.875380952380952,1,0.143338622643023,0.962309523809524,1,0.0904926790625903,0.909217883884691,0.183188043714936,0.0415047088999348,-315.586768039224,-277.504941616722
"15","pasa","Eso-AdenoCA",2.69457962757379,2.73402319534457,0.257830087322539,0.899080197580198,0.909090909090909,0.106440057361689,0.134158467664309,0.084834483458388,0.126729218438272,0.836904761904762,0.833333333333333,0.157642285785753,0.991833333333333,1,0.0406522991675677,0.924925570164466,0.22498352939674,0.0653427536364942,-477.554680231817,-386.567386250492
"16","musical","ColoRect-AdenoCA",2.68654454878225,2.73202084098101,0.245995484108537,0.91502886002886,0.898989898989899,0.0919443062391475,0.159288784551083,0.118863802310328,0.115358517580683,0.947666666666667,1,0.0975577183902351,0.898166666666667,1,0.132486684844383,0.908079610998732,0.15617774005751,0.0621354161247122,-1538.14012146874,-381.033066193442
"17","musical","Ovary-AdenoCA",2.68205043323037,2.7227597960174,0.266831301836298,0.912371461871462,0.909090909090909,0.103283086014001,0.159854328674394,0.124306499142488,0.116786197641985,0.913333333333333,1,0.13091236434366,0.928571428571429,1,0.123122655325599,0.904384426400937,0.165306253323395,0.0470983872039545,-300.211483515683,-293.550226033644
"18","fitms_0.001","Kidney-RCC",2.67432978712843,2.65986893020311,0.24408260737534,0.898108225108225,0.888888888888889,0.100043682850433,0.144313070014431,0.126861090230917,0.0869131973381597,0.875309523809524,1,0.140801977902121,0.943333333333333,1,0.116774841624228,0.914880251589581,0.142776194774047,0.116133272951024,-276.145350088691,-266.62268329933
"19","fitms_0.005","Kidney-RCC",2.67432957304655,2.6598689293841,0.244082585485221,0.898108225108225,0.888888888888889,0.100043682850433,0.144313284096308,0.126861090230801,0.0869131086869457,0.875309523809524,1,0.140801977902121,0.943333333333333,1,0.116774841624228,0.91488022116985,0.142776002459265,0.116133219635166,-276.145350088691,-266.62268329933
"20","sigpro","ColoRect-AdenoCA",2.67097146996381,2.78137731694917,0.316434851214423,0.922857142857143,1,0.107444127768155,0.201695196702852,0.12524468032048,0.186733045607658,0.8875,1,0.162530753370695,0.985166666666667,1,0.0697476210327681,0.877616807103389,0.322372707577523,0.0438405792610398,-1640.14949415974,-427.329756619929
"21","musical","Eso-AdenoCA",2.66591303165954,2.72361000763529,0.288604434804133,0.915269341769342,0.916083916083916,0.0964789537808666,0.175777444530939,0.1308028249185,0.139755661332965,0.911,1,0.1163462287672,0.930690476190476,1,0.112634193539612,0.901832540286244,0.226660526910473,0.070733051790994,-525.054577888063,-421.849661996327
"22","fitms_0.030","Kidney-RCC",2.66561379235305,2.66411284338073,0.299516189078647,0.890445887445887,0.888888888888889,0.1348465459527,0.147195731456476,0.111333537675657,0.12386718210227,0.86697619047619,1,0.165759800008718,0.945833333333333,1,0.115260282230839,0.914985835831914,NA,NA,-270.802817008669,-265.463807555829
"23","fitms_0.010","Kidney-RCC",2.66561375946355,2.66411284338073,0.299516146706354,0.890445887445887,0.888888888888889,0.1348465459527,0.147195764345976,0.11133353767566,0.123867119480174,0.86697619047619,1,0.165759800008718,0.945833333333333,1,0.115260282230839,0.914985900791667,NA,NA,-270.802817008669,-265.463807555829
"24","msa_default","Breast-AdenoCA",2.66350016731033,2.70443833916932,0.261280111664116,0.902116938616939,0.909090909090909,0.0971968705108501,0.152190308880151,0.140785285900287,0.10473137261004,0.919214285714286,1,0.113347042533643,0.89647619047619,1,0.121019494092811,0.907500493209759,0.140173916557207,0.0689835713285726,-296.591197327621,-276.95884046964
"25","sigpro","Breast-AdenoCA",2.66035523218146,2.67391400118851,0.280164098679137,0.887782828282828,0.888888888888889,0.105800871533665,0.151740005913783,0.0996735101226121,0.15410774385647,0.814595238095238,0.8,0.162590382252791,0.9975,1,0.025,0.908699702354194,0.266749596531665,0.0661303885099838,-335.633370227733,-292.915494102994
"26","mp","Kidney-RCC",2.65735228122227,2.75405542422302,0.315399635764253,0.901814574314574,1,0.133120336572194,0.182647718777728,0.151296812416072,0.135655639160667,0.919285714285714,1,0.168409937510775,0.920714285714286,1,0.143920803697753,0.892522042298011,0.213676027291288,0.0727392113208918,-291.50754025678,-263.179769320202
"27","msa_thresholdx100_unpruned","Ovary-AdenoCA",2.65622440875329,2.69985397034662,0.295489763765689,0.899200466200466,0.909090909090909,0.121518330058277,0.172597019818135,0.126615050934401,0.149943476209809,0.8535,0.833333333333333,0.16448564526181,0.975321428571429,1,0.0925761116198875,0.894458557992976,0.292419089112808,0.0440121602946476,-307.336124319349,-295.693842999603
