Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Breast-AdenoCA::S.1,deconstruct_0.00,1618.86536464104,0.254378592809717,1,0.833333333333333,0.909090909090909,2.57895474052362,0.875,0.865268342818007,0.214127182233449,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct_0.00,1629.31682069442,0.176047198346236,1,0.625,0.769230769230769,2.44895280165376,0.625,0.903552780627459,0.0991615985849764,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct_0.00,926.54579733246,0.442899520713413,1,0.666666666666667,0.8,2.22376714595325,0.777777777777778,0.727469177162402,0.507673145788867,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct_0.00,604.120799216591,0.073200145306748,1,0.5,0.666666666666667,2.42679985469325,0.555555555555556,0.965604982251904,0.076213508109121,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct_0.00,2477.19850577211,0.579597217073494,1,0.714285714285714,0.833333333333333,2.13468849721222,0.75,0.648128745937689,0.595249926151079,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct_0.00,11740.9586930072,0.820414974006514,0.666666666666667,0.8,0.727272727272727,1.64625169266015,0.857142857142857,0.502128226771606,1.26096713853404,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct_0.00,140.551695302816,0.0425527385112975,1,0.8,0.888888888888889,2.7574472614887,0.888888888888889,0.980299867559703,0.0225512801793605,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct_0.00,611.386355300474,0.148647302528683,1,0.666666666666667,0.8,2.51801936413798,0.777777777777778,0.917628331381606,0.0664839868571404,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct_0.00,2885.27509473286,0.244826058102067,0.833333333333333,0.625,0.714285714285714,2.21350727523127,0.571428571428571,0.867422320203493,0.16690968273554,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct_0.00,1586.1041194488,0.262600019776291,0.833333333333333,0.714285714285714,0.769230769230769,2.28501902784276,0.714285714285714,0.874827729958693,0.319341916516529,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct_0.00,349.533794547908,0.120612075413357,1,0.571428571428571,0.727272727272727,2.45081649601521,0.666666666666667,0.932562265613792,0.113622225024256,Breast-AdenoCA
Breast-AdenoCA::S.12,deconstruct_0.00,636.429002068038,0.191811031364689,1,0.666666666666667,0.8,2.47485563530198,0.777777777777778,0.896311141577657,0.118157112940347,Breast-AdenoCA
Breast-AdenoCA::S.13,deconstruct_0.00,2338.66084474155,0.329064421660554,1,0.714285714285714,0.833333333333333,2.38522129262516,0.75,0.809192425046291,0.741071012563269,Breast-AdenoCA
Breast-AdenoCA::S.14,deconstruct_0.00,178.517717554557,0.0295754999262023,1,0.8,0.888888888888889,2.7704245000738,0.888888888888889,0.98104328946118,0.00540488638109673,Breast-AdenoCA
Breast-AdenoCA::S.15,deconstruct_0.00,1661.88006607352,0.168787331512647,0.75,0.75,0.75,2.33121266848735,0.888888888888889,0.895601848250245,0.0593344067111639,Breast-AdenoCA
Breast-AdenoCA::S.16,deconstruct_0.00,25.3703541518617,0.0211067838201845,1,0.666666666666667,0.8,2.64555988284648,0.909090909090909,0.986496076734177,0.00575641896464785,Breast-AdenoCA
Breast-AdenoCA::S.17,deconstruct_0.00,344.96485677448,0.117815866384727,1,0.666666666666667,0.8,2.54885080028194,0.777777777777778,0.938835333928651,0.0729372629938813,Breast-AdenoCA
Breast-AdenoCA::S.18,deconstruct_0.00,570.119604938927,0.143426315707906,1,0.714285714285714,0.833333333333333,2.57085939857781,0.75,0.921397717533176,0.112196016637426,Breast-AdenoCA
