Sample.ID,Tool,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS24,SBS26,SBS28,SBS29,SBS30,SBS31,SBS35,SBS37,SBS38,SBS39,SBS40,SBS40a,SBS40b,SBS40c,SBS41,SBS44
Breast-AdenoCA::S.1,deconstruct_0.00,543.958999668081,206.548956563021,0,0,175.159749444717,0,0,0,0,0,0,0,0,0,0,3540.44856856668,0,0,0,0,0,1720.75803305978,0,0,0,0,0,0,0,0,0,0,0,0,177.125692697716,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.2,deconstruct_0.00,250.983464043231,261.457839129923,5418.63301999665,0,2749.60386910328,0,0,0,0,0,91.2071476984981,136.107002074722,0,0,0,214.708569656137,0,0,0,132.299088297551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.3,deconstruct_0.00,267.355651085038,437.057397793458,0,0,311.243629912322,0,0,0,0,0,0,0,0,0,0,687.483471421448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.902010668783,0,0,0,22.9578391189505,0
Breast-AdenoCA::S.4,deconstruct_0.00,419.405887015088,711.659071906455,5216.04744793484,0,1603.82719353532,0,0,0,0,0,163.90011657513,0,0,0,0,0,0,0,0,0,0,55.2334855249863,0,0,0,0,0,0,0,0,0,0,0,0,82.9263900920224,0,0,0.000407416156197344,0,0,0,0,0
Breast-AdenoCA::S.5,deconstruct_0.00,388.838301907246,36.8919557812754,0,0,1583.68379074675,0,0,0,0,0,0,0,0,0,0,789.915602108804,0,0,0,35.327386512926,0,275.90939847711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163.43356446588,0,0,0,0,0
Breast-AdenoCA::S.6,deconstruct_0.00,922.280247612775,5761.18115838016,567.381342168564,0,0,0,0,0,0,0,0,0,0,0,0,1285.95815294766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5774.19909889083,0,0,0,0,0
Breast-AdenoCA::S.7,deconstruct_0.00,272.710531913456,177.605975445331,0,0,2765.89948906947,0,0,0,0,0,0,0,0,0,0,58.4076449898048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3763585819376,0
Breast-AdenoCA::S.8,deconstruct_0.00,651.465095389829,376.415525578103,1610.42620138183,0,1377.65569704104,0,0,0,0,0,85.4163009917468,0,0,0,0,0,0,0,0,11.6211796174494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.9,deconstruct_0.00,0,105.817611830892,4724.27723909347,0,2999.54095591869,0,0,0,0,0,184.438758490243,0,0,0,0,80.8560966211351,0,0,0,0,96.1751181462458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528.36245263357,0,0,0,65.531767265758,0
Breast-AdenoCA::S.10,deconstruct_0.00,0,863.603040252732,2565.9479402756,0,1617.12488142452,0,0,0,0,0,219.549048884848,0,0,0,0,335.842759373047,0,0,0,0,0,437.932089645622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000240143630770687,0,0,0,0,0
Breast-AdenoCA::S.11,deconstruct_0.00,352.47633160702,94.6597523031647,0,0,1562.32314481761,0,0,0,0,0,26.2409759295079,84.8517092867007,0,0,0,733.909957908436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5381281475604,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.12,deconstruct_0.00,806.350767006949,489.488385370185,1157.50327122672,0,732.297113595798,0,0,0,0,0,22.7140552791464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.646407521206,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.13,deconstruct_0.00,375.0061792111,2732.5028124791,0,0,52.9070190181854,0,0,0,0,0,0,0,0,0,0,2088.27698824681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.467675468485,0,0,848.353755212096,0,0,0,768.485570364231,0
Breast-AdenoCA::S.14,deconstruct_0.00,254.346223890999,254.74114122272,0,0,4007.24279025361,0,0,0,0,0,0,0,0,0,0,1519.6696517981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192834568210487,0,0,0,0,0
