cancer.type,Tool,rank_in_cancer_type,m.Combined
Breast-AdenoCA,pasa,1,2.73333818965919
Breast-AdenoCA,musical,2,2.72589358396422
Breast-AdenoCA,msa_thresholdx10,3,2.69640077058903
Breast-AdenoCA,sigpro,4,2.66035523218146
Breast-AdenoCA,fitms_0.010,5,2.63551293972184
Breast-AdenoCA,yapsa_0.03,6,2.54481039854759
Breast-AdenoCA,mp,7,2.52597314090432
Breast-AdenoCA,deconstruct_0.03,8,2.48648015891591
Breast-AdenoCA,mutsig,9,2.44369149877687
Breast-AdenoCA,sigest,10,2.30218541697076
Breast-AdenoCA,siglasso,11,2.16816401482167
ColoRect-AdenoCA,fitms_0.010,1,2.8186780090048
ColoRect-AdenoCA,pasa,2,2.81377987443928
ColoRect-AdenoCA,musical,3,2.68654454878225
ColoRect-AdenoCA,sigpro,4,2.67097146996381
ColoRect-AdenoCA,deconstruct_0.03,5,2.64465634189819
ColoRect-AdenoCA,mp,6,2.62355624403695
ColoRect-AdenoCA,yapsa_0.03,7,2.62065416374415
ColoRect-AdenoCA,msa_thresholdx10,8,2.58779076966533
ColoRect-AdenoCA,mutsig,9,2.37720978064986
ColoRect-AdenoCA,siglasso,10,2.34890597977555
ColoRect-AdenoCA,sigest,11,2.28392163880634
Eso-AdenoCA,pasa,1,2.69457962757379
Eso-AdenoCA,musical,2,2.66591303165954
Eso-AdenoCA,fitms_0.010,3,2.56758597211169
Eso-AdenoCA,msa_thresholdx10,4,2.54471100818184
Eso-AdenoCA,yapsa_0.03,5,2.45660884834663
Eso-AdenoCA,deconstruct_0.03,6,2.45260999295874
Eso-AdenoCA,mutsig,7,2.45038704666798
Eso-AdenoCA,sigpro,8,2.42234626288834
Eso-AdenoCA,mp,9,2.41067503717861
Eso-AdenoCA,sigest,10,2.40456299118642
Eso-AdenoCA,siglasso,11,2.19273159845167
Kidney-RCC,pasa,1,2.71981085615089
Kidney-RCC,musical,2,2.71304278201095
Kidney-RCC,fitms_0.010,3,2.66561375946355
Kidney-RCC,mp,4,2.65735228122227
Kidney-RCC,msa_thresholdx10,5,2.59196496800049
Kidney-RCC,yapsa_0.03,6,2.58107361136505
Kidney-RCC,deconstruct_0.03,7,2.54243034554027
Kidney-RCC,siglasso,8,2.38723060091618
Kidney-RCC,sigpro,9,2.33588782752901
Kidney-RCC,mutsig,10,2.30740742961474
Kidney-RCC,sigest,11,2.18793036750016
Liver-HCC,fitms_0.010,1,2.53690453354797
Liver-HCC,pasa,2,2.53619395638502
Liver-HCC,musical,3,2.48614265040588
Liver-HCC,sigpro,4,2.48512361907121
Liver-HCC,mp,5,2.4836394192621
Liver-HCC,msa_thresholdx10,6,2.34780143036519
Liver-HCC,deconstruct_0.03,7,2.28203705754365
Liver-HCC,siglasso,8,2.1955815832759
Liver-HCC,yapsa_0.03,9,2.15867357946907
Liver-HCC,mutsig,10,1.97924302084856
Liver-HCC,sigest,11,1.87486829551611
Lung-AdenoCA,musical,1,2.6123665469529
Lung-AdenoCA,sigpro,2,2.57607190960888
Lung-AdenoCA,pasa,3,2.51209494070264
Lung-AdenoCA,msa_thresholdx10,4,2.4973043074596
Lung-AdenoCA,fitms_0.010,5,2.46548920856759
Lung-AdenoCA,mp,6,2.40508548979031
Lung-AdenoCA,mutsig,7,2.34469672142015
Lung-AdenoCA,yapsa_0.03,8,2.34131274750087
Lung-AdenoCA,deconstruct_0.03,9,2.33533092136105
Lung-AdenoCA,sigest,10,2.23314836280104
Lung-AdenoCA,siglasso,11,2.17455702374373
Ovary-AdenoCA,musical,1,2.68205043323037
Ovary-AdenoCA,msa_thresholdx10,2,2.63268442679098
Ovary-AdenoCA,fitms_0.010,3,2.62941177586535
Ovary-AdenoCA,pasa,4,2.61818163398198
Ovary-AdenoCA,mp,5,2.61352408202109
Ovary-AdenoCA,sigpro,6,2.57767052479621
Ovary-AdenoCA,yapsa_0.03,7,2.51191624551282
Ovary-AdenoCA,deconstruct_0.03,8,2.43360479587119
Ovary-AdenoCA,mutsig,9,2.31824614015966
Ovary-AdenoCA,siglasso,10,2.25682800757814
Ovary-AdenoCA,sigest,11,2.23244450006949
Skin-Melanoma,pasa,1,2.58528728165628
Skin-Melanoma,musical,2,2.35617663118926
Skin-Melanoma,fitms_0.010,3,2.2692557799037
Skin-Melanoma,yapsa_0.03,4,2.16878855524444
Skin-Melanoma,mutsig,5,2.14142567958222
Skin-Melanoma,deconstruct_0.03,6,2.14012686307368
Skin-Melanoma,sigest,7,2.10243505234933
Skin-Melanoma,msa_thresholdx10,8,2.09674014619599
Skin-Melanoma,sigpro,9,2.0865385818791
Skin-Melanoma,mp,10,1.98642069664346
Skin-Melanoma,siglasso,11,1.90822105937437
Stomach-AdenoCA,musical,1,2.6214149537328
Stomach-AdenoCA,pasa,2,2.56989208427309
Stomach-AdenoCA,fitms_0.010,3,2.5444418284809
Stomach-AdenoCA,msa_thresholdx10,4,2.54377001133119
Stomach-AdenoCA,yapsa_0.03,5,2.45533591055519
Stomach-AdenoCA,mp,6,2.45451470183476
Stomach-AdenoCA,deconstruct_0.03,7,2.4419292670022
Stomach-AdenoCA,sigpro,8,2.41729206097747
Stomach-AdenoCA,mutsig,9,2.39750430567768
Stomach-AdenoCA,sigest,10,2.32996932207219
Stomach-AdenoCA,siglasso,11,2.12036663315296
