"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL"
"1","pasa",2.64141083511918,2.68359763651458,0.299612919392173,0.866469234469234,0.888888888888889,0.134384701431307,0.138802568760892,0.0902624808614146,0.134551102423659,0.797112874779541,0.8,0.191307364403453,0.983100529100529,1,0.0672622426396634,0.0822838671895546,0.220409567902965,0.0371179283271384
"2","musical",2.61538069150587,2.68559459730304,0.327142778372569,0.881746563168132,0.888888888888889,0.125994504986103,0.173241883450042,0.129444564569855,0.154112650137626,0.893123015873016,1,0.15052370973369,0.895499559082892,1,0.152957677449347,0.100805231824518,0.166602502225128,0.046765611541531
"3","fitms_0.010",2.56941915134548,2.60667838733841,0.318018282367137,0.821888753222087,0.857142857142857,0.156123948065199,0.136681818672158,0.104996422619021,0.117234645440555,0.750759700176367,0.75,0.20853451695338,0.95534126984127,1,0.110610889969725,0.0795667061280123,NA,NA
"4","fitms_0.030",2.56915213029616,2.60532574885007,0.324889023024001,0.821127113627114,0.857142857142857,0.157681047883287,0.135327146599783,0.104449898764887,0.120230647449577,0.750138007054674,0.75,0.209460429589697,0.95434126984127,1,0.112663698387463,0.0782468090835755,NA,NA
"5","fitms_0.050",2.56690197924598,2.60434037887718,0.325020608730761,0.820408560575227,0.857142857142857,0.155495408567328,0.135234705057373,0.104127470275839,0.120107362686376,0.749258377425044,0.75,0.207853381407469,0.952878306878307,1,0.114025670194653,0.0781235913064726,0.159853330101246,0.100888099324402
"6","fitms_0.060",2.56550353355776,2.60252856487913,0.325033788629433,0.819818212651546,0.857142857142857,0.155371816753104,0.135781298893736,0.104275079600197,0.120868340031301,0.748221340388007,0.75,0.207793562672769,0.953063492063492,1,0.113966628863708,0.0783925968280581,0.163516707411728,0.102442671161528
"7","fitms_0.200",2.56248841289608,2.60467744957377,0.333818112194395,0.817524814691481,0.857142857142857,0.159666482425883,0.141264673523669,0.101998723728998,0.142549755751966,0.734467372134039,0.75,0.211310658222067,0.969285714285714,1,0.0943217944568052,0.0812314214302042,NA,NA
"8","fitms_0.005",2.56116559976575,2.60057868808616,0.315549220365584,0.821370074370074,0.857142857142857,0.154209251795797,0.14255882704201,0.114956404824941,0.113979854018,0.753068342151676,0.75,0.207042732561545,0.950656084656085,1,0.116737684523678,0.08371848597345,0.14638394421384,0.104374357437723
"9","fitms_0.001",2.5564048694164,2.59719624358346,0.321080391918187,0.819714631047964,0.857142857142857,0.155714725200716,0.144412149983956,0.116159360681692,0.115555870396842,0.751420194003527,0.75,0.20756810470795,0.949396825396825,1,0.120301785018698,0.0846169514915004,0.150297715257357,0.105988041354116
"10","fitms_0.100",2.55526066797605,2.60098069838681,0.341980599950838,0.815872886372886,0.857142857142857,0.158401013952673,0.141032100983385,0.104447945301148,0.13999656379132,0.741562610229277,0.75,0.209812592064688,0.954730158730159,1,0.112124278530941,0.0814055386735158,NA,NA
"11","mp",2.46174718989142,2.54029543189981,0.413632347819982,0.799865264365264,0.857142857142857,0.186552292382282,0.214538965311405,0.16027902078828,0.178575634934864,0.748509259259259,0.8,0.243412398073311,0.927776895943563,1,0.13851600177285,0.123461219998949,0.335622461670432,0.117729316611676
"12","yapsa_0.03",2.42603488694304,2.48107844965611,0.388113744466093,0.805519665519665,0.833333333333333,0.158401112473405,0.228528605120449,0.187854105648829,0.165295115380797,0.809900793650794,0.8,0.20038646811262,0.844662698412698,0.845238095238095,0.17575159733422,0.129453457935979,0.234630512120732,0.123246107448026
"13","deconstruct_0.03",2.41639623737844,2.46953040259362,0.390359263691251,0.79952955686289,0.8,0.158766606689674,0.228263374614502,0.188878970954761,0.169863872919964,0.79319708994709,0.8,0.202750087932854,0.851462522045855,1,0.173185658731901,0.127661536161953,0.249647252706597,0.143362428777384
"14","yapsa_0.01",2.3974059209775,2.43347153481134,0.338074021390584,0.78790271384389,0.8,0.142288583429057,0.238817784329538,0.200134003106639,0.167636604043178,0.902544973544974,1,0.152251605438762,0.733678731762065,0.75,0.186077855972589,0.129882490719614,0.222736413818138,0.123179313653497
"15","deconstruct_0.06",2.38066403230218,2.43864325112393,0.396683858155464,0.768128087961421,0.8,0.169047897432824,0.231156955352143,0.194842787088292,0.169565976781993,0.692204585537919,0.666666666666667,0.217763574600972,0.919616402116402,1,0.144660467717783,0.131293206618329,0.351089728970358,0.215344451084432
"16","yapsa_0.06",2.37236467081446,2.43399206791384,0.394776216005419,0.763378547378547,0.8,0.173911632018678,0.233132242765783,0.195579701531863,0.162685264189346,0.69258024691358,0.666666666666667,0.222176806909902,0.912916666666667,1,0.155486811829248,0.133639949401856,0.34366990462668,0.223299435560721
"17","mutsig",2.30617246713931,2.33333998183805,0.316237512897724,0.717900070861371,0.727272727272727,0.150032358230462,0.243686078635902,0.205614382319047,0.167869475886691,0.948619047619048,1,0.112420573009819,0.601239498156165,0.6,0.182136858639187,0.12999012085226,0.226938551624789,0.127782588921294
"18","yapsa_0.00",2.30617145645007,2.33333831191349,0.316238058058947,0.717900070861371,0.727272727272727,0.150032358230462,0.243687089325146,0.205614401314702,0.167869622681819,0.948619047619048,1,0.112420573009819,0.601239498156165,0.6,0.182136858639187,0.129990599700147,0.226938837612502,0.127785797926311
"19","deconstruct_0.10",2.2936945069344,2.32064535880478,0.398666928100367,0.706219416386083,0.666666666666667,0.183842198736227,0.251817397827509,0.214440548509386,0.170536335699617,0.591771164021164,0.6,0.224144970149889,0.953740740740741,1,0.126696450431401,0.143501011540874,0.565867334626872,0.409431620409477
"20","deconstruct_0.00",2.29002208869517,2.33561867174469,0.358336088716114,0.729019464195935,0.75,0.15519256644778,0.240533226360143,0.200344289404568,0.169620130131958,0.856141093474427,1,0.17937138223312,0.674414221580888,0.666666666666667,0.196109566211618,0.128095453779515,0.241616413873835,0.137613507944675
"21","yapsa_0.10",2.28780123763251,2.32016673652854,0.382004488518327,0.700249398749399,0.666666666666667,0.185338053879063,0.253161284413345,0.221456378510502,0.160831500351414,0.586369929453263,0.6,0.226138597165009,0.954592592592593,1,0.124756173295651,0.146247128390674,0.566370124802608,0.42404942263844
"22","QP_null",2.21642039496487,2.24224072869425,0.274410961295965,0.633943294044945,0.666666666666667,0.150946669966129,0.242105713458303,0.205262508662692,0.167631614879716,0.966918430335097,1,0.0895236237374268,0.49160767808807,0.5,0.165013045603756,0.128600419393507,0.473799305595904,0.139496395051944
"23","sigest",2.21642039496487,2.24224072869425,0.274410961295965,0.633943294044945,0.666666666666667,0.150946669966129,0.242105713458303,0.205262508662692,0.167631614879716,0.966918430335097,1,0.0895236237374268,0.49160767808807,0.5,0.165013045603756,0.128600419393507,0.473799305595904,0.139496395051944
