# Original paramaters
"","SBS1","SBS2","SBS4","SBS5","SBS12","SBS13","SBS18","SBS21","SBS22a","SBS22b","SBS40a","SBS40b","SBS40c","SBS44"
"prob",0.77027027027027,0.00623700623700624,0.573804573804574,0.08004158004158,0.0467775467775468,0.16008316008316,0.0738045738045738,0.0051975051975052,0.0738045738045738,0.0987525987525988,0.896049896049896,0.862785862785863,0.120582120582121,0.00623700623700624
"size",2.84690733457704,16.3187933147935,3.4940943944768,9.82795302820742,2.0703216058968,4.041115118933,2.53780558326171,6.70175402505445,0.913226795124647,1.03841722784803,4.73131613201607,4.41437077340487,7.49607025890126,1.75867545152387
"mu",224.650665893048,201.666772837019,788.517321517235,1389.84101550239,969.228148681788,190.363161691894,828.515468628065,1331.27812323092,4628.03570245847,2972.25366533715,1865.2599898609,1346.80414704631,1511.5547779192,2863.44059931041
# Parameters derived from synthetic exposures
"","SBS1","SBS2","SBS4","SBS5","SBS12","SBS13","SBS18","SBS21","SBS22a","SBS22b","SBS40a","SBS40b","SBS40c","SBS44"
"prob",0.78375,0.0075,0.58875,0.08125,0.06125,0.15875,0.07375,0.005,0.06875,0.1025,0.89875,0.82875,0.12375,0.00625
"size",2.38659193160798,137.667831733595,3.59984953896823,8.97559683789925,2.12759866900191,5.28498280145762,2.54514474663599,11.0152471625628,1.01344652238142,1.42602410856319,4.96133558374854,4.19846258238062,8.49137310280528,3.58742483230068
"mu",233.846388973091,182.834952082605,780.541643145012,1332.76000849997,897.971771595339,184.342381696248,812.509318173538,1043.71328078023,4076.44551963634,2607.60422828923,1834.93352800596,1362.67232138641,1619.05069628332,3765.42035203105
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS2","SBS4","SBS5","SBS12","SBS13","SBS18","SBS21","SBS22a","SBS22b","SBS40a","SBS40b","SBS40c","SBS44"
"prob",-0.0134797297297297,-0.00126299376299376,-0.0149454261954262,-0.00120841995841996,-0.0144724532224532,0.00133316008316009,5.45738045738126e-05,0.000197505197505198,0.0050545738045738,-0.00374740124740124,-0.002700103950104,0.0340358627858628,-0.00316787941787941,-1.2993762993763e-05
"size",0.46031540296906,-121.349038418801,-0.105755144491423,0.852356190308171,-0.0572770631051158,-1.24386768252463,-0.00733916337428031,-4.31349313750833,-0.100219727256769,-0.387606880715161,-0.230019451732465,0.215908191024244,-0.995302843904023,-1.82874938077681
"mu",-9.1957230800428,18.8318207544133,7.97567837222277,57.0810070024231,71.2563770864491,6.02077999564651,16.0061504545274,287.564842450691,551.590182822129,364.649437047924,30.3264618549438,-15.8681743401069,-107.495918364119,-901.979752720636
