# Original paramaters
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",1,0.47787610619469,0.938053097345133,0.929203539823009,0.0265486725663717,0.47787610619469,0.176991150442478,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.300884955752212,0.0265486725663717
"size",6.92627839000062,2.32236665276418,3.07867094127538,1.65849262640579,5.77348443724264,1.26038498411637,2.54278945194037,5.4455031808561,1.58376679079984,1.47672522529283,7.13124968660578,0.766751926040707
"mu",551.905247122294,303.962455678883,4693.12960741648,1821.64224680044,1757.65019516979,468.628295116131,758.841821038556,16961,1072,1189,4258.26718744795,3414.13670186303
# Parameters derived from synthetic exposures
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",1,0.46125,0.95,0.935,0.03,0.4775,0.16,0.01,0.00625,0.01375,0.27875,0.025
"size",6.55677401157435,2.23143646287427,3.00229322052703,1.57434173376268,6.12114731734929,1.23563490008521,2.10157598785817,6.223713858009,5.2673136022827,1.81974893435336,7.97822115226837,0.517595482055021
"mu",544.366953771211,305.76563144932,4608.74161087077,1946.29967529146,1863.95447033186,501.746569178108,756.562981109753,15755.1126289081,1252.44519865326,1068.84934252483,4315.02834958402,4578.68989698767
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",0,0.0166261061946903,-0.0119469026548672,-0.0057964601769912,-0.00345132743362832,0.000376106194690307,0.0169911504424779,-0.00115044247787611,0.00259955752212389,-0.00490044247787611,0.0221349557522124,0.00154867256637168
"size",0.369504378426265,0.0909301898899111,0.0763777207483507,0.0841508926431103,-0.347662880106649,0.0247500840311534,0.441213464082201,-0.778210677152904,-3.68354681148287,-0.343023709060538,-0.846971465662586,0.249156443985686
"mu",7.53829335108321,-1.80317577043763,84.387996545709,-124.657428491022,-106.304275162065,-33.1182740619772,2.27883992880345,1205.88737109189,-180.445198653265,120.150657475173,-56.7611621360757,-1164.55319512464
