# Original paramaters
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22a","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.649068322981366,0.273291925465839,1,0.0093167701863354,0.0062111801242236,0.614906832298137,0.0093167701863354,0.118012422360248,0.0093167701863354,0.015527950310559,0.0031055900621118,0.0186335403726708,0.0527950310559006,0.0031055900621118,0.0062111801242236,0.385093167701863,0.0062111801242236,0.0031055900621118,0.031055900621118,0.114906832298137
"size",1.18032961973312,4.26157073263975,4.00229083204241,0.794042101851832,38.2379114671947,3.21495649109827,2.14743583575471,2.96280622230382,7.86779104625676,2.19544204486887,1.19328351663566,1.96200752396258,1.13703700052705,27.3536490080312,10.5868651311903,4.19621677791127,10.9884300668214,984.724866732314,1.66170240460205,3.63084862298283
"mu",131.19153378253,2865.92948826028,7652.02472549601,5711.90992242517,770.02140312917,2824.00477837042,2410.26966155611,1383.75365844174,230.654907617843,826.037558231858,1965,4343.36835255516,3523.54971522016,3852,7798.8505630622,1314.58528999772,1300.98551646182,2960,3827.20254351647,5374.05276661979
# Parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22a","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.6325,0.29125,1,0.00875,0.005,0.57875,0.0075,0.1175,0.0125,0.01,0.005,0.0225,0.04875,0.00125,0.00625,0.3925,0.00375,0.0025,0.0325,0.12375
"size",1.20320063386289,4.09520030467779,4.00644673434503,0.649717302337099,1652229008.98212,2.96450976097533,2.17014626351312,3.30036351255716,12.0710721672702,2.25984383744466,5.18136082779349,1.71390065953453,1.04824228462533,27.3536490080312,67.3309638741192,3.85502373205384,12.4458758558004,340.503835878427,1.68440039155062,3.86489290945167
"mu",124.170919303722,2844.34704033813,7684.15911953879,6968.99604511114,659.241827245712,2850.0777586516,2008.75826194242,1391.37278193288,195.096064215098,841.320976854301,1633.29892180239,4385.70694404546,5265.15417057447,4302,7283.4035738149,1294.51839001935,967.55130758639,3046.99829608816,4062.33804176703,5464.73144925021
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS22a","SBS24","SBS26","SBS29","SBS30","SBS31","SBS35","SBS40"
"prob",0.0165683229813665,-0.0179580745341615,0,0.000566770186335403,0.0012111801242236,0.0361568322981367,0.0018167701863354,0.000512422360248455,-0.0031832298136646,0.00552795031055901,-0.0018944099378882,-0.00386645962732919,0.00404503105590062,0.0018555900621118,-3.88198757763983e-05,-0.00740683229813666,0.0024611801242236,0.000605590062111801,-0.00144409937888199,-0.00884316770186336
"size",-0.022871014129777,0.16637042796196,-0.00415590230262097,0.144324799514733,-1652228970.74421,0.250446730122941,-0.0227104277584127,-0.337557290253333,-4.20328112101343,-0.0644017925757869,-3.98807731115783,0.248106864428055,0.0887947159017268,0,-56.744098742929,0.341193045857423,-1.45744578897897,644.221030853886,-0.0226979869485631,-0.23404428646884
"mu",7.02061447880811,21.5824479221505,-32.134394042786,-1257.08612268596,110.779575883459,-26.0729802811811,401.511399613694,-7.61912349114073,35.5588434027445,-15.2834186224424,331.701078197611,-42.3385914903029,-1741.60445535431,-450,515.446989247307,20.0668999783732,333.434208875434,-86.9982960881621,-235.135498250562,-90.6786826304196
