,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40,SBS41
Stomach-AdenoCA::S.1,847.0,1418.0,8981.0,5603.0,0.0,4957.0,190.0,0.0,0.0,0.0,1014.0
Stomach-AdenoCA::S.2,1419.0,0.0,0.0,4866.0,0.0,537.0,3325.0,3213.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,481.0,610.0,0.0,0.0,0.0,0.0,0.0,3071.0,0.0,4847.0,0.0
Stomach-AdenoCA::S.4,929.0,0.0,0.0,3141.0,0.0,0.0,9577.0,6263.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,1054.0,0.0,0.0,1112.0,0.0,2596.0,416.0,944.0,0.0,5400.0,0.0
Stomach-AdenoCA::S.6,1145.0,0.0,0.0,9834.0,963.0,0.0,2580.0,0.0,0.0,3246.0,2523.0
Stomach-AdenoCA::S.7,552.0,0.0,0.0,0.0,0.0,580.0,2039.0,2735.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,0.0,487.0,0.0,16510.0,0.0,2002.0,0.0,739.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,1131.0,0.0,0.0,14131.0,0.0,969.0,2257.0,2137.0,0.0,0.0,1039.0
Stomach-AdenoCA::S.10,685.0,0.0,0.0,1880.0,0.0,1478.0,660.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,358.0,124.0,0.0,8010.0,0.0,0.0,3276.0,2896.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,4283.0,711.0,0.0,3575.0,0.0,1329.0,0.0,2252.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,684.0,548.0,0.0,15407.0,0.0,0.0,1109.0,1264.0,0.0,0.0,0.0
Stomach-AdenoCA::S.14,1059.0,158.0,0.0,8070.0,0.0,0.0,222.0,0.0,0.0,5655.0,0.0
Stomach-AdenoCA::S.15,1483.0,0.0,0.0,0.0,0.0,769.0,341.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,777.0,0.0,0.0,3423.0,0.0,1930.0,5291.0,781.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,438.0,766.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,1121.0,0.0,0.0,8067.0,0.0,906.0,0.0,0.0,0.0,1713.0,0.0
Stomach-AdenoCA::S.19,1031.0,0.0,0.0,2662.0,137.0,2052.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.20,1171.0,540.0,0.0,2423.0,0.0,2180.0,627.0,969.0,0.0,5981.0,0.0
Stomach-AdenoCA::S.21,789.0,0.0,0.0,0.0,0.0,0.0,4714.0,0.0,989.0,0.0,0.0
