Samples	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS11
Eso-AdenoCA::S.1	45	0	0	0	0	32	0	37	0
Eso-AdenoCA::S.2	0	0	101	0	0	0	0	79	0
Eso-AdenoCA::S.3	0	0	74	0	0	0	0	0	0
Eso-AdenoCA::S.4	27	0	0	0	28	0	52	0	0
Eso-AdenoCA::S.5	0	0	0	0	66	0	0	66	0
Eso-AdenoCA::S.6	136	0	0	0	0	88	0	0	0
Eso-AdenoCA::S.7	0	0	21	0	30	28	0	57	0
Eso-AdenoCA::S.8	0	227	0	0	0	0	0	0	60
Eso-AdenoCA::S.9	17	48	0	0	29	0	0	0	32
Eso-AdenoCA::S.10	7	0	38	0	0	0	0	18	0
Eso-AdenoCA::S.11	32	93	51	0	0	0	0	0	0
Eso-AdenoCA::S.12	0	0	68	29	0	71	0	0	0
Eso-AdenoCA::S.13	31	0	17	18	0	40	0	54	0
Eso-AdenoCA::S.14	39	0	17	0	0	0	29	0	28
Eso-AdenoCA::S.15	0	0	28	0	53	63	0	0	64
Eso-AdenoCA::S.16	0	0	0	0	0	318	0	0	0
Eso-AdenoCA::S.17	0	0	94	0	0	0	0	0	60
Eso-AdenoCA::S.18	73	0	0	0	86	0	135	0	0
Eso-AdenoCA::S.19	0	0	0	0	0	116	121	0	0
Eso-AdenoCA::S.20	7	0	27	0	31	0	0	22	0
Eso-AdenoCA::S.21	16	0	58	0	0	0	0	55	0
Eso-AdenoCA::S.22	0	0	0	0	0	0	163	0	0
Eso-AdenoCA::S.23	68	0	0	0	0	42	47	0	0
Eso-AdenoCA::S.24	119	0	83	0	0	0	0	0	58
Eso-AdenoCA::S.25	29	0	22	0	0	0	0	0	0
Eso-AdenoCA::S.26	0	0	0	0	0	0	0	113	0
Eso-AdenoCA::S.27	0	0	107	0	0	0	0	0	0
Eso-AdenoCA::S.28	22	0	89	0	0	0	0	0	0
Eso-AdenoCA::S.29	0	0	40	0	69	0	33	65	0
Eso-AdenoCA::S.30	0	0	20	0	0	95	0	0	0
Eso-AdenoCA::S.31	90	0	0	132	0	257	0	0	0
Eso-AdenoCA::S.32	0	0	0	0	0	84	0	0	0
Eso-AdenoCA::S.33	0	0	0	0	0	265	0	0	0
Eso-AdenoCA::S.34	0	130	197	0	0	0	0	0	0
Eso-AdenoCA::S.35	0	0	25	0	50	78	0	0	0
Eso-AdenoCA::S.36	24	0	0	0	20	0	0	0	52
Eso-AdenoCA::S.37	33	0	77	0	0	0	38	0	0
Eso-AdenoCA::S.38	95	0	31	0	0	81	0	0	47
Eso-AdenoCA::S.39	0	0	0	0	0	104	0	49	0
Eso-AdenoCA::S.40	20	0	0	0	0	0	0	155	0
Eso-AdenoCA::S.41	16	0	0	0	0	107	48	0	0
Eso-AdenoCA::S.42	0	0	0	0	0	132	0	45	0
Eso-AdenoCA::S.43	0	0	0	0	0	0	0	135	0
Eso-AdenoCA::S.44	0	0	64	0	0	62	49	0	0
Eso-AdenoCA::S.45	32	0	36	0	28	0	0	0	0
Eso-AdenoCA::S.46	7	0	14	0	20	0	23	0	0
Eso-AdenoCA::S.47	0	0	0	0	0	99	0	138	0
Eso-AdenoCA::S.48	0	0	0	180	0	0	0	0	0
Eso-AdenoCA::S.49	0	0	40	0	0	0	0	0	71
Eso-AdenoCA::S.50	7	0	0	0	0	0	0	26	13
Eso-AdenoCA::S.51	36	0	0	0	0	0	29	43	0
Eso-AdenoCA::S.52	13	0	31	0	22	0	0	0	30
Eso-AdenoCA::S.53	0	0	32	0	0	0	42	0	89
Eso-AdenoCA::S.54	41	0	0	0	81	0	0	91	0
Eso-AdenoCA::S.55	0	0	0	0	0	39	0	152	0
