,Liver-HCC::S.1,Liver-HCC::S.2,Liver-HCC::S.3,Liver-HCC::S.4,Liver-HCC::S.5,Liver-HCC::S.6,Liver-HCC::S.7,Liver-HCC::S.8,Liver-HCC::S.9,Liver-HCC::S.10,Liver-HCC::S.11,Liver-HCC::S.12,Liver-HCC::S.13,Liver-HCC::S.14,Liver-HCC::S.15,Liver-HCC::S.16,Liver-HCC::S.17,Liver-HCC::S.18,Liver-HCC::S.19,Liver-HCC::S.20,Liver-HCC::S.21,Liver-HCC::S.22,Liver-HCC::S.23,Liver-HCC::S.24,Liver-HCC::S.25,Liver-HCC::S.26,Liver-HCC::S.27,Liver-HCC::S.28,Liver-HCC::S.29,Liver-HCC::S.30,Liver-HCC::S.31,Liver-HCC::S.32,Liver-HCC::S.33,Liver-HCC::S.34,Liver-HCC::S.35,Liver-HCC::S.37,Liver-HCC::S.38,Liver-HCC::S.39,Liver-HCC::S.40,Liver-HCC::S.41,Liver-HCC::S.42,Liver-HCC::S.43,Liver-HCC::S.44,Liver-HCC::S.45,Liver-HCC::S.46,Liver-HCC::S.47,Liver-HCC::S.48,Liver-HCC::S.49,Liver-HCC::S.50,Liver-HCC::S.52,Liver-HCC::S.53,Liver-HCC::S.54,Liver-HCC::S.55,Liver-HCC::S.56,Liver-HCC::S.57,Liver-HCC::S.58,Liver-HCC::S.59,Liver-HCC::S.60,Liver-HCC::S.61,Liver-HCC::S.62,Liver-HCC::S.63,Liver-HCC::S.64,Liver-HCC::S.65,Liver-HCC::S.66,Liver-HCC::S.67,Liver-HCC::S.68,Liver-HCC::S.69,Liver-HCC::S.70,Liver-HCC::S.71,Liver-HCC::S.72,Liver-HCC::S.73,Liver-HCC::S.74,Liver-HCC::S.75,Liver-HCC::S.76,Liver-HCC::S.77,Liver-HCC::S.78,Liver-HCC::S.79,Liver-HCC::S.80,Liver-HCC::S.81,Liver-HCC::S.82,Liver-HCC::S.83,Liver-HCC::S.84,Liver-HCC::S.85,Liver-HCC::S.86,Liver-HCC::S.87,Liver-HCC::S.88,Liver-HCC::S.89,Liver-HCC::S.90,Liver-HCC::S.91,Liver-HCC::S.92,Liver-HCC::S.93,Liver-HCC::S.94,Liver-HCC::S.95,Liver-HCC::S.96,Liver-HCC::S.97,Liver-HCC::S.98,Liver-HCC::S.99
SBS1,0.0,0.0,180.3512167159983,0.0,202.03608571422427,546.952830545702,136.26727076305622,204.36397060819783,0.0,0.0,0.0,160.1629222017138,522.7525939582392,0.0,114.59565986367724,178.20506045325686,0.0,295.490582658006,469.78662411696877,0.0,0.0,0.0,280.2223691435656,0.0,0.0,0.0,308.9341472442348,0.0,0.0,0.0,0.0,0.0,126.9883589942037,0.0,142.43831447564892,0.0,311.799026687405,0.0,0.0,202.82005442539645,0.0,243.110099125026,225.0931705254132,131.06642654805768,0.0,0.0,307.46683390398505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.88483603244796,161.45121990321294,0.0,0.0,0.0,0.0,386.71507500015576,0.0,0.0,167.9449487931742,0.0,0.0,178.1429948354378,0.0,0.0,238.07921243672635,0.0,570.3949459875595,0.0,0.0,0.0,0.0,0.0,0.0,329.5986598372224,276.3865712011157,0.0,0.0,203.36016291987278,0.0,80.28462183409145,0.0,160.36774249608646,62.241931045361085,121.06381641777341,498.68806017986446,0.0,0.0
SBS4,2950.9412093851815,5716.366186961848,0.0,0.0,2714.4979984157903,0.0,0.0,0.0,0.0,0.0,2570.6767255396444,2101.6628050313657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.819901639572,0.0,2228.9575853963374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283.559133494701,0.0,0.0,0.0,0.0,0.0,4641.114936512982,4596.307351075365,0.0,0.0,0.0,0.0,3669.35838011605,3946.6319381862345,4803.852451236312,0.0,0.0,0.0,0.0,2780.928711591287,0.0,0.0,0.0,0.0,0.0,0.0,1087.2266965169836,1775.839079898326,0.0,2333.045708744682,0.0,0.0,0.0,400.4337857030548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5895.688914883086,0.0,1374.6416920489157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.45120593872474,2103.384545157072,0.0,0.0,0.0,0.0
SBS5,5075.4358552490085,6036.251068385682,11115.07269232567,7246.870735821697,2002.5769030941387,6481.884997246768,0.0,6774.390207427038,8235.040071500995,10723.228941879377,6985.638369926164,2255.902706214508,15830.065359695138,5613.342322108187,1179.0068720743182,8367.48010580308,6315.476070067048,534.9496747492826,7431.197512730177,4207.808190122079,8991.313570841361,1797.047659654027,0.0,4343.951505086832,11211.316929031607,8606.157535948905,5834.335388494506,6001.003331992857,6982.488770070258,1806.0175190426082,3504.5022194798503,4341.53492333036,5577.27944803341,5514.839080641233,4841.176424008154,7833.563510082136,3476.130079970299,8941.046257472384,12064.167237616104,8455.119626862548,10506.004260215024,2246.1248926676476,10100.699835846459,5410.402279540893,10814.792776653638,9374.437545381488,12736.882751537643,5433.84407417517,5954.680950903652,9818.064358647403,9561.509580916845,3779.681808191647,3674.6414212566,5507.133181076084,7353.072192681024,21875.252725751445,6817.818636632751,3690.0930704929656,8478.10062356203,7272.68422938162,9220.40709185752,9009.349131944058,7390.403979902882,7094.716497376855,7726.279822733232,10989.113754813934,6608.019410965521,4077.4481587573155,9360.73972006923,4149.383813704556,6590.0203092795,4997.997822333157,8456.826469769909,9303.977597735828,11786.239814391802,6874.788174963428,5931.691161908531,9328.545353067488,5181.489664650044,9717.556066991314,7284.152763286465,5665.258933808746,6094.6251795321405,3066.2447672752614,20771.202456692492,9730.06057812534,3587.1628806719377,8325.770083825997,3831.1211841411523,4811.90200220771,6066.155978989905,2700.8583935795305,531.0863201451192,2414.9957171077986,8965.003225750399,10658.635520698635,11055.10097116708
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.3467774872549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS12,0.0,0.0,2172.0918841729094,0.0,0.0,972.2807815625472,3916.618445723442,0.0,2285.762028413621,0.0,728.1683475947887,1087.1308359367554,0.0,2906.3447507917795,0.0,2063.5164451983524,4826.8382012310285,2229.0937971499898,2248.083520742897,2158.873333718148,1064.349464598,3497.659993218033,6938.414248961359,0.0,1998.5743158835112,3133.1830815531794,0.0,0.0,2087.23166088483,149.23296776864152,3977.5985003402425,0.0,2098.4958741283817,5662.260941367214,3932.1934627164146,1712.4591223424845,0.0,0.0,0.0,4545.446012469785,0.0,2193.8051535860063,3679.7696404593084,3529.697244252436,1258.0607216604667,0.0,0.0,562.9718015707817,0.0,1610.754394858281,1205.4428226948694,1956.6396927999535,489.1075843175595,0.0,2172.1816345498264,0.0,11463.049655619247,0.0,6700.363223994593,1487.2577373283111,982.7780502264964,3542.00850197437,1265.7791757876812,553.9904146775418,1965.07599534138,1180.6571424857702,0.0,2746.3671107015175,5702.3228323308485,624.4481280838909,2596.5881810123137,469.8657435563737,2445.7101728845855,1022.9467749113023,1702.3441208693357,713.2388684105799,1227.989925567168,0.0,0.0,0.0,0.0,4653.613852884071,2736.30195545646,1626.3650923441608,0.0,1310.1895025731424,4170.3171328173885,0.0,2679.8611396558845,1912.857439437791,0.0,2398.285118315995,2099.7303674418863,3423.429400408368,2358.778993791261,2305.6602138662283,0.0
SBS16,340.05253469784134,0.0,0.0,0.0,2563.965982585306,0.0,0.0,0.0,0.0,443.9294249110076,1526.704416099812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.1150997377122,2531.9581626699965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.8528831527092,707.3151279379967,0.0,0.0,1590.4973841416295,888.8176865270059,0.0,0.0,2677.770589064952,0.0,0.0,0.0,0.0,0.0,2838.658459182055,1848.6559954403597,0.0,0.0,0.0,1510.4680799854514,2148.5076729990496,1260.7440660221619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.803835536994,0.0,0.0,0.0,0.0,0.0,0.0,1586.844967553132,0.0,0.0,0.0,0.0,785.9608750043944,0.0,1809.1539794217501,0.0,0.0,0.0,671.1418832999125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.93604674793474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.10393884788567,0.0,0.0,0.0,211.84768028194526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.54875254332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.01750839305535,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.43318010647113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.73077314893158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.43294198541975,0.0,0.0,1241.6861603441623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.31047364120145,0.0,0.0,137.80029224496286,0.0,0.0,164.1177143773212,0.0,0.0,0.0,0.0,113.51868339969371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.328836644298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.9523813327062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.5484071696566,0.0,0.0,0.0,1013.2537256915505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.9343789746674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.8964588862243,0.0,0.0,0.0,0.0,354.28360401652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.00221344026704,0.0,0.0,0.0,0.0,0.0,0.0,267.5926453534021,0.0,0.0,0.0,1522.5748450550527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.95145243324566,0.0,0.0,0.0,0.0,0.0,592.9406822692195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.0984901748243,0.0,357.96549952806436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.1829883195902,0.0,0.0,1252.4223387899474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
