,ID1,ID2,ID3,ID5,ID6,ID7,ID8,ID14
Stomach-AdenoCA::S.1,9.0,606.0,0.0,224.0,0.0,0.0,93.0,0.0
Stomach-AdenoCA::S.2,0.0,41.0,0.0,293.0,0.0,37.0,0.0,1998.0
Stomach-AdenoCA::S.3,615.0,116.0,0.0,477.0,0.0,0.0,0.0,1434.0
Stomach-AdenoCA::S.4,184.0,207.0,0.0,442.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,34.0,1704.0,0.0,113.0,0.0,62.0,0.0,0.0
Stomach-AdenoCA::S.6,1766.0,169.0,0.0,495.0,15.0,0.0,0.0,740.0
Stomach-AdenoCA::S.7,156.0,343.0,0.0,326.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,547.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,78.0,270.0,0.0,87.0,0.0,0.0,136.0,0.0
Stomach-AdenoCA::S.10,1090.0,285.0,0.0,350.0,456.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,177.0,221.0,0.0,13.0,0.0,18.0,0.0,0.0
Stomach-AdenoCA::S.12,323.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,446.0,299.0,0.0,486.0,21.0,115.0,0.0,3.0
Stomach-AdenoCA::S.14,891.0,119.0,0.0,0.0,7.0,16.0,0.0,0.0
Stomach-AdenoCA::S.15,821.0,292.0,0.0,78.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,67.0,173.0,0.0,196.0,0.0,0.0,0.0,3.0
Stomach-AdenoCA::S.17,310.0,130.0,0.0,446.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,20.0,64.0,0.0,130.0,0.0,0.0,271.0,0.0
Stomach-AdenoCA::S.19,338.0,486.0,0.0,0.0,87.0,0.0,117.0,0.0
Stomach-AdenoCA::S.20,237.0,149.0,13.0,0.0,117.0,0.0,0.0,0.0
