Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.1,411.23960354698806,4982.140859859547,0.0,0.0,27604.614420848175,764.6842938292269,3885.1273239319858,344.07071019987876,0.0,0.0,283.94836845554204,0.0
Lung-AdenoCA::S.2,0.0,14445.568517510674,0.0,0.0,40477.525312908474,0.0,841.368374164066,576.8467689906958,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.3,529.9634082032896,0.0,0.0,59295.63775508023,5810.779153735006,0.0,5629.296403131638,3947.698488188851,0.0,4269.647729012284,0.0,0.0
Lung-AdenoCA::S.4,530.3702294857127,0.0,0.0,0.0,4388.86658944678,0.0,2225.9780814314017,0.0,0.0,0.0,0.0,1935.3911744283193
Lung-AdenoCA::S.5,0.0,2301.7964325594025,0.0,1349.5214806557806,4222.686032916666,1348.5585137952141,0.0,0.0,0.0,381.4862991752405,0.0,20537.41774335389
Lung-AdenoCA::S.6,169.47603314888096,665.3928396648928,12444.84925507992,13303.096845076754,16631.374987364878,0.0,574.8018326932702,0.0,0.0,1985.5103101034704,4175.283790669183,3604.634848821957
Lung-AdenoCA::S.7,0.0,80.70829864595308,0.0,17523.989226252077,2711.582092398052,0.0,0.0,0.0,0.0,0.0,0.0,976.8738759222355
Lung-AdenoCA::S.8,607.0012716268853,0.0,0.0,22705.18403984059,4042.6997163957967,0.0,0.0,0.0,0.0,3813.323801486556,0.0,0.0
Lung-AdenoCA::S.9,142.56069216360203,142.43840224086347,2186.4847361136403,16290.255044235888,0.0,0.0,0.0,0.0,253.78611466793103,2109.024232052953,141.17508256952934,5232.368540482237
Lung-AdenoCA::S.10,0.0,690.0325812249516,0.0,36653.97093830551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,119.58382273147974,3004.5890833763283,0.0,0.0,2182.222060342347,0.0,0.0,0.0,213.57692884026423,0.0,42.55356121652656,0.0
Lung-AdenoCA::S.12,658.8291712716042,33.10734702542076,367.9148316075077,0.0,3706.8299505296695,0.0,0.0,0.0,408.6916103669389,0.0,71.10134590333894,607.4367850295852
Lung-AdenoCA::S.13,154.68295465014054,0.0,0.0,0.0,12796.212188685862,0.0,153.98224661109597,73.57666246324884,78.033705482741,0.0,0.0,3700.219154794067
Lung-AdenoCA::S.14,166.59380206981285,0.0,0.0,29656.79737371473,1132.0134780478347,0.0,1858.7745653176885,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.15,0.0,9378.752640970066,0.0,83442.44894428246,0.0,0.0,0.0,759.8868740881577,0.0,4612.734860613664,0.0,9465.051123260346
Lung-AdenoCA::S.16,0.0,150.03550866278655,0.0,0.0,9277.606972095315,0.0,0.0,162.9147189575398,0.0,0.0,136.22446833982795,14265.234174652838
Lung-AdenoCA::S.17,326.64569557873915,101.16450388081543,867.8782098969264,0.0,3330.191100878675,0.0,5704.322190842361,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.18,1418.324915567043,111.13340154297087,12740.044308948236,4306.326306871494,0.0,0.0,7708.034190911246,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,0.0,284.97844414216485,0.0,66318.01366225876,18744.299918800076,1429.421092709418,1045.4673554567946,0.0,0.0,0.0,0.0,0.0
