MutationType	ColoRect-AdenoCA::MSI-H.S.1	ColoRect-AdenoCA::MSI-H.S.2	ColoRect-AdenoCA::MSI-H.S.3	ColoRect-AdenoCA::MSI-H.S.4	ColoRect-AdenoCA::MSI-H.S.5	ColoRect-AdenoCA::MSI-H.S.6	ColoRect-AdenoCA::MSI-H.S.7	ColoRect-AdenoCA::MSI-H.S.8	ColoRect-AdenoCA::MSI-H.S.9	ColoRect-AdenoCA::MSI-H.S.10	ColoRect-AdenoCA::MSI-H.S.11	ColoRect-AdenoCA::MSI-H.S.12	ColoRect-AdenoCA::MSI-H.S.13	ColoRect-AdenoCA::MSI-H.S.14	ColoRect-AdenoCA::MSI-H.S.15
1:Del:C:0	199	30	155	308	214	283	55	228	367	346	415	284	743	220	804
1:Del:C:1	9	13	35	5	1	7	13	6	15	4	24	14	14	7	21
1:Del:C:2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
1:Del:C:3	134	61	100	100	190	128	77	78	180	68	170	305	283	344	194
1:Del:C:4	322	51	131	213	421	222	49	318	98	89	678	270	238	487	258
1:Del:C:5	247	175	714	1621	1262	499	135	270	495	803	2093	787	2095	815	935
1:Del:T:0	108	70	256	691	1107	666	129	407	379	387	607	707	524	483	869
1:Del:T:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:T:2	572	123	342	787	105	429	86	465	330	577	887	491	395	744	335
1:Del:T:3	1124	150	1167	1146	1807	2145	415	888	826	618	968	1982	1203	1094	1518
1:Del:T:4	1789	500	3899	5145	3111	2403	1049	4539	3968	3806	8005	1797	3140	2859	3101
1:Del:T:5	23032	14689	31755	46367	67195	103785	6656	17853	50553	64980	178980	28444	52062	28248	61821
1:Ins:C:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:1	10	5	14	19	30	14	0	9	25	4	19	16	14	37	8
1:Ins:C:2	1	1	0	3	2	0	0	1	4	1	2	4	3	5	3
1:Ins:C:3	16	15	22	60	57	10	22	40	41	35	102	58	37	30	35
1:Ins:C:4	178	43	133	135	291	111	88	101	344	203	194	186	197	144	231
1:Ins:C:5	854	603	713	1024	850	1200	234	998	1037	1182	1237	921	1726	539	2671
1:Ins:T:0	92	42	83	93	70	89	69	89	130	59	102	211	84	157	90
1:Ins:T:1	0	2	0	0	1	0	1	0	1	0	1	0	1	0	4
1:Ins:T:2	46	9	18	42	25	60	9	46	24	7	55	34	13	48	51
1:Ins:T:3	106	143	99	103	116	137	31	98	185	97	155	145	167	110	198
1:Ins:T:4	147	69	409	423	303	620	242	217	443	224	633	595	156	459	657
1:Ins:T:5	7086	13315	24527	2648	7642	2674	19442	7009	32089	3406	42221	10250	19008	5832	64271
2:Del:R:0	16	5	28	15	28	27	19	19	18	10	48	12	16	18	24
2:Del:R:1	303	52	248	162	384	65	39	282	218	134	406	241	83	162	335
2:Del:R:2	87	52	199	146	258	288	12	45	93	48	279	180	113	175	88
2:Del:R:3	44	11	46	37	110	78	19	44	12	45	53	151	34	35	128
2:Del:R:4	21	10	37	119	57	63	17	44	45	91	152	41	85	97	43
2:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:0	1	2	7	3	0	4	4	1	3	2	5	1	3	5	3
3:Del:R:1	329	93	371	267	333	216	99	132	342	179	711	284	797	386	391
3:Del:R:2	47	67	130	107	150	264	45	150	173	57	434	254	133	139	182
3:Del:R:3	7	8	21	21	41	30	5	40	51	30	51	41	27	5	33
3:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	0	1	2	0	0	1	1	1	0	0	0	3	0	2	3
4:Del:R:1	157	32	152	195	220	91	50	141	39	102	150	322	242	411	127
4:Del:R:2	41	12	16	37	67	97	3	29	27	37	19	32	26	34	43
4:Del:R:3	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0
4:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	18	2	4	11	8	18	2	5	22	18	9	10	32	15	7
5:Del:R:0	2	0	0	0	10	5	0	1	5	0	3	6	3	2	2
5:Del:R:1	93	56	152	159	301	285	31	153	33	140	469	88	206	433	114
5:Del:R:2	36	10	17	10	32	8	1	23	13	49	67	12	45	20	19
5:Del:R:3	5	4	15	8	12	24	2	18	8	12	17	11	35	6	6
5:Del:R:4	4	1	4	8	6	10	2	6	1	5	5	11	7	5	1
