Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11
Breast-AdenoCA::S.1	37	110	0	0	0	134	0	0
Breast-AdenoCA::S.2	163	0	0	0	80	102	91	0
Breast-AdenoCA::S.3	38	0	0	0	0	160	60	0
Breast-AdenoCA::S.4	127	0	0	0	328	224	0	0
Breast-AdenoCA::S.5	80	0	0	0	301	0	0	0
Breast-AdenoCA::S.6	25	0	0	0	0	90	31	0
Breast-AdenoCA::S.7	70	0	350	0	0	310	369	0
Breast-AdenoCA::S.8	0	0	0	0	775	0	0	0
Breast-AdenoCA::S.9	415	0	0	0	207	0	0	0
Breast-AdenoCA::S.10	117	0	0	0	0	108	121	0
Breast-AdenoCA::S.11	10	0	0	0	0	19	33	0
Breast-AdenoCA::S.12	65	52	0	0	0	538	0	0
Breast-AdenoCA::S.13	130	0	0	0	437	0	267	0
Breast-AdenoCA::S.14	456	134	0	0	0	297	0	0
Breast-AdenoCA::S.15	0	0	0	0	0	204	145	0
Breast-AdenoCA::S.16	46	0	0	0	373	191	122	0
Breast-AdenoCA::S.17	207	0	0	0	238	0	108	0
Breast-AdenoCA::S.18	0	91	215	0	0	0	91	0
Breast-AdenoCA::S.19	0	155	182	0	0	380	0	0
Breast-AdenoCA::S.20	63	0	0	0	0	141	62	0
Breast-AdenoCA::S.21	41	31	0	0	0	101	0	0
Breast-AdenoCA::S.22	0	47	0	164	0	105	0	0
Breast-AdenoCA::S.23	350	0	0	0	546	0	0	0
Breast-AdenoCA::S.24	248	0	0	0	0	273	0	0
Breast-AdenoCA::S.25	0	144	0	0	655	504	0	0
Breast-AdenoCA::S.26	29	0	0	0	0	0	182	0
Breast-AdenoCA::S.27	41	56	0	0	0	0	251	0
Breast-AdenoCA::S.28	113	0	0	0	0	270	0	0
Breast-AdenoCA::S.29	170	38	0	0	0	88	0	0
Breast-AdenoCA::S.30	108	0	0	0	111	287	0	0
Breast-AdenoCA::S.31	0	0	0	133	0	77	51	0
Breast-AdenoCA::S.32	0	0	0	0	1001	373	0	0
Breast-AdenoCA::S.33	0	13	0	0	0	46	25	0
Breast-AdenoCA::S.34	67	101	0	0	0	81	0	0
Breast-AdenoCA::S.35	0	0	0	0	681	0	0	0
Breast-AdenoCA::S.36	112	46	0	224	70	0	0	0
Breast-AdenoCA::S.37	20	0	0	0	0	110	119	0
Breast-AdenoCA::S.38	181	112	0	0	0	180	158	0
Breast-AdenoCA::S.39	31	0	160	192	0	0	0	0
Breast-AdenoCA::S.40	321	0	0	0	0	206	157	0
Breast-AdenoCA::S.41	0	0	0	0	140	115	0	0
Breast-AdenoCA::S.42	37	33	0	0	0	28	27	0
Breast-AdenoCA::S.43	55	51	0	138	164	0	0	0
Breast-AdenoCA::S.44	122	0	0	0	0	105	87	0
Breast-AdenoCA::S.45	46	67	0	0	129	64	0	0
Breast-AdenoCA::S.46	23	51	0	55	75	0	0	0
Breast-AdenoCA::S.47	60	0	0	0	0	190	55	0
Breast-AdenoCA::S.48	227	0	0	0	0	140	0	0
Breast-AdenoCA::S.49	45	23	0	0	0	92	0	0
Breast-AdenoCA::S.50	151	0	0	0	0	241	0	0
Breast-AdenoCA::S.51	304	175	253	0	409	0	0	0
Breast-AdenoCA::S.52	14	0	0	0	0	22	0	0
Breast-AdenoCA::S.53	173	189	0	0	209	99	0	0
Breast-AdenoCA::S.54	0	0	0	0	227	0	189	0
Breast-AdenoCA::S.55	0	0	0	0	0	291	0	0
Breast-AdenoCA::S.56	38	0	0	0	220	135	0	0
Breast-AdenoCA::S.57	34	100	0	0	0	228	0	0
Breast-AdenoCA::S.58	75	54	0	0	0	0	121	0
Breast-AdenoCA::S.59	27	0	0	157	113	121	0	0
Breast-AdenoCA::S.60	0	0	0	0	0	698	0	0
Breast-AdenoCA::S.61	60	14	0	0	0	0	0	0
Breast-AdenoCA::S.62	0	52	0	0	59	84	98	0
Breast-AdenoCA::S.63	98	0	0	0	481	549	0	0
Breast-AdenoCA::S.64	0	140	0	0	0	0	232	0
Breast-AdenoCA::S.65	181	0	367	0	0	234	0	0
Breast-AdenoCA::S.66	146	0	0	0	0	123	89	0
Breast-AdenoCA::S.67	0	0	0	253	123	220	0	0
Breast-AdenoCA::S.68	12	24	0	0	0	42	19	0
Breast-AdenoCA::S.69	55	85	0	0	0	101	117	0
Breast-AdenoCA::S.70	0	56	0	0	32	38	20	0
Breast-AdenoCA::S.71	0	0	298	0	0	77	0	0
Breast-AdenoCA::S.72	0	0	0	0	497	211	0	0
Breast-AdenoCA::S.73	42	131	0	0	0	71	54	0
Breast-AdenoCA::S.74	175	103	0	138	0	0	91	0
Breast-AdenoCA::S.75	36	0	0	0	0	125	266	0
Breast-AdenoCA::S.76	120	0	0	0	0	93	0	0
Breast-AdenoCA::S.77	29	70	0	0	0	0	119	0
Breast-AdenoCA::S.78	108	225	0	0	89	83	0	0
Breast-AdenoCA::S.79	43	33	0	0	206	48	74	0
Breast-AdenoCA::S.80	88	153	0	0	0	80	49	0
Breast-AdenoCA::S.81	66	52	226	0	0	0	409	0
Breast-AdenoCA::S.82	87	0	0	0	856	0	0	0
Breast-AdenoCA::S.83	43	0	0	0	0	65	31	0
Breast-AdenoCA::S.84	56	0	0	63	36	70	52	0
Breast-AdenoCA::S.85	0	68	587	0	0	0	0	0
Breast-AdenoCA::S.86	40	0	0	0	390	218	0	0
Breast-AdenoCA::S.87	43	0	0	0	0	206	70	0
Breast-AdenoCA::S.88	36	168	0	103	0	0	0	0
Breast-AdenoCA::S.89	150	0	0	0	0	354	0	0
Breast-AdenoCA::S.90	0	99	0	0	0	176	336	0
Breast-AdenoCA::S.91	11	86	0	0	0	0	22	0
Breast-AdenoCA::S.92	65	70	0	0	0	175	0	0
Breast-AdenoCA::S.93	28	0	0	0	0	0	0	0
Breast-AdenoCA::S.94	0	83	0	0	849	0	341	0
Breast-AdenoCA::S.95	251	0	0	0	686	0	0	0
Breast-AdenoCA::S.96	45	47	0	0	48	71	117	0
Breast-AdenoCA::S.97	434	0	697	0	0	250	0	0
Breast-AdenoCA::S.98	0	0	0	0	832	0	0	0
Breast-AdenoCA::S.99	48	0	0	0	0	333	0	0
Breast-AdenoCA::S.100	67	0	0	142	118	80	0	0
