,Liver-HCC::MSI-H.S.36,Liver-HCC::MSI-H.S.51,Liver-HCC::MSI-H.S.1
SBS1,0.0,0.0,1835.3585476164988
SBS4,0.0,0.0,0.0
SBS5,5591.502163133333,8424.509485909057,12235.679337369378
SBS6,0.0,0.0,10591.928396623474
SBS9,0.0,0.0,0.0
SBS12,0.0,1308.529631394431,0.0
SBS14,1495.8819683317374,858.1323982525677,2480.481114716218
SBS16,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0
SBS18,0.0,0.0,0.0
SBS19,0.0,0.0,0.0
SBS22a,0.0,0.0,0.0
SBS24,0.0,0.0,0.0
SBS26,0.0,0.0,8066.5068520276345
SBS29,0.0,835.5213883939299,0.0
SBS30,0.0,0.0,1172.6954412310026
SBS31,0.0,0.0,0.0
SBS35,0.0,0.0,0.0
SBS40,0.0,0.0,0.0
