,ID1,ID2,ID3,ID4,ID5,ID6,ID8,ID9,ID11
Kidney-RCC::S.1,0.0,36.0,50.0,47.0,289.0,0.0,0.0,92.0,17.0
Kidney-RCC::S.2,0.0,0.0,0.0,42.0,679.0,0.0,70.0,0.0,166.0
Kidney-RCC::S.3,0.0,16.0,0.0,0.0,432.0,0.0,163.0,0.0,0.0
Kidney-RCC::S.4,0.0,11.0,130.0,55.0,207.0,26.0,64.0,0.0,0.0
Kidney-RCC::S.5,27.0,0.0,0.0,0.0,357.0,0.0,180.0,80.0,46.0
Kidney-RCC::S.6,31.0,11.0,0.0,35.0,263.0,0.0,124.0,70.0,70.0
Kidney-RCC::S.7,14.0,0.0,0.0,0.0,1106.0,29.0,38.0,131.0,0.0
Kidney-RCC::S.8,37.0,0.0,0.0,0.0,832.0,0.0,196.0,242.0,0.0
Kidney-RCC::S.9,8.0,0.0,89.0,0.0,505.0,0.0,58.0,0.0,44.0
Kidney-RCC::S.10,0.0,0.0,160.0,0.0,325.0,0.0,157.0,0.0,61.0
Kidney-RCC::S.11,36.0,0.0,0.0,0.0,326.0,54.0,141.0,40.0,0.0
Kidney-RCC::S.12,0.0,0.0,0.0,0.0,376.0,0.0,209.0,0.0,81.0
Kidney-RCC::S.13,115.0,0.0,0.0,34.0,666.0,0.0,106.0,87.0,22.0
Kidney-RCC::S.14,0.0,61.0,118.0,0.0,308.0,24.0,97.0,0.0,101.0
Kidney-RCC::S.15,27.0,0.0,0.0,0.0,560.0,22.0,0.0,28.0,0.0
Kidney-RCC::S.16,44.0,17.0,84.0,32.0,1012.0,34.0,121.0,0.0,0.0
Kidney-RCC::S.17,12.0,16.0,0.0,0.0,325.0,29.0,75.0,166.0,202.0
Kidney-RCC::S.18,42.0,0.0,94.0,0.0,576.0,295.0,166.0,0.0,0.0
Kidney-RCC::S.19,64.0,0.0,0.0,0.0,993.0,0.0,116.0,109.0,0.0
Kidney-RCC::S.20,0.0,0.0,62.0,67.0,801.0,48.0,143.0,81.0,0.0
Kidney-RCC::S.21,24.0,59.0,0.0,42.0,588.0,0.0,278.0,56.0,70.0
Kidney-RCC::S.22,14.0,0.0,0.0,0.0,936.0,0.0,70.0,108.0,86.0
Kidney-RCC::S.23,14.0,0.0,76.0,0.0,780.0,0.0,141.0,0.0,20.0
Kidney-RCC::S.24,0.0,0.0,142.0,0.0,753.0,0.0,51.0,0.0,27.0
Kidney-RCC::S.25,70.0,0.0,0.0,32.0,193.0,0.0,132.0,29.0,69.0
Kidney-RCC::S.26,0.0,0.0,96.0,0.0,922.0,0.0,99.0,82.0,52.0
Kidney-RCC::S.27,0.0,0.0,89.0,0.0,490.0,0.0,109.0,87.0,0.0
Kidney-RCC::S.28,0.0,0.0,97.0,0.0,650.0,0.0,131.0,131.0,65.0
Kidney-RCC::S.29,0.0,0.0,0.0,0.0,408.0,0.0,59.0,49.0,31.0
Kidney-RCC::S.30,0.0,35.0,67.0,61.0,431.0,0.0,114.0,110.0,42.0
Kidney-RCC::S.31,9.0,0.0,93.0,0.0,145.0,0.0,208.0,264.0,56.0
Kidney-RCC::S.32,168.0,0.0,0.0,0.0,441.0,0.0,113.0,57.0,0.0
Kidney-RCC::S.33,0.0,54.0,89.0,0.0,551.0,0.0,129.0,108.0,92.0
Kidney-RCC::S.34,0.0,14.0,135.0,0.0,474.0,0.0,133.0,0.0,24.0
Kidney-RCC::S.35,0.0,0.0,51.0,0.0,728.0,39.0,24.0,152.0,0.0
Kidney-RCC::S.36,58.0,0.0,0.0,0.0,741.0,0.0,137.0,61.0,0.0
Kidney-RCC::S.37,0.0,26.0,0.0,0.0,663.0,0.0,194.0,43.0,112.0
Kidney-RCC::S.38,9.0,0.0,99.0,18.0,155.0,0.0,65.0,0.0,28.0
Kidney-RCC::S.39,0.0,0.0,82.0,0.0,364.0,20.0,21.0,0.0,112.0
Kidney-RCC::S.40,85.0,0.0,0.0,0.0,476.0,0.0,122.0,338.0,0.0
Kidney-RCC::S.41,23.0,0.0,0.0,21.0,264.0,66.0,101.0,70.0,41.0
Kidney-RCC::S.42,52.0,0.0,0.0,0.0,334.0,0.0,103.0,0.0,100.0
Kidney-RCC::S.43,0.0,0.0,43.0,0.0,780.0,0.0,147.0,75.0,59.0
Kidney-RCC::S.44,0.0,49.0,63.0,0.0,639.0,0.0,335.0,265.0,0.0
Kidney-RCC::S.45,47.0,0.0,83.0,62.0,441.0,0.0,184.0,116.0,22.0
Kidney-RCC::S.46,0.0,12.0,0.0,0.0,422.0,0.0,121.0,0.0,0.0
Kidney-RCC::S.47,17.0,0.0,0.0,0.0,507.0,0.0,103.0,102.0,0.0
Kidney-RCC::S.48,36.0,0.0,0.0,0.0,168.0,0.0,280.0,111.0,0.0
Kidney-RCC::S.49,70.0,0.0,55.0,0.0,264.0,0.0,52.0,27.0,56.0
Kidney-RCC::S.50,0.0,0.0,0.0,37.0,237.0,0.0,59.0,76.0,57.0
Kidney-RCC::S.51,7.0,0.0,0.0,0.0,882.0,34.0,45.0,36.0,116.0
Kidney-RCC::S.52,160.0,33.0,172.0,0.0,354.0,0.0,105.0,77.0,159.0
Kidney-RCC::S.53,81.0,0.0,0.0,0.0,605.0,0.0,99.0,0.0,51.0
Kidney-RCC::S.54,0.0,23.0,0.0,23.0,163.0,0.0,66.0,323.0,0.0
Kidney-RCC::S.55,0.0,0.0,0.0,29.0,575.0,0.0,132.0,56.0,66.0
Kidney-RCC::S.56,97.0,0.0,0.0,0.0,1487.0,0.0,46.0,0.0,0.0
Kidney-RCC::S.57,10.0,0.0,0.0,0.0,303.0,0.0,67.0,0.0,0.0
Kidney-RCC::S.58,16.0,0.0,175.0,0.0,711.0,0.0,74.0,0.0,0.0
Kidney-RCC::S.59,0.0,17.0,64.0,0.0,500.0,0.0,133.0,106.0,0.0
Kidney-RCC::S.60,57.0,0.0,97.0,0.0,262.0,0.0,103.0,102.0,0.0
Kidney-RCC::S.61,0.0,0.0,0.0,0.0,386.0,0.0,191.0,0.0,0.0
Kidney-RCC::S.62,8.0,0.0,132.0,58.0,492.0,0.0,99.0,0.0,88.0
Kidney-RCC::S.63,0.0,27.0,0.0,0.0,703.0,0.0,100.0,44.0,0.0
Kidney-RCC::S.64,0.0,0.0,27.0,59.0,276.0,0.0,154.0,0.0,40.0
Kidney-RCC::S.65,13.0,0.0,143.0,0.0,390.0,0.0,94.0,0.0,0.0
Kidney-RCC::S.66,0.0,0.0,119.0,0.0,333.0,0.0,118.0,88.0,0.0
Kidney-RCC::S.67,45.0,20.0,0.0,110.0,398.0,0.0,120.0,175.0,28.0
Kidney-RCC::S.68,61.0,0.0,89.0,0.0,457.0,21.0,60.0,0.0,42.0
Kidney-RCC::S.69,0.0,0.0,0.0,0.0,542.0,0.0,84.0,0.0,124.0
Kidney-RCC::S.70,29.0,46.0,83.0,0.0,225.0,0.0,106.0,0.0,57.0
Kidney-RCC::S.71,0.0,36.0,0.0,0.0,290.0,0.0,95.0,0.0,27.0
Kidney-RCC::S.72,13.0,32.0,0.0,0.0,380.0,0.0,47.0,0.0,0.0
Kidney-RCC::S.73,0.0,0.0,0.0,0.0,405.0,99.0,196.0,104.0,0.0
Kidney-RCC::S.74,32.0,0.0,125.0,0.0,508.0,0.0,46.0,0.0,0.0
Kidney-RCC::S.75,77.0,0.0,0.0,0.0,253.0,0.0,328.0,29.0,76.0
Kidney-RCC::S.76,0.0,0.0,47.0,44.0,364.0,0.0,96.0,151.0,0.0
Kidney-RCC::S.77,36.0,0.0,52.0,0.0,460.0,0.0,73.0,0.0,0.0
Kidney-RCC::S.78,28.0,0.0,88.0,0.0,426.0,0.0,117.0,0.0,68.0
Kidney-RCC::S.79,0.0,0.0,225.0,41.0,732.0,0.0,192.0,0.0,44.0
Kidney-RCC::S.80,0.0,14.0,0.0,0.0,543.0,0.0,128.0,48.0,18.0
Kidney-RCC::S.81,0.0,0.0,0.0,42.0,141.0,0.0,374.0,0.0,0.0
Kidney-RCC::S.82,94.0,0.0,0.0,0.0,935.0,0.0,116.0,51.0,0.0
Kidney-RCC::S.83,0.0,0.0,0.0,0.0,260.0,32.0,47.0,0.0,0.0
Kidney-RCC::S.84,0.0,0.0,0.0,0.0,355.0,0.0,103.0,99.0,23.0
Kidney-RCC::S.85,57.0,0.0,0.0,0.0,337.0,41.0,108.0,299.0,0.0
Kidney-RCC::S.86,0.0,10.0,0.0,45.0,355.0,0.0,137.0,388.0,89.0
Kidney-RCC::S.87,0.0,0.0,0.0,0.0,561.0,0.0,254.0,166.0,0.0
Kidney-RCC::S.88,0.0,0.0,95.0,0.0,410.0,0.0,298.0,0.0,32.0
Kidney-RCC::S.89,0.0,40.0,179.0,21.0,341.0,0.0,36.0,0.0,30.0
Kidney-RCC::S.90,47.0,0.0,0.0,31.0,0.0,0.0,66.0,281.0,68.0
Kidney-RCC::S.91,163.0,0.0,60.0,0.0,496.0,0.0,124.0,0.0,76.0
Kidney-RCC::S.92,122.0,0.0,0.0,0.0,427.0,0.0,50.0,40.0,0.0
Kidney-RCC::S.93,92.0,0.0,0.0,27.0,255.0,0.0,169.0,0.0,29.0
Kidney-RCC::S.94,0.0,82.0,91.0,0.0,188.0,0.0,185.0,0.0,0.0
Kidney-RCC::S.95,0.0,24.0,147.0,0.0,263.0,0.0,117.0,0.0,0.0
Kidney-RCC::S.96,0.0,0.0,0.0,0.0,344.0,0.0,127.0,0.0,114.0
Kidney-RCC::S.97,53.0,0.0,0.0,76.0,436.0,0.0,241.0,0.0,0.0
Kidney-RCC::S.98,0.0,34.0,120.0,0.0,317.0,27.0,66.0,0.0,18.0
Kidney-RCC::S.99,0.0,0.0,0.0,0.0,374.0,0.0,206.0,104.0,44.0
