MutationType	Ovary-AdenoCA::S.1	Ovary-AdenoCA::S.2	Ovary-AdenoCA::S.3	Ovary-AdenoCA::S.4	Ovary-AdenoCA::S.5	Ovary-AdenoCA::S.6	Ovary-AdenoCA::S.7	Ovary-AdenoCA::S.8	Ovary-AdenoCA::S.9	Ovary-AdenoCA::S.10	Ovary-AdenoCA::S.11	Ovary-AdenoCA::S.12	Ovary-AdenoCA::S.13	Ovary-AdenoCA::S.14	Ovary-AdenoCA::S.15	Ovary-AdenoCA::S.16	Ovary-AdenoCA::S.17	Ovary-AdenoCA::S.18	Ovary-AdenoCA::S.19	Ovary-AdenoCA::S.20	Ovary-AdenoCA::S.21	Ovary-AdenoCA::S.22	Ovary-AdenoCA::S.23	Ovary-AdenoCA::S.24	Ovary-AdenoCA::S.25	Ovary-AdenoCA::S.26	Ovary-AdenoCA::S.27	Ovary-AdenoCA::S.28	Ovary-AdenoCA::S.29	Ovary-AdenoCA::S.30	Ovary-AdenoCA::S.31	Ovary-AdenoCA::S.32	Ovary-AdenoCA::S.33	Ovary-AdenoCA::S.34	Ovary-AdenoCA::S.35	Ovary-AdenoCA::S.36	Ovary-AdenoCA::S.37	Ovary-AdenoCA::S.38	Ovary-AdenoCA::S.39	Ovary-AdenoCA::S.40	Ovary-AdenoCA::S.41	Ovary-AdenoCA::S.42	Ovary-AdenoCA::S.43	Ovary-AdenoCA::S.44	Ovary-AdenoCA::S.45	Ovary-AdenoCA::S.46	Ovary-AdenoCA::S.47	Ovary-AdenoCA::S.48	Ovary-AdenoCA::S.49	Ovary-AdenoCA::S.50	Ovary-AdenoCA::S.51	Ovary-AdenoCA::S.52	Ovary-AdenoCA::S.53	Ovary-AdenoCA::S.54	Ovary-AdenoCA::S.55	Ovary-AdenoCA::S.56	Ovary-AdenoCA::S.57	Ovary-AdenoCA::S.58	Ovary-AdenoCA::S.59	Ovary-AdenoCA::S.60	Ovary-AdenoCA::S.61	Ovary-AdenoCA::S.62	Ovary-AdenoCA::S.63	Ovary-AdenoCA::S.64	Ovary-AdenoCA::S.65	Ovary-AdenoCA::S.66	Ovary-AdenoCA::S.67	Ovary-AdenoCA::S.68	Ovary-AdenoCA::S.69	Ovary-AdenoCA::S.70	Ovary-AdenoCA::S.71	Ovary-AdenoCA::S.72	Ovary-AdenoCA::S.73	Ovary-AdenoCA::S.74	Ovary-AdenoCA::S.75	Ovary-AdenoCA::S.76	Ovary-AdenoCA::S.77	Ovary-AdenoCA::S.78	Ovary-AdenoCA::S.79	Ovary-AdenoCA::S.80	Ovary-AdenoCA::S.81	Ovary-AdenoCA::S.82	Ovary-AdenoCA::S.83	Ovary-AdenoCA::S.84	Ovary-AdenoCA::S.85	Ovary-AdenoCA::S.86	Ovary-AdenoCA::S.87	Ovary-AdenoCA::S.88	Ovary-AdenoCA::S.89	Ovary-AdenoCA::S.90	Ovary-AdenoCA::S.91	Ovary-AdenoCA::S.92	Ovary-AdenoCA::S.93	Ovary-AdenoCA::S.94	Ovary-AdenoCA::S.95	Ovary-AdenoCA::S.96	Ovary-AdenoCA::S.97	Ovary-AdenoCA::S.98	Ovary-AdenoCA::S.99
1:Del:C:0	38	62	40	9	10	24	17	12	36	4	77	8	24	25	19	5	32	55	19	25	65	13	86	20	36	19	65	107	2	32	23	27	62	3	27	27	11	11	55	117	6	112	20	91	136	3	29	4	12	25	54	38	146	69	7	31	160	16	5	24	34	60	23	17	27	36	26	34	31	57	40	14	33	18	62	28	43	128	42	93	38	9	22	30	59	59	22	0	0	14	3	28	128	52	29	28	131	59	40
1:Del:C:1	14	9	16	5	2	7	5	2	15	0	12	7	11	11	15	8	11	22	15	9	15	10	12	14	2	14	16	31	5	46	12	9	14	19	14	8	2	14	40	43	12	65	16	28	26	7	14	2	7	22	16	12	21	51	0	11	27	4	4	4	15	8	5	2	11	5	19	17	9	6	10	8	24	20	32	11	8	51	49	26	15	11	10	15	12	35	6	3	1	5	0	8	11	32	17	6	64	47	15
1:Del:C:2	1	9	12	6	9	1	6	0	2	0	8	0	3	7	2	0	0	5	2	3	1	0	16	9	1	0	2	8	3	8	4	3	0	2	2	1	7	0	3	2	0	6	5	7	3	0	1	3	4	3	0	3	8	1	1	0	6	10	1	1	4	4	0	0	8	0	2	4	0	1	9	3	0	3	13	1	2	5	2	14	1	7	2	2	5	3	6	5	2	0	0	0	2	8	5	1	4	4	1
1:Del:C:3	3	0	4	3	0	2	3	0	4	1	4	2	0	3	4	1	2	7	2	3	2	0	2	9	0	0	3	2	1	5	4	1	3	0	7	2	3	3	6	4	1	3	4	6	5	1	0	1	1	4	1	4	3	1	1	3	1	1	0	0	2	3	7	1	4	5	1	1	0	1	1	0	3	5	4	1	4	8	2	10	1	0	0	2	2	2	2	2	1	0	1	2	5	6	4	1	5	5	2
1:Del:C:4	2	10	2	2	1	2	3	0	1	1	0	0	2	0	8	3	2	1	0	2	2	2	3	4	2	3	5	3	0	2	1	4	4	0	3	1	0	3	2	4	1	3	5	8	3	2	0	1	0	0	2	1	6	4	1	3	5	2	0	0	1	2	1	0	2	3	0	2	0	1	2	0	4	4	2	0	3	5	3	4	0	0	4	3	1	4	1	0	3	2	1	0	2	0	2	5	5	4	4
1:Del:C:5	0	5	5	3	0	1	1	1	0	2	4	2	1	2	1	0	0	3	0	1	0	2	0	1	1	0	1	0	3	1	3	1	0	1	2	1	2	3	2	0	0	0	0	1	0	0	1	1	2	1	0	1	2	1	1	0	1	2	2	1	3	0	2	1	5	0	0	1	0	0	0	2	0	2	1	1	2	3	0	0	0	0	1	2	0	1	1	0	0	3	0	1	1	1	1	3	1	4	2
1:Del:T:0	30	13	10	11	5	26	18	14	12	2	39	5	28	12	21	4	18	33	14	4	27	17	26	36	7	13	17	42	14	56	19	20	31	24	26	17	17	10	31	26	3	39	18	25	38	13	13	8	6	14	11	16	40	34	1	11	28	21	2	7	24	28	23	10	5	13	8	29	16	7	32	4	13	23	48	28	17	35	27	42	19	15	2	30	8	21	18	9	1	12	1	6	44	16	14	1	58	19	8
1:Del:T:1	6	11	26	19	5	3	14	2	4	0	17	2	2	17	11	1	10	6	4	2	20	3	11	45	1	2	2	9	9	12	3	4	4	3	7	3	5	6	8	20	3	5	13	11	8	3	3	10	5	6	1	36	17	15	1	5	12	3	1	3	17	20	6	1	3	6	3	20	5	8	16	0	6	10	39	11	2	15	2	35	1	15	3	6	9	4	38	6	0	3	0	0	22	3	7	1	8	13	3
1:Del:T:2	4	21	9	4	2	9	35	1	23	2	29	3	7	16	21	8	13	23	23	8	14	4	14	42	1	11	13	34	16	23	9	14	12	3	18	16	9	6	8	10	2	41	11	22	30	17	6	8	6	20	15	20	29	42	0	13	42	14	1	6	21	17	8	5	6	12	12	26	7	5	24	9	24	18	57	3	13	19	7	29	7	44	11	17	27	22	16	6	4	1	0	5	9	11	16	5	20	32	12
1:Del:T:3	8	56	18	8	4	17	17	4	18	4	20	4	38	10	17	7	25	17	19	10	16	9	30	41	5	4	11	33	9	64	17	17	15	5	15	19	18	14	32	31	3	20	17	51	33	3	13	3	12	41	25	35	30	34	1	15	16	14	0	3	36	30	17	5	44	12	18	32	15	8	9	12	26	22	41	11	13	18	11	22	15	6	15	20	36	20	12	18	3	2	1	1	21	18	44	10	28	56	13
1:Del:T:4	7	25	20	10	5	12	14	5	27	9	18	3	19	11	7	10	13	38	17	12	16	12	11	14	5	14	28	31	10	18	14	14	9	1	22	19	6	20	20	16	5	18	24	32	28	17	14	2	1	20	9	24	21	16	4	14	34	27	0	1	7	18	21	5	10	16	19	27	10	4	16	15	11	21	22	11	20	18	11	13	7	6	6	20	24	25	12	4	5	4	6	5	14	14	22	8	25	40	17
1:Del:T:5	0	27	43	52	28	20	20	54	77	14	20	58	2	62	80	1	0	18	8	5	15	27	35	12	39	0	0	82	48	43	9	0	184	2	1	8	6	118	3	33	48	144	32	19	1	0	69	2	7	19	6	4	22	12	7	86	31	13	45	2	28	6	141	3	75	1	14	100	35	10	18	2	3	10	23	4	10	98	0	64	1	2	17	8	9	6	5	2	47	79	16	50	2	90	14	128	12	119	16
1:Ins:C:0	1	2	0	1	3	2	0	0	2	0	0	0	0	1	3	0	1	1	1	1	0	0	1	3	0	0	0	1	0	1	1	0	1	0	0	3	1	0	1	1	0	1	1	7	0	0	2	0	0	1	0	1	2	0	0	0	2	1	0	0	0	1	0	0	2	0	0	0	2	0	4	0	0	3	2	0	0	3	1	3	0	0	0	3	0	1	4	0	1	0	0	1	0	1	3	0	1	1	0
1:Ins:C:1	0	0	0	0	1	4	0	0	2	0	0	0	0	2	2	0	0	2	3	0	1	0	2	1	0	0	0	0	0	1	1	0	2	0	1	1	0	0	2	1	0	0	1	3	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	4	3	3	1	0	0	0	1	0	0	6	0	0	3	0	0	0	0	0	1	3	0	2
1:Ins:C:2	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	1	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1
1:Ins:C:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
