# Original paramaters
"","DBS2","DBS4","DBS6","DBS9","DBS11"
"prob",1,0.941176470588235,0.941176470588235,0.882352941176471,0.588235294117647
"size",10.3270514474459,23.7340950951108,9.77111384184569,12.406067458035,8.11400631829132
"mu",30.1189826407853,29.2496158292262,26.8763962388402,39.9336803817462,22.5991091449565
# Parameters derived from synthetic exposures
"","DBS2","DBS4","DBS6","DBS9","DBS11"
"prob",1,0.95,0.97,0.85,0.57
"size",11.7691866857142,31.5527046255574,11.7757728222565,15.0276807810381,8.0241196087064
"mu",28.4012242126465,29.5885355845125,26.6000260940379,39.1755849303315,24.6173886829824
# Difference between original parameters and parameters derived from synthetic exposures
"","DBS2","DBS4","DBS6","DBS9","DBS11"
"prob",0,-0.00882352941176467,-0.0288235294117647,0.0323529411764706,0.0182352941176471
"size",-1.44213523826829,-7.81860953044666,-2.00465898041078,-2.62161332300313,0.089886709584917
"mu",1.71775842813884,-0.33891975528622,0.276370144802389,0.758095451414704,-2.01827953802592
