Sample,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.1,2240.4783252709612,0.0,357.96276838047817,0.0,0.0,0.0,5335.815778720694,0.0,0.0,362.79080532219376
ColoRect-AdenoCA::S.2,2188.077609975371,1526.4361624614087,986.3059053783153,0.0,0.0,0.0,3794.3241582577934,0.0,0.0,6408.430532958297
ColoRect-AdenoCA::S.3,1978.4477524129234,1065.4268883644152,180.92348464283307,161.60806392047903,0.0,0.0,5278.787929027853,0.0,0.0,1200.7638961619573
ColoRect-AdenoCA::S.4,1827.8169772373735,1934.693766398804,0.0,167.01074669452032,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.5,1844.3372286821225,4438.919874051593,0.0,203.1923533750591,0.0,0.0,3191.1447732718707,127.77542857442808,0.0,16148.43158193241
ColoRect-AdenoCA::S.6,2101.5920593522087,6317.8144658410665,258.82217960990823,0.0,54.287022445429095,109.5283229382287,1781.702953452472,213.40443716749823,0.0,7583.075000984656
ColoRect-AdenoCA::S.7,2710.769915852968,2850.796636113474,0.0,0.0,0.0,0.0,2330.7034517366615,0.0,0.0,0.0
ColoRect-AdenoCA::S.8,1652.2431905609778,3901.201681713529,0.0,110.07054909942171,52.2319235102045,0.0,0.0,0.0,997.3604158734814,0.0
ColoRect-AdenoCA::S.9,2733.531591414215,2533.1039907635545,276.9284399742238,386.2853817679744,0.0,0.0,3679.621609901012,0.0,0.0,7338.575359307413
ColoRect-AdenoCA::S.10,1792.6986784832663,1818.6403593314242,0.0,0.0,0.0,0.0,4890.927244515696,0.0,2668.332397397577,0.0
ColoRect-AdenoCA::S.11,3370.1603635114625,1987.2348493299914,0.0,0.0,0.0,0.0,4011.8632520540714,260.69052499933366,436.71097296467167,8996.754292261043
ColoRect-AdenoCA::S.12,2392.2381872616766,0.0,0.0,0.0,0.0,1466.9499619479682,2057.802188858125,577.2042353086421,525.8961029658498,1523.8074416810302
ColoRect-AdenoCA::S.13,3764.191519437538,0.0,512.5770931801941,0.0,0.0,0.0,4358.8481899580265,777.4034358589906,0.0,10395.977338499393
ColoRect-AdenoCA::S.14,2378.392566583157,0.0,404.0125268553405,0.0,0.0,242.7766070814431,2211.1564851782837,0.0,0.0,20351.682831669314
ColoRect-AdenoCA::S.15,1677.728767835427,0.0,363.4096038490231,0.0,0.0,0.0,3456.2060952055817,56.70117021902903,0.0,4866.65311448444
ColoRect-AdenoCA::S.16,3720.152825778194,543.1073426159281,0.0,0.0,56.09952030910986,0.0,1112.1518735212346,0.0,0.0,4703.3055948645915
ColoRect-AdenoCA::S.17,1950.6464361210305,2299.5755097996052,0.0,235.1928169214174,0.0,0.0,4991.389454237669,0.0,307.07305689600105,4960.294343725794
ColoRect-AdenoCA::S.18,2328.36197919616,4198.13817014677,0.0,343.46146015237156,0.0,0.0,1637.782047224542,189.7644067381188,332.5295384526057,7933.530963781089
ColoRect-AdenoCA::S.19,1838.6683694689984,2078.1910038018136,771.5792375951401,364.5733857549992,134.11255076555065,0.0,6459.048041699476,0.0,0.0,3441.437254965046
ColoRect-AdenoCA::S.20,1266.79594913291,2116.2477007546177,247.69816405172006,0.0,0.0,0.0,4387.924606918215,0.0,334.27444038051,6448.2494402899665
ColoRect-AdenoCA::S.21,2952.2578605135404,0.0,448.2461294884442,0.0,0.0,0.0,4952.1747410853295,1347.3041441042922,0.0,7048.263738674561
ColoRect-AdenoCA::S.22,1862.205272485203,0.0,0.0,183.68259657136335,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.23,3768.94193302186,7575.337419626733,0.0,0.0,0.0,0.0,2805.6203627054756,0.0,212.18607420674888,0.0
ColoRect-AdenoCA::S.24,2996.0801742708445,3334.7234093187217,29.067350092677934,505.9694833699485,0.0,0.0,0.0,0.0,0.0,1549.1124852184855
ColoRect-AdenoCA::S.25,3279.7400212542234,1894.4973164072803,81.37036372742729,0.0,0.0,0.0,1179.0992908846613,0.0,0.0,5981.234970276282
ColoRect-AdenoCA::S.26,2268.5283679502745,4215.8753658269,0.0,0.0,206.57434883751165,0.0,3491.2159177018634,0.0,0.0,6104.154368185413
