,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.1,2361.0,0.0,692.0,0.0,0.0,0.0,5327.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.2,1800.0,1142.0,0.0,0.0,0.0,0.0,3675.0,0.0,0.0,7666.0
ColoRect-AdenoCA::S.3,2163.0,1538.0,0.0,0.0,0.0,0.0,5864.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.4,2168.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.5,3803.0,2985.0,241.0,0.0,0.0,278.0,2385.0,0.0,0.0,18067.0
ColoRect-AdenoCA::S.6,1455.0,6742.0,0.0,410.0,0.0,0.0,1897.0,0.0,0.0,8250.0
ColoRect-AdenoCA::S.7,2571.0,1923.0,0.0,0.0,0.0,0.0,4549.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.8,2368.0,3401.0,0.0,217.0,0.0,0.0,0.0,0.0,1247.0,0.0
ColoRect-AdenoCA::S.9,2697.0,2967.0,0.0,330.0,0.0,0.0,4106.0,0.0,0.0,7470.0
ColoRect-AdenoCA::S.10,1178.0,1318.0,296.0,0.0,0.0,0.0,3909.0,0.0,2545.0,0.0
ColoRect-AdenoCA::S.11,2222.0,1566.0,0.0,0.0,0.0,0.0,5469.0,445.0,0.0,8372.0
ColoRect-AdenoCA::S.12,2522.0,564.0,0.0,0.0,231.0,1291.0,2672.0,244.0,0.0,0.0
ColoRect-AdenoCA::S.13,2868.0,1269.0,0.0,0.0,0.0,0.0,3380.0,347.0,0.0,10392.0
ColoRect-AdenoCA::S.14,1281.0,1532.0,0.0,0.0,193.0,0.0,3171.0,587.0,0.0,15927.0
ColoRect-AdenoCA::S.15,1057.0,2171.0,0.0,0.0,0.0,0.0,3630.0,203.0,0.0,1937.0
