Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.1,0.0,4931.808978385849,0.0,0.0,28938.64627891173,0.0,3856.199297513054,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.2,0.0,14405.832982396534,0.0,0.0,41460.34632203073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.3,0.0,0.0,0.0,64593.934275990076,0.0,0.0,5913.009571494676,4227.427369845752,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,530.3702294857127,0.0,0.0,0.0,4388.86658944678,0.0,2225.9780814314017,0.0,0.0,0.0,0.0,1935.3911744283193
Lung-AdenoCA::S.5,0.0,2124.4075265051206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27313.39901161387
Lung-AdenoCA::S.6,0.0,816.7996110947045,16050.51430962852,12664.664034048192,16954.67456257989,0.0,0.0,0.0,0.0,2778.92477735603,4291.267041829426,0.0
Lung-AdenoCA::S.7,0.0,0.0,0.0,17735.764666598257,3458.9971179735517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.8,0.0,0.0,0.0,22400.580140785987,4486.2569535074435,0.0,0.0,0.0,0.0,4062.5714453575006,0.0,0.0
Lung-AdenoCA::S.9,0.0,0.0,0.0,17713.54268033271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8656.389016552785
Lung-AdenoCA::S.10,0.0,0.0,0.0,36756.44425778501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,0.0,3001.135463667664,0.0,0.0,2290.825300457739,0.0,0.0,0.0,227.2692334670761,0.0,0.0,0.0
Lung-AdenoCA::S.12,662.1015909218168,0.0,0.0,0.0,3683.0227313509336,0.0,0.0,0.0,425.823441800566,0.0,0.0,1064.1442237139647
Lung-AdenoCA::S.13,0.0,0.0,0.0,0.0,12890.750482508227,0.0,0.0,0.0,0.0,0.0,0.0,3952.0714260854816
Lung-AdenoCA::S.14,0.0,0.0,0.0,29959.637857998052,0.0,0.0,1894.5692009411252,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.15,0.0,10002.673647555772,0.0,91457.81026001825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,0.0,0.0,0.0,0.0,9144.613804925253,0.0,0.0,0.0,0.0,0.0,0.0,14921.886977791211
Lung-AdenoCA::S.17,0.0,0.0,0.0,0.0,4288.883499265579,0.0,5727.788855148094,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.18,1420.412835258781,0.0,12811.92191071691,4294.235565578002,0.0,0.0,7705.927307403799,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,0.0,0.0,0.0,66418.10364011348,20664.254687755703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.20,0.0,0.0,0.0,0.0,7443.619663432754,0.0,4434.122344564413,0.0,0.0,0.0,0.0,0.0
