MutationType	Skin-Melanoma::S.1	Skin-Melanoma::S.2	Skin-Melanoma::S.3	Skin-Melanoma::S.4	Skin-Melanoma::S.5	Skin-Melanoma::S.6	Skin-Melanoma::S.7	Skin-Melanoma::S.8	Skin-Melanoma::S.9	Skin-Melanoma::S.10	Skin-Melanoma::S.11	Skin-Melanoma::S.12	Skin-Melanoma::S.13	Skin-Melanoma::S.14	Skin-Melanoma::S.15	Skin-Melanoma::S.16	Skin-Melanoma::S.17	Skin-Melanoma::S.18	Skin-Melanoma::S.19	Skin-Melanoma::S.20	Skin-Melanoma::S.21	Skin-Melanoma::S.22	Skin-Melanoma::S.23	Skin-Melanoma::S.24	Skin-Melanoma::S.25	Skin-Melanoma::S.26	Skin-Melanoma::S.27	Skin-Melanoma::S.28	Skin-Melanoma::S.29	Skin-Melanoma::S.30	Skin-Melanoma::S.31	Skin-Melanoma::S.32	Skin-Melanoma::S.33	Skin-Melanoma::S.34	Skin-Melanoma::S.35	Skin-Melanoma::S.36	Skin-Melanoma::S.37	Skin-Melanoma::S.38	Skin-Melanoma::S.39	Skin-Melanoma::S.40	Skin-Melanoma::S.41	Skin-Melanoma::S.42	Skin-Melanoma::S.43	Skin-Melanoma::S.44	Skin-Melanoma::S.45	Skin-Melanoma::S.46	Skin-Melanoma::S.47	Skin-Melanoma::S.48	Skin-Melanoma::S.49	Skin-Melanoma::S.50	Skin-Melanoma::S.51	Skin-Melanoma::S.52	Skin-Melanoma::S.53	Skin-Melanoma::S.54	Skin-Melanoma::S.55	Skin-Melanoma::S.56	Skin-Melanoma::S.57	Skin-Melanoma::S.58	Skin-Melanoma::S.59	Skin-Melanoma::S.60	Skin-Melanoma::S.61	Skin-Melanoma::S.62	Skin-Melanoma::S.63	Skin-Melanoma::S.64	Skin-Melanoma::S.65	Skin-Melanoma::S.66	Skin-Melanoma::S.67	Skin-Melanoma::S.68	Skin-Melanoma::S.69	Skin-Melanoma::S.70	Skin-Melanoma::S.71	Skin-Melanoma::S.72	Skin-Melanoma::S.73	Skin-Melanoma::S.74	Skin-Melanoma::S.75	Skin-Melanoma::S.76	Skin-Melanoma::S.77	Skin-Melanoma::S.78	Skin-Melanoma::S.79	Skin-Melanoma::S.80	Skin-Melanoma::S.81	Skin-Melanoma::S.82	Skin-Melanoma::S.83	Skin-Melanoma::S.84	Skin-Melanoma::S.85	Skin-Melanoma::S.86	Skin-Melanoma::S.87	Skin-Melanoma::S.88	Skin-Melanoma::S.89	Skin-Melanoma::S.90	Skin-Melanoma::S.91	Skin-Melanoma::S.92	Skin-Melanoma::S.93	Skin-Melanoma::S.94	Skin-Melanoma::S.95	Skin-Melanoma::S.96	Skin-Melanoma::S.97	Skin-Melanoma::S.98	Skin-Melanoma::S.99
1:Del:C:0	33	43	36	25	81	25	9	20	3	65	32	36	9	65	96	37	64	28	12	71	34	16	30	52	34	33	33	19	6	14	26	2	16	57	4	19	21	36	7	16	20	28	14	32	82	23	35	18	28	52	31	20	7	91	78	15	11	29	6	26	8	30	18	62	3	55	18	1	10	89	27	28	80	34	2	39	16	5	19	24	15	36	8	104	3	17	4	14	19	27	47	8	83	19	31	38	28	13	13
1:Del:C:1	6	25	26	13	9	5	6	22	4	16	4	28	3	2	32	17	38	19	3	29	14	15	14	20	50	19	10	12	2	5	16	9	5	26	6	6	12	11	10	19	13	7	7	14	27	8	9	11	7	22	23	14	7	102	22	7	30	11	8	18	19	31	22	31	5	14	5	9	12	32	11	8	13	6	5	13	8	0	19	12	11	16	3	27	7	14	9	17	8	16	9	10	57	9	29	23	16	5	17
1:Del:C:2	5	9	21	17	3	2	2	8	3	9	9	20	4	0	12	11	15	7	15	25	2	2	7	7	19	25	8	2	2	1	19	6	2	9	3	4	9	8	7	10	27	4	3	10	20	9	22	1	1	7	3	21	4	20	9	9	11	9	11	18	9	12	12	15	0	7	3	11	13	20	8	6	5	2	0	7	6	2	23	2	7	4	4	11	9	7	14	7	7	5	1	3	27	8	13	21	3	2	30
1:Del:C:3	5	7	20	5	4	8	6	3	3	5	5	23	4	4	8	8	11	10	10	11	6	5	2	5	3	16	5	6	0	2	4	5	1	11	1	6	6	7	3	7	21	7	1	15	2	7	7	0	2	9	4	6	3	15	7	2	8	3	1	7	4	15	4	12	3	6	7	5	2	13	7	4	6	2	0	5	4	0	8	4	5	3	0	13	4	3	7	10	17	1	4	3	27	9	6	10	1	0	10
1:Del:C:4	0	4	2	1	3	0	3	0	1	3	1	4	2	1	2	3	6	5	3	2	1	0	3	3	6	1	1	0	0	1	3	0	0	3	0	2	1	2	1	3	4	1	0	4	3	3	2	1	1	2	1	1	3	14	12	4	1	2	2	1	3	3	2	2	0	3	3	1	0	11	3	0	4	3	0	5	2	0	1	0	2	3	1	7	2	2	1	5	4	2	1	0	8	0	4	3	3	0	4
1:Del:C:5	1	6	1	2	1	0	3	1	0	1	5	6	0	2	1	4	25	0	2	3	1	2	2	2	6	1	2	0	0	1	5	1	4	1	1	3	1	2	0	1	2	1	0	7	0	1	2	2	1	2	1	0	1	6	1	0	2	3	0	2	2	5	0	2	1	3	0	3	0	4	0	3	0	3	0	0	2	0	0	2	0	1	0	2	4	1	4	1	4	1	0	1	5	1	1	2	1	2	4
1:Del:T:0	20	99	69	52	36	31	19	81	20	70	58	56	18	22	73	79	49	42	35	167	12	80	41	24	255	67	41	22	1	17	45	23	32	128	7	27	47	67	27	52	104	21	55	38	113	80	65	11	32	89	54	28	17	167	62	19	50	32	23	34	44	70	29	61	8	40	36	13	31	78	25	26	36	26	2	64	15	6	113	32	45	53	20	135	20	16	50	29	32	57	39	15	81	23	24	70	47	8	67
1:Del:T:1	112	519	404	258	73	107	47	53	24	149	124	104	48	185	377	201	180	114	56	204	10	58	223	223	147	141	103	17	17	39	118	18	168	115	9	198	143	19	13	180	73	93	105	567	287	168	436	64	87	105	88	26	50	755	240	44	42	111	43	42	21	331	27	427	11	436	422	73	28	340	173	81	315	339	2	70	114	7	68	84	15	358	49	378	17	65	42	193	86	112	346	12	444	84	54	376	172	4	29
1:Del:T:2	39	56	59	63	12	22	38	29	51	10	33	54	31	29	49	36	27	42	58	113	11	62	45	25	136	68	27	8	1	3	59	38	16	130	3	23	35	37	19	32	119	12	35	38	104	34	44	1	57	31	27	30	22	85	30	44	78	23	15	31	16	44	21	67	6	20	3	52	36	73	38	28	22	17	0	18	41	5	108	35	34	5	23	95	43	27	29	26	14	10	18	53	68	24	19	19	14	15	85
1:Del:T:3	69	81	55	31	23	26	30	64	32	48	33	49	54	8	89	60	43	34	30	111	16	13	32	37	101	134	45	12	1	35	72	8	18	49	15	41	43	31	14	29	90	45	56	38	82	20	60	10	56	36	25	14	23	107	28	21	16	32	19	39	30	56	16	57	5	27	21	37	17	66	45	28	75	46	1	27	26	8	35	20	28	41	24	99	5	12	25	44	19	44	55	26	151	14	19	87	22	8	71
