Mutation type,Kidney-RCC::MSI-H.S.1,Kidney-RCC::MSI-H.S.2,Kidney-RCC::MSI-H.S.3
AC>CA,-0.04929554564028506,-0.012159599460422651,-0.03093410507503991
AC>CG,-0.004177376427965848,-0.0011828260239978117,-0.002619597971696614
AC>CT,-0.016607640980670406,-0.004309614499179054,-0.03399382165895726
AC>GA,-0.031238078304394453,-0.006654831813473151,-0.031101860451994423
AC>GG,-5.495160790100184e-16,-0.002192808939433488,-0.010278486106302748
AC>GT,-0.03690573706749802,-0.012485651874605335,-0.01929445152526851
AC>TA,-0.19507333224641665,-0.037357196957175334,-0.04993692108882661
AC>TG,-0.0008381108543174382,-0.00041608810293708686,-0.021111505089955483
AC>TT,-0.3848744728168062,-0.07553791177279007,-0.05651198236770957
AT>CA,-0.004981224888867793,-0.010195382567752827,-0.023251916403128323
AT>CC,-5.495160790100184e-16,-0.0019902009410074366,-0.0037333836964622735
AT>CG,-5.495160790100184e-16,-5.3655437986475e-05,-1.5227460334132526e-05
AT>GA,-0.02214352130756054,-0.015166212203393002,-0.017421881193423572
AT>GC,-0.000770903851848587,-0.004373531461567356,-0.00576026762199551
AT>TA,-0.06036730629406532,-0.01616836288891865,-0.015236865697910967
CC>AA,1.572218717465546,-0.06454881430644832,-0.5297217530422893
CC>AG,-4.569139376546142,-1.8123582436079,-0.08790788055431166
CC>AT,-7.180632711945824,1.4725556172923993,3.871431247876295
CC>GA,-2.3329719629998316,0.5574639680530196,-0.028496775117064235
CC>GG,-0.05931281524748543,-0.014528182677507655,-0.00757988023124542
CC>GT,-0.14498698421041478,-0.09254450720120125,-0.0823690468259141
CC>TA,-1.1089011811999576,0.5457120783454756,-0.06384629084127581
CC>TG,-0.031238078304394453,-0.036173132296032896,-0.04664285118917675
CC>TT,-5.495160790100184e-16,-0.31094727828778124,-0.28925257392025544
CG>AT,-0.1515772238054486,0.9695996391455769,-0.0030071011175581376
CG>GC,-0.048636521680781676,-0.00936869666269634,-0.00045110869240418057
CG>GT,-0.16871211030940894,-0.03304319736701343,-0.002198758362936876
CG>TA,-5.495160790100184e-16,-1.112406659339137e-16,-2.1461162826798075e-17
CG>TC,-0.2833835970473595,-0.05428792461507093,-0.00265207841339997
CG>TT,-0.7328432085661144,-0.13938348424381314,-0.005519814700503771
CT>AA,-0.42309825780331106,-0.08421379774835291,-0.0063465714032098315
CT>AC,-5.495160790100184e-16,-0.002200982438097284,-0.0021190115092906445
CT>AG,-0.07737028258337603,-0.015153204691346813,-0.0030503480073422696
CT>GA,-0.0023851896954631495,-0.011378876888695022,-0.013811894137136857
CT>GC,-0.01766200024881409,-0.00959100979637088,-0.009125560676739242
CT>GG,-0.011833703571966345,-0.0061398355888643615,-0.01609839603846705
CT>TA,-0.44550533598329844,0.8766097866389922,-0.03880707504632087
CT>TC,-0.005060291950595853,-0.005885347195153195,-0.002668100274961772
CT>TG,-0.05140452773344485,-0.011117065131520491,-0.001991054060447422
GC>AA,-0.6695761177831725,-0.12768783732743574,-0.058690253049129774
GC>AG,-0.04283708448146467,-0.011192924766570696,-0.1497001936183646
GC>AT,-0.12561146895551742,-0.0492653214710108,-0.17291817328610473
GC>CA,-0.13971466075595151,-0.028446837662833763,-0.03684721343929473
GC>CG,-0.008815977382678713,-0.005541874893551179,-0.00648419854554297
GC>TA,-0.09700948648913647,-0.018591767392306755,-0.02002574064578177
TA>AT,-0.3624673946368189,-0.07258191519321061,-0.02735863713120897
TA>CG,-0.0024906124444338965,-0.0011210915641318387,-0.002170553506945388
TA>CT,-0.03690573706749802,-0.01113132843615983,-0.022104984431045707
TA>GC,-0.010832187456744248,-0.003056680418847209,-0.0016452409225274798
TA>GG,-0.010397318617239916,-0.0024644956544440204,-0.004548474766938385
TA>GT,-0.1713482061474225,0.9641778273774424,-0.013681474553265533
TC>AA,-0.19111918848939638,-0.03704189071613359,-0.06974879336784348
TC>AG,-0.026361221937007698,-0.049384612886319505,-0.09651305112452768
TC>AT,-5.495160790100184e-16,-0.07931243152908159,-0.13552067973377008
TC>CA,-0.0898918695923765,-0.01737192134218042,-0.07203851786394527
TC>CG,-0.000512618116870257,-0.0031864431608467367,-0.012007301042073634
TC>CT,-0.44155119222627814,-0.10272068123785617,-0.08024724538695543
TC>GA,-0.11664855861646072,-0.022301755733117917,-0.02729947800805809
TC>GG,-0.0013006531654265905,-0.007135166564209626,-0.010800173775597248
