,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40,SBS41
Stomach-AdenoCA::S.1,858.0,1413.0,9502.0,6045.0,0.0,4952.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.2,1415.0,0.0,0.0,4927.0,0.0,534.0,3324.0,3234.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,487.0,576.0,0.0,0.0,0.0,0.0,0.0,3011.0,0.0,5591.0,0.0
Stomach-AdenoCA::S.4,922.0,0.0,0.0,3340.0,0.0,0.0,9584.0,6238.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,1109.0,0.0,0.0,0.0,0.0,2604.0,397.0,0.0,0.0,6534.0,0.0
Stomach-AdenoCA::S.6,1146.0,0.0,0.0,9781.0,942.0,0.0,2632.0,0.0,0.0,4394.0,2786.0
Stomach-AdenoCA::S.7,552.0,0.0,0.0,0.0,0.0,600.0,2045.0,2817.0,0.0,0.0,0.0
Stomach-AdenoCA::S.8,0.0,0.0,0.0,18452.0,0.0,2026.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.9,1134.0,0.0,0.0,14872.0,0.0,965.0,2299.0,2120.0,0.0,0.0,0.0
Stomach-AdenoCA::S.10,683.0,0.0,0.0,1912.0,0.0,1477.0,659.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.11,0.0,0.0,0.0,8169.0,0.0,0.0,3273.0,2887.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,4281.0,704.0,0.0,3929.0,0.0,1333.0,0.0,2245.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,684.0,548.0,0.0,15407.0,0.0,0.0,1109.0,1264.0,0.0,0.0,0.0
Stomach-AdenoCA::S.14,1077.0,0.0,0.0,7658.0,0.0,0.0,0.0,0.0,0.0,6622.0,0.0
Stomach-AdenoCA::S.15,1483.0,0.0,0.0,0.0,0.0,769.0,341.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.16,797.0,0.0,0.0,3904.0,0.0,1913.0,5291.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,438.0,766.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.18,1066.0,0.0,0.0,9441.0,0.0,915.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.19,1050.0,0.0,0.0,2545.0,0.0,2029.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.20,1171.0,540.0,0.0,2423.0,0.0,2180.0,627.0,969.0,0.0,5981.0,0.0
Stomach-AdenoCA::S.21,803.0,0.0,0.0,0.0,0.0,0.0,4727.0,0.0,1018.0,0.0,0.0
Stomach-AdenoCA::S.22,767.0,347.0,0.0,3199.0,0.0,1181.0,1869.0,3837.0,0.0,0.0,0.0
Stomach-AdenoCA::S.23,265.0,0.0,0.0,5018.0,0.0,642.0,0.0,0.0,0.0,2558.0,0.0
Stomach-AdenoCA::S.24,959.0,774.0,0.0,0.0,0.0,3136.0,0.0,0.0,0.0,0.0,1495.0
Stomach-AdenoCA::S.25,1783.0,0.0,8756.0,0.0,0.0,551.0,1187.0,2978.0,0.0,0.0,0.0
Stomach-AdenoCA::S.26,1264.0,0.0,0.0,0.0,0.0,0.0,9619.0,1629.0,0.0,0.0,0.0
Stomach-AdenoCA::S.27,0.0,0.0,0.0,8557.0,0.0,0.0,15248.0,0.0,4266.0,0.0,0.0
Stomach-AdenoCA::S.28,1961.0,0.0,0.0,4360.0,0.0,0.0,0.0,1727.0,0.0,0.0,0.0
Stomach-AdenoCA::S.29,478.0,0.0,0.0,6876.0,0.0,0.0,1785.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.30,0.0,302.0,0.0,2700.0,839.0,5637.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.31,0.0,0.0,0.0,0.0,0.0,2500.0,987.0,732.0,0.0,0.0,0.0
Stomach-AdenoCA::S.32,643.0,0.0,0.0,4977.0,0.0,0.0,0.0,0.0,0.0,0.0,3628.0
Stomach-AdenoCA::S.33,807.0,0.0,0.0,14127.0,648.0,1509.0,0.0,1187.0,0.0,0.0,0.0
Stomach-AdenoCA::S.34,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16287.0,0.0
Stomach-AdenoCA::S.35,907.0,896.0,0.0,3296.0,0.0,5445.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.36,6623.0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,7964.0,0.0
Stomach-AdenoCA::S.37,1121.0,0.0,35318.0,0.0,0.0,4770.0,1267.0,0.0,0.0,11926.0,0.0
Stomach-AdenoCA::S.38,1515.0,1270.0,0.0,7474.0,0.0,4325.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.39,1450.0,0.0,0.0,7368.0,0.0,0.0,2593.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.40,2967.0,0.0,0.0,6199.0,0.0,0.0,5196.0,1516.0,0.0,0.0,0.0
Stomach-AdenoCA::S.41,849.0,0.0,0.0,9983.0,0.0,0.0,635.0,0.0,0.0,11986.0,0.0
Stomach-AdenoCA::S.42,0.0,0.0,0.0,0.0,1851.0,0.0,17205.0,2852.0,0.0,0.0,0.0
Stomach-AdenoCA::S.43,3951.0,0.0,0.0,0.0,0.0,441.0,351.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.44,825.0,1425.0,16177.0,4056.0,0.0,4021.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.45,0.0,0.0,0.0,4664.0,0.0,0.0,6341.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.46,493.0,0.0,0.0,3532.0,0.0,0.0,1389.0,0.0,0.0,7450.0,0.0
Stomach-AdenoCA::S.47,1749.0,0.0,0.0,4457.0,0.0,0.0,0.0,0.0,0.0,7063.0,0.0
Stomach-AdenoCA::S.48,2400.0,0.0,0.0,3617.0,0.0,1205.0,4837.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.49,809.0,0.0,3964.0,0.0,377.0,0.0,355.0,905.0,0.0,0.0,0.0
Stomach-AdenoCA::S.50,564.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.51,711.0,0.0,0.0,4657.0,0.0,733.0,808.0,2569.0,413.0,5141.0,0.0
Stomach-AdenoCA::S.52,0.0,0.0,0.0,0.0,0.0,0.0,16483.0,3856.0,0.0,0.0,0.0
Stomach-AdenoCA::S.53,959.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,6984.0,0.0
Stomach-AdenoCA::S.54,843.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,10823.0,0.0
Stomach-AdenoCA::S.55,292.0,992.0,0.0,2568.0,0.0,2816.0,1195.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.56,1394.0,783.0,0.0,11049.0,0.0,0.0,625.0,2567.0,0.0,0.0,0.0
Stomach-AdenoCA::S.57,2497.0,0.0,0.0,3279.0,0.0,0.0,3564.0,2455.0,4174.0,0.0,0.0
Stomach-AdenoCA::S.58,1353.0,0.0,0.0,5356.0,0.0,0.0,0.0,2445.0,0.0,13243.0,0.0
Stomach-AdenoCA::S.59,973.0,0.0,2060.0,0.0,428.0,264.0,0.0,2031.0,0.0,0.0,0.0
Stomach-AdenoCA::S.60,979.0,1178.0,5575.0,3636.0,0.0,2202.0,0.0,0.0,0.0,0.0,4359.0
Stomach-AdenoCA::S.61,935.0,360.0,0.0,8165.0,0.0,344.0,0.0,2293.0,0.0,0.0,0.0
