"Mutation type","Kidney-RCC::MSI-H.S.1"
"DEL_C_1_0",29
"DEL_C_1_1",5
"DEL_C_1_2",0
"DEL_C_1_3",24
"DEL_C_1_4",23
"DEL_C_1_5+",161
"DEL_T_1_0",36
"DEL_T_1_1",0
"DEL_T_1_2",55
"DEL_T_1_3",285
"DEL_T_1_4",710
"DEL_T_1_5+",7812
"INS_C_1_0",0
"INS_C_1_1",1
"INS_C_1_2",0
"INS_C_1_3",8
"INS_C_1_4",48
"INS_C_1_5+",244
"INS_T_1_0",8
"INS_T_1_1",0
"INS_T_1_2",0
"INS_T_1_3",23
"INS_T_1_4",125
"INS_T_1_5+",3227
"DEL_repeats_2_0",4
"DEL_repeats_2_1",47
"DEL_repeats_2_2",26
"DEL_repeats_2_3",9
"DEL_repeats_2_4",13
"DEL_repeats_2_5+",0
"DEL_repeats_3_0",0
"DEL_repeats_3_1",42
"DEL_repeats_3_2",23
"DEL_repeats_3_3",2
"DEL_repeats_3_4",0
"DEL_repeats_3_5+",0
"DEL_repeats_4_0",1
"DEL_repeats_4_1",15
"DEL_repeats_4_2",5
"DEL_repeats_4_3",0
"DEL_repeats_4_4",0
"DEL_repeats_4_5+",5
"DEL_repeats_5+_0",2
"DEL_repeats_5+_1",37
"DEL_repeats_5+_2",7
"DEL_repeats_5+_3",2
"DEL_repeats_5+_4",0
"DEL_repeats_5+_5+",0
"INS_repeats_2_0",5
"INS_repeats_2_1",0
"INS_repeats_2_2",18
"INS_repeats_2_3",2
"INS_repeats_2_4",31
"INS_repeats_2_5+",160
"INS_repeats_3_0",2
"INS_repeats_3_1",18
"INS_repeats_3_2",2
"INS_repeats_3_3",0
"INS_repeats_3_4",2
"INS_repeats_3_5+",34
"INS_repeats_4_0",0
"INS_repeats_4_1",8
"INS_repeats_4_2",0
"INS_repeats_4_3",1
"INS_repeats_4_4",1
"INS_repeats_4_5+",19
"INS_repeats_5+_0",0
"INS_repeats_5+_1",9
"INS_repeats_5+_2",3
"INS_repeats_5+_3",0
"INS_repeats_5+_4",0
"INS_repeats_5+_5+",0
"DEL_MH_2_1",8
"DEL_MH_3_1",0
"DEL_MH_3_2",65
"DEL_MH_4_1",5
"DEL_MH_4_2",8
"DEL_MH_4_3",8
"DEL_MH_5+_1",2
"DEL_MH_5+_2",0
"DEL_MH_5+_3",0
"DEL_MH_5+_4",5
"DEL_MH_5+_5+",31
