,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.1,0.0,0.0,0.0,0.0,0.0,0.0,3662.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.2,0.0,0.0,8522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.3,0.0,483.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.4,0.0,778.0,7076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.5,0.0,0.0,0.0,0.0,0.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.6,0.0,6144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.7,0.0,0.0,0.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.8,706.0,423.0,2878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.10,0.0,922.0,4874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.11,344.0,0.0,0.0,1799.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.12,834.0,514.0,1968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.13,0.0,2817.0,0.0,0.0,0.0,0.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.14,0.0,0.0,0.0,4805.0,0.0,0.0,1494.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.15,0.0,6563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.16,308.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.17,643.0,0.0,0.0,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.18,0.0,0.0,0.0,2285.0,0.0,0.0,376.0,0.0,0.0,1286.0,0.0,0.0,0.0
Breast-AdenoCA::S.19,0.0,0.0,0.0,3576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.20,0.0,0.0,3484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.21,0.0,846.0,0.0,3969.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.22,0.0,0.0,0.0,2708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.23,0.0,896.0,0.0,0.0,0.0,0.0,2371.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.24,0.0,3631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.25,564.0,1250.0,0.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.26,0.0,1704.0,0.0,0.0,0.0,0.0,2076.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.27,1073.0,1317.0,0.0,0.0,0.0,0.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.28,0.0,0.0,6167.0,0.0,0.0,0.0,2451.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.29,0.0,0.0,0.0,5765.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.30,0.0,0.0,0.0,0.0,0.0,0.0,5130.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.31,468.0,339.0,0.0,2049.0,0.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.32,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.33,528.0,0.0,0.0,0.0,0.0,0.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.34,578.0,0.0,0.0,3196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.35,0.0,0.0,0.0,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.36,0.0,665.0,6460.0,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.37,0.0,2895.0,6674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.38,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.39,0.0,0.0,0.0,0.0,0.0,10179.0,3659.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.40,418.0,249.0,0.0,1782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.41,0.0,0.0,13634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.42,0.0,0.0,0.0,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
