MutationType	Stomach-AdenoCA::MSI-H.S.1	Stomach-AdenoCA::MSI-H.S.2	Stomach-AdenoCA::MSI-H.S.3	Stomach-AdenoCA::MSI-H.S.4	Stomach-AdenoCA::MSI-H.S.5	Stomach-AdenoCA::MSI-H.S.6	Stomach-AdenoCA::MSI-H.S.7	Stomach-AdenoCA::MSI-H.S.8	Stomach-AdenoCA::MSI-H.S.9	Stomach-AdenoCA::MSI-H.S.10
1:Del:C:0	656	50	283	359	429	261	909	143	173	151
1:Del:C:1	10	23	16	7	2	8	20	18	18	9
1:Del:C:2	1	1	0	0	0	0	1	1	0	1
1:Del:C:3	301	124	163	253	191	137	222	276	200	249
1:Del:C:4	436	142	272	46	617	615	235	137	206	167
1:Del:C:5	1734	600	763	1327	810	2033	1200	707	742	1264
1:Del:T:0	1627	283	94	906	2001	608	1224	900	488	306
1:Del:T:1	0	0	0	0	0	0	0	0	0	0
1:Del:T:2	298	412	589	855	1380	243	597	287	368	173
1:Del:T:3	2822	837	1828	1448	2980	932	3120	614	2245	723
1:Del:T:4	3188	2092	2225	6596	7076	5109	3230	2433	7116	2169
1:Del:T:5	65226	80962	20414	86776	80788	54749	48837	49051	88125	19070
1:Ins:C:0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:1	11	9	6	43	28	5	11	13	24	0
1:Ins:C:2	5	0	0	5	5	1	3	2	4	1
1:Ins:C:3	91	33	13	69	56	35	26	34	57	37
1:Ins:C:4	380	87	113	124	685	195	288	467	184	139
1:Ins:C:5	1462	465	1066	971	905	1114	1044	1198	1363	694
1:Ins:T:0	120	122	158	99	138	141	118	115	82	83
1:Ins:T:1	1	0	1	3	0	0	3	0	1	0
1:Ins:T:2	12	41	40	77	57	110	188	22	26	15
1:Ins:T:3	200	274	108	363	80	153	112	97	190	70
1:Ins:T:4	400	431	294	497	346	1001	414	727	736	406
1:Ins:T:5	14419	20568	5018	15629	190	16551	11971	9924	32279	21363
2:Del:R:0	19	15	25	19	14	24	27	13	26	14
2:Del:R:1	401	284	139	98	269	269	237	374	186	183
2:Del:R:2	143	73	51	86	298	76	99	222	139	23
2:Del:R:3	57	50	31	56	165	51	32	28	26	37
2:Del:R:4	100	33	43	24	90	96	126	49	196	65
2:Del:R:5	0	0	0	0	0	0	0	0	0	0
3:Del:R:0	1	3	0	2	0	4	2	3	9	3
3:Del:R:1	456	286	267	486	448	317	658	386	291	251
3:Del:R:2	337	163	119	355	249	241	368	88	188	111
3:Del:R:3	132	30	34	75	42	22	36	15	16	15
3:Del:R:4	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	6	1	2	3	0	5	5	3	3	6
4:Del:R:1	228	75	191	122	101	161	113	64	210	93
4:Del:R:2	67	31	20	23	75	19	78	42	40	9
4:Del:R:3	0	2	0	1	1	0	0	1	1	1
4:Del:R:4	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	17	6	15	11	9	10	24	6	12	14
5:Del:R:0	2	0	0	1	2	5	8	1	2	3
5:Del:R:1	500	78	91	269	141	187	439	150	159	139
5:Del:R:2	53	23	12	23	39	16	27	35	30	13
5:Del:R:3	12	14	7	10	10	18	18	4	4	13
5:Del:R:4	14	2	3	3	11	7	10	9	8	5
5:Del:R:5	1	3	1	1	1	2	12	4	5	2
2:Ins:R:0	99	21	14	21	17	28	29	19	38	22
2:Ins:R:1	24	6	23	42	17	9	39	5	15	17
2:Ins:R:2	90	58	46	37	153	61	102	43	102	81
2:Ins:R:3	23	32	19	30	84	62	51	30	34	43
2:Ins:R:4	357	206	112	138	333	347	248	168	141	159
2:Ins:R:5	2513	1144	1071	970	1663	844	1483	1156	1041	901
3:Ins:R:0	2	4	0	5	9	2	4	5	7	5
3:Ins:R:1	97	46	30	163	125	68	46	41	52	74
3:Ins:R:2	51	15	12	5	40	22	26	17	4	27
3:Ins:R:3	1	0	4	1	0	6	5	1	3	2
3:Ins:R:4	27	8	5	4	11	19	10	7	11	10
3:Ins:R:5	278	263	172	226	127	221	196	70	179	142
4:Ins:R:0	2	1	0	0	2	3	2	2	2	1
4:Ins:R:1	57	35	81	192	46	140	104	70	104	62
4:Ins:R:2	4	0	1	3	1	4	4	1	2	1
4:Ins:R:3	20	6	5	20	17	12	21	7	6	2
4:Ins:R:4	22	11	11	24	17	36	24	11	32	11
4:Ins:R:5	273	72	149	149	319	332	200	129	216	60
5:Ins:R:0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:1	65	26	13	61	31	47	58	30	15	38
5:Ins:R:2	4	11	8	2	0	10	6	0	9	5
5:Ins:R:3	15	17	4	10	8	12	20	7	11	9
5:Ins:R:4	2	5	3	2	1	2	7	1	6	1
5:Ins:R:5	27	5	8	17	11	19	20	24	10	12
2:Del:M:1	16	17	19	32	18	16	27	39	40	24
3:Del:M:1	1	2	1	2	0	2	0	2	5	0
3:Del:M:2	327	51	95	136	435	121	250	275	508	76
4:Del:M:1	13	2	9	6	28	1	14	11	20	3
4:Del:M:2	26	17	23	27	57	55	19	64	26	40
4:Del:M:3	87	22	40	46	41	17	62	62	12	56
5:Del:M:1	49	42	15	64	20	55	119	14	9	64
5:Del:M:2	8	7	1	5	15	2	12	4	1	11
5:Del:M:3	1	5	0	2	5	1	13	3	6	2
5:Del:M:4	42	44	10	62	60	39	41	15	23	34
5:Del:M:5	275	96	145	107	240	168	191	199	282	93
