Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID11
Kidney-RCC::S.1	0	42	0	0	385	0	0	130	0
Kidney-RCC::S.2	0	0	0	0	726	0	0	0	167
Kidney-RCC::S.3	0	0	0	0	469	0	176	0	0
Kidney-RCC::S.4	0	0	144	0	262	0	85	0	0
Kidney-RCC::S.5	0	0	0	0	468	0	195	0	0
Kidney-RCC::S.6	0	0	0	0	438	0	156	0	0
Kidney-RCC::S.7	0	0	0	0	1190	0	0	0	0
Kidney-RCC::S.8	0	0	0	0	885	0	212	275	0
Kidney-RCC::S.9	0	0	131	0	616	0	0	0	0
Kidney-RCC::S.10	0	0	166	0	337	0	170	0	63
Kidney-RCC::S.11	37	0	0	0	379	0	168	0	0
Kidney-RCC::S.12	0	0	0	0	401	0	211	0	0
Kidney-RCC::S.13	134	0	0	0	905	0	0	0	0
Kidney-RCC::S.14	0	57	112	0	291	0	102	0	96
Kidney-RCC::S.15	0	0	0	0	581	0	0	0	0
Kidney-RCC::S.16	0	0	0	0	1361	0	0	0	0
Kidney-RCC::S.17	0	0	0	0	352	0	91	166	206
Kidney-RCC::S.18	0	0	0	0	672	316	184	0	0
Kidney-RCC::S.19	70	0	0	0	1194	0	0	0	0
Kidney-RCC::S.20	0	0	0	0	993	0	180	0	0
Kidney-RCC::S.21	0	0	0	0	810	0	324	0	0
Kidney-RCC::S.22	0	0	0	0	1187	0	0	0	0
Kidney-RCC::S.23	0	0	0	0	903	0	160	0	0
Kidney-RCC::S.24	0	0	177	0	830	0	0	0	0
Kidney-RCC::S.25	75	0	0	0	251	0	146	0	71
Kidney-RCC::S.26	0	0	0	0	1285	0	0	0	0
Kidney-RCC::S.27	0	0	0	0	493	0	110	123	0
Kidney-RCC::S.28	0	0	0	0	744	0	146	183	0
Kidney-RCC::S.29	0	0	0	0	560	0	0	0	0
Kidney-RCC::S.30	0	0	0	0	627	0	146	157	0
Kidney-RCC::S.31	0	0	0	0	0	0	300	459	0
Kidney-RCC::S.32	150	0	0	0	443	0	102	0	0
Kidney-RCC::S.33	0	54	0	0	554	0	131	146	102
Kidney-RCC::S.34	0	0	141	0	496	0	135	0	0
Kidney-RCC::S.35	0	0	0	0	758	0	0	179	0
Kidney-RCC::S.36	53	0	0	0	733	0	128	0	0
Kidney-RCC::S.37	0	0	0	0	749	0	203	0	115
Kidney-RCC::S.38	0	0	128	0	195	0	76	0	0
Kidney-RCC::S.39	0	0	102	0	405	0	0	0	110
Kidney-RCC::S.40	85	0	0	0	476	0	121	336	0
Kidney-RCC::S.41	0	0	0	0	426	0	161	0	0
Kidney-RCC::S.42	52	0	0	0	342	0	108	0	101
Kidney-RCC::S.43	0	0	0	0	929	0	159	0	0
Kidney-RCC::S.44	0	0	0	0	683	0	338	284	0
Kidney-RCC::S.45	57	0	0	0	547	0	217	165	0
Kidney-RCC::S.46	0	0	0	0	443	0	132	0	0
Kidney-RCC::S.47	0	0	0	0	517	0	111	103	0
Kidney-RCC::S.48	38	0	0	0	175	0	286	120	0
Kidney-RCC::S.49	89	0	0	0	415	0	0	0	0
Kidney-RCC::S.50	0	0	0	0	277	0	73	88	64
Kidney-RCC::S.51	0	0	0	0	1114	0	0	0	0
Kidney-RCC::S.52	162	0	216	0	437	0	118	0	153
Kidney-RCC::S.53	80	0	0	0	600	0	96	0	0
Kidney-RCC::S.54	0	0	0	0	252	0	0	388	0
Kidney-RCC::S.55	0	0	0	0	693	0	141	0	0
Kidney-RCC::S.56	87	0	0	0	1376	0	0	0	0
Kidney-RCC::S.57	0	0	0	0	307	0	68	0	0
Kidney-RCC::S.58	0	0	199	0	802	0	0	0	0
Kidney-RCC::S.59	0	0	0	0	529	0	141	133	0
Kidney-RCC::S.60	59	0	103	0	274	0	108	103	0
Kidney-RCC::S.61	0	0	0	0	370	0	181	0	0
Kidney-RCC::S.62	0	0	153	0	552	0	106	0	89
Kidney-RCC::S.63	0	0	0	0	898	0	0	0	0
Kidney-RCC::S.64	0	0	0	0	400	0	197	0	0
Kidney-RCC::S.65	0	0	142	0	379	0	92	0	0
Kidney-RCC::S.66	0	0	111	0	311	0	110	82	0
Kidney-RCC::S.67	49	0	0	114	449	0	127	182	0
Kidney-RCC::S.68	83	0	0	0	671	0	0	0	0
Kidney-RCC::S.69	0	0	0	0	688	0	0	0	144
Kidney-RCC::S.70	31	49	103	0	267	0	118	0	58
Kidney-RCC::S.71	0	36	0	0	301	0	96	0	0
Kidney-RCC::S.72	0	32	0	0	397	0	57	0	0
Kidney-RCC::S.73	0	0	0	0	434	103	205	115	0
Kidney-RCC::S.74	0	0	149	0	573	0	0	0	0
Kidney-RCC::S.75	86	0	0	0	335	0	353	0	0
Kidney-RCC::S.76	0	0	0	0	406	0	110	177	0
Kidney-RCC::S.77	44	0	0	0	565	0	0	0	0
Kidney-RCC::S.78	0	0	0	0	477	0	126	0	83
Kidney-RCC::S.79	0	0	238	0	768	0	196	0	0
Kidney-RCC::S.80	0	0	0	0	636	0	136	0	0
Kidney-RCC::S.81	0	0	0	0	159	0	384	0	0
Kidney-RCC::S.82	100	0	0	0	1059	0	0	0	0
Kidney-RCC::S.83	0	0	0	0	287	0	65	0	0
Kidney-RCC::S.84	0	0	0	0	366	0	104	105	0
Kidney-RCC::S.85	60	0	0	0	351	0	130	310	0
