Sample,DBS2,DBS4,DBS5,DBS6,DBS11
Lung-AdenoCA::S.1,77.95848820618207,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.2,193.79764683070889,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.3,1564.319668895271,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.4,482.5289989410763,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.5,499.42483368095253,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.6,40.765263168672625,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.7,0.0,0.0,0.0,1922.8844497163495,0.0
Lung-AdenoCA::S.8,1285.3631809636815,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.9,123.63511457016928,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.10,6466.757857269673,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,1844.0293262274452,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.12,348.48457952868546,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.13,942.7392817657734,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.14,2368.220488851441,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.15,2748.862262597859,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,574.0954317291936,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.17,494.293668793281,0.0,1073.4811979441945,0.0,0.0
Lung-AdenoCA::S.18,55.869788008961066,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,771.7874089979737,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.20,49.74644502774977,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.21,132.56572412328293,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.22,757.5874990880034,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.23,617.1338670271087,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.24,201.29365721561723,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.25,435.90595312452007,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.26,932.1412583582667,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.27,2595.2400300734976,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.28,955.0978249721468,0.0,0.0,578.0643687043063,0.0
Lung-AdenoCA::S.29,419.3993988942529,0.0,0.0,1460.3361602827788,0.0
Lung-AdenoCA::S.30,71.13208013902711,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.31,286.12972772900685,0.0,0.0,319.14779164831634,0.0
Lung-AdenoCA::S.32,901.4091405350418,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.33,105.65724247420371,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.34,24.079230673425716,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.35,4666.473023042136,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.36,1659.5766461339288,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.37,328.53931218762887,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.38,47.920232484741604,17.351486495135003,0.0,0.0,0.0
Lung-AdenoCA::S.39,52.392444119260354,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.40,155.33956486974634,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.41,28.84642215846025,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.42,93.04882528731088,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.43,405.0359736260659,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.44,390.97214960723835,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.45,186.15925230088732,0.0,86.23693599738903,0.0,0.0
Lung-AdenoCA::S.46,103.97067741981952,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.47,213.56525390601996,0.0,0.0,168.60817888855405,0.0
Lung-AdenoCA::S.48,588.5380872322258,0.0,206.01741976872242,0.0,0.0
Lung-AdenoCA::S.49,153.66025201362837,0.0,0.0,370.0286527545097,0.0
Lung-AdenoCA::S.50,96.68371941288174,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.51,95.98836658747729,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.52,28.902342728135753,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.53,65.81887482286899,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.54,803.4763806253981,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.55,92.4169259313729,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.56,521.0159874957309,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.57,709.6303331215474,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.58,1125.4950843232589,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.59,5551.09397416482,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.60,396.94523327037933,0.0,178.11666211563352,0.0,0.0
Lung-AdenoCA::S.61,497.3063693307528,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.62,470.6790714279973,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.63,1617.1965035407795,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.64,47.330327325597715,0.0,0.0,137.7529452130152,0.0
Lung-AdenoCA::S.65,29.830964978883873,0.0,0.0,88.78377640782993,0.0
Lung-AdenoCA::S.66,1025.7587222515547,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.67,0.0,0.0,0.0,0.0,37.65889114086155
Lung-AdenoCA::S.68,271.4253848453933,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.69,430.8936413431694,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.70,91.8804212765057,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.71,694.8181388395001,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.72,5343.7808572935965,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.73,52.010841383928785,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.74,34.05956397483707,0.0,64.88411521909093,0.0,0.0
Lung-AdenoCA::S.75,3220.079946067289,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.76,9.471719247408217,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.77,418.52112873974664,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.78,1092.6623518386377,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.79,564.0883745182678,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.80,2686.421229539763,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.81,709.6643292241026,0.0,0.0,484.4264908991377,0.0
Lung-AdenoCA::S.82,0.0,0.0,0.0,0.0,179.44075883982313
Lung-AdenoCA::S.83,3819.114660701588,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.84,36.18019825527552,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.85,0.0,0.0,381.84940191562566,0.0,0.0
Lung-AdenoCA::S.86,1820.7665917730565,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.87,2165.2093351460917,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.88,630.2506423680386,0.0,0.0,417.54939179245486,0.0
Lung-AdenoCA::S.89,381.17315368583724,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.90,11.264600012922147,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.91,479.812978447017,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.92,573.2307409816327,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.93,92.56741024854202,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.94,1154.1524166095817,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.95,1549.9618669373094,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.96,0.0,0.0,0.0,846.8051670342303,0.0
Lung-AdenoCA::S.97,5482.954449538798,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.98,4864.516208146341,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.99,1013.2774589796397,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.100,4156.319391519358,0.0,0.0,0.0,0.0
