Sample Names	MutationType	DBS1	DBS6
Skin-Melanoma::S.1	AC>CA	1.0	0.0
Skin-Melanoma::S.1	AC>CG	1.0	0.0
Skin-Melanoma::S.1	AC>CT	1.0	0.0
Skin-Melanoma::S.1	AC>GA	1.0	0.0
Skin-Melanoma::S.1	AC>GG	1.0	0.0
Skin-Melanoma::S.1	AC>GT	1.0	0.0
Skin-Melanoma::S.1	AC>TA	1.0	0.0
Skin-Melanoma::S.1	AC>TG	1.0	0.0
Skin-Melanoma::S.1	AC>TT	1.0	0.0
Skin-Melanoma::S.1	AT>CA	1.0	0.0
Skin-Melanoma::S.1	AT>CC	1.0	0.0
Skin-Melanoma::S.1	AT>CG	1.0	0.0
Skin-Melanoma::S.1	AT>GA	1.0	0.0
Skin-Melanoma::S.1	AT>GC	1.0	0.0
Skin-Melanoma::S.1	AT>TA	1.0	0.0
Skin-Melanoma::S.1	CC>AA	1.0	0.0
Skin-Melanoma::S.1	CC>AG	1.0	0.0
Skin-Melanoma::S.1	CC>AT	1.0	0.0
Skin-Melanoma::S.1	CC>GA	1.0	0.0
Skin-Melanoma::S.1	CC>GG	1.0	0.0
Skin-Melanoma::S.1	CC>GT	1.0	0.0
Skin-Melanoma::S.1	CC>TA	1.0	0.0
Skin-Melanoma::S.1	CC>TG	1.0	0.0
Skin-Melanoma::S.1	CC>TT	1.0	0.0
Skin-Melanoma::S.1	CG>AT	1.0	0.0
Skin-Melanoma::S.1	CG>GC	1.0	0.0
Skin-Melanoma::S.1	CG>GT	1.0	0.0
Skin-Melanoma::S.1	CG>TA	1.0	0.0
Skin-Melanoma::S.1	CG>TC	1.0	0.0
Skin-Melanoma::S.1	CG>TT	1.0	0.0
Skin-Melanoma::S.1	CT>AA	1.0	0.0
Skin-Melanoma::S.1	CT>AC	1.0	0.0
Skin-Melanoma::S.1	CT>AG	1.0	0.0
Skin-Melanoma::S.1	CT>GA	1.0	0.0
Skin-Melanoma::S.1	CT>GC	1.0	0.0
Skin-Melanoma::S.1	CT>GG	1.0	0.0
Skin-Melanoma::S.1	CT>TA	1.0	0.0
Skin-Melanoma::S.1	CT>TC	1.0	0.0
Skin-Melanoma::S.1	CT>TG	1.0	0.0
Skin-Melanoma::S.1	GC>AA	1.0	0.0
Skin-Melanoma::S.1	GC>AG	1.0	0.0
Skin-Melanoma::S.1	GC>AT	1.0	0.0
Skin-Melanoma::S.1	GC>CA	1.0	0.0
Skin-Melanoma::S.1	GC>CG	1.0	0.0
Skin-Melanoma::S.1	GC>TA	1.0	0.0
Skin-Melanoma::S.1	TA>AT	1.0	0.0
Skin-Melanoma::S.1	TA>CG	1.0	0.0
Skin-Melanoma::S.1	TA>CT	1.0	0.0
Skin-Melanoma::S.1	TA>GC	1.0	0.0
Skin-Melanoma::S.1	TA>GG	1.0	0.0
Skin-Melanoma::S.1	TA>GT	1.0	0.0
Skin-Melanoma::S.1	TC>AA	1.0	0.0
Skin-Melanoma::S.1	TC>AG	1.0	0.0
Skin-Melanoma::S.1	TC>AT	1.0	0.0
Skin-Melanoma::S.1	TC>CA	1.0	0.0
