,ID1,ID2,ID5,ID14
ColoRect-AdenoCA::MSI-H.S.1,7883.0,28245.0,2059.0,0.0
ColoRect-AdenoCA::MSI-H.S.2,14871.0,17983.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.3,27380.0,39011.0,2253.0,0.0
ColoRect-AdenoCA::MSI-H.S.4,2806.0,56955.0,3675.0,0.0
ColoRect-AdenoCA::MSI-H.S.5,8307.0,82449.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.6,2516.0,127062.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.7,21776.0,8166.0,877.0,0.0
ColoRect-AdenoCA::MSI-H.S.8,7840.0,21965.0,5293.0,0.0
ColoRect-AdenoCA::MSI-H.S.9,35768.0,62063.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.10,3524.0,79700.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.11,46447.0,219248.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.12,11394.0,34803.0,3830.0,0.0
ColoRect-AdenoCA::MSI-H.S.13,21119.0,63929.0,0.0,0.0
ColoRect-AdenoCA::MSI-H.S.14,6442.0,34637.0,3542.0,0.0
ColoRect-AdenoCA::MSI-H.S.15,71849.0,75803.0,0.0,0.0
