,ID1,ID2,ID3,ID5,ID6,ID8,ID9,ID11
Liver-HCC::S.1,35.0,0.0,89.0,241.0,0.0,0.0,77.0,0.0
Liver-HCC::S.2,265.0,0.0,57.0,346.0,0.0,102.0,0.0,0.0
Liver-HCC::S.3,92.0,0.0,0.0,205.0,0.0,85.0,0.0,0.0
Liver-HCC::S.4,52.0,0.0,68.0,96.0,80.0,82.0,0.0,0.0
Liver-HCC::S.5,442.0,0.0,286.0,145.0,97.0,66.0,0.0,0.0
Liver-HCC::S.6,196.0,0.0,150.0,166.0,0.0,111.0,0.0,27.0
Liver-HCC::S.7,103.0,0.0,0.0,114.0,0.0,609.0,0.0,0.0
Liver-HCC::S.8,94.0,0.0,54.0,167.0,60.0,136.0,66.0,15.0
Liver-HCC::S.9,34.0,0.0,0.0,138.0,0.0,0.0,115.0,34.0
Liver-HCC::S.10,72.0,25.0,85.0,374.0,0.0,24.0,0.0,0.0
Liver-HCC::S.11,70.0,0.0,0.0,63.0,0.0,50.0,0.0,0.0
Liver-HCC::S.12,259.0,18.0,82.0,494.0,0.0,77.0,0.0,0.0
Liver-HCC::S.13,108.0,33.0,52.0,157.0,45.0,82.0,66.0,0.0
Liver-HCC::S.14,356.0,0.0,190.0,124.0,0.0,47.0,0.0,0.0
Liver-HCC::S.15,36.0,0.0,84.0,329.0,0.0,0.0,50.0,0.0
Liver-HCC::S.16,384.0,0.0,225.0,120.0,0.0,0.0,0.0,0.0
Liver-HCC::S.17,10.0,0.0,254.0,217.0,0.0,0.0,0.0,0.0
Liver-HCC::S.18,77.0,0.0,295.0,67.0,0.0,20.0,0.0,0.0
Liver-HCC::S.19,142.0,0.0,119.0,255.0,0.0,65.0,0.0,0.0
Liver-HCC::S.20,471.0,0.0,240.0,272.0,0.0,41.0,0.0,0.0
Liver-HCC::S.21,198.0,0.0,79.0,193.0,0.0,0.0,62.0,25.0
Liver-HCC::S.22,77.0,24.0,65.0,159.0,0.0,56.0,0.0,0.0
Liver-HCC::S.23,162.0,94.0,636.0,253.0,0.0,34.0,0.0,0.0
Liver-HCC::S.24,52.0,50.0,124.0,475.0,106.0,0.0,0.0,0.0
Liver-HCC::S.25,243.0,0.0,276.0,296.0,0.0,48.0,0.0,0.0
Liver-HCC::S.26,148.0,0.0,162.0,104.0,0.0,54.0,56.0,22.0
Liver-HCC::S.27,146.0,0.0,92.0,32.0,0.0,118.0,0.0,0.0
Liver-HCC::S.28,169.0,0.0,194.0,85.0,0.0,20.0,0.0,0.0
Liver-HCC::S.29,40.0,0.0,104.0,348.0,0.0,155.0,0.0,0.0
Liver-HCC::S.30,155.0,0.0,50.0,130.0,0.0,194.0,0.0,0.0
Liver-HCC::S.31,807.0,0.0,120.0,205.0,0.0,32.0,0.0,0.0
Liver-HCC::S.32,99.0,0.0,30.0,172.0,0.0,17.0,0.0,0.0
Liver-HCC::S.33,16.0,19.0,125.0,55.0,0.0,92.0,102.0,37.0
Liver-HCC::S.34,260.0,67.0,289.0,0.0,0.0,37.0,0.0,0.0
Liver-HCC::S.35,841.0,32.0,166.0,158.0,0.0,115.0,0.0,0.0
Liver-HCC::S.36,149.0,0.0,100.0,162.0,0.0,239.0,0.0,18.0
Liver-HCC::S.37,257.0,0.0,38.0,54.0,0.0,139.0,79.0,24.0
Liver-HCC::S.38,40.0,33.0,195.0,59.0,52.0,70.0,0.0,0.0
Liver-HCC::S.39,127.0,33.0,0.0,168.0,0.0,170.0,35.0,0.0
Liver-HCC::S.40,218.0,0.0,155.0,109.0,0.0,66.0,0.0,0.0
Liver-HCC::S.41,249.0,35.0,40.0,278.0,0.0,82.0,0.0,0.0
Liver-HCC::S.42,12.0,27.0,121.0,0.0,0.0,79.0,0.0,0.0
Liver-HCC::S.43,605.0,0.0,53.0,0.0,0.0,83.0,56.0,0.0
Liver-HCC::S.44,103.0,21.0,115.0,97.0,0.0,0.0,52.0,0.0
Liver-HCC::S.45,209.0,29.0,83.0,254.0,0.0,49.0,59.0,0.0
Liver-HCC::S.46,147.0,0.0,0.0,310.0,0.0,59.0,0.0,0.0
Liver-HCC::S.47,163.0,0.0,85.0,303.0,18.0,0.0,0.0,0.0
Liver-HCC::S.48,250.0,0.0,77.0,130.0,0.0,18.0,46.0,0.0
Liver-HCC::S.49,1435.0,0.0,221.0,181.0,0.0,135.0,0.0,0.0
Liver-HCC::S.50,92.0,76.0,372.0,322.0,25.0,0.0,0.0,52.0
Liver-HCC::S.51,139.0,0.0,537.0,242.0,0.0,52.0,0.0,0.0
Liver-HCC::S.52,84.0,0.0,117.0,97.0,22.0,64.0,0.0,0.0
Liver-HCC::S.53,36.0,27.0,132.0,88.0,0.0,92.0,41.0,0.0
Liver-HCC::S.54,306.0,0.0,75.0,146.0,0.0,85.0,0.0,0.0
Liver-HCC::S.55,17.0,0.0,200.0,100.0,0.0,55.0,0.0,0.0
Liver-HCC::S.56,137.0,49.0,209.0,84.0,0.0,55.0,0.0,0.0
Liver-HCC::S.57,102.0,15.0,111.0,153.0,0.0,44.0,44.0,121.0
Liver-HCC::S.58,96.0,65.0,81.0,188.0,0.0,27.0,0.0,0.0
Liver-HCC::S.59,192.0,0.0,181.0,139.0,0.0,79.0,0.0,0.0
Liver-HCC::S.60,179.0,0.0,58.0,125.0,0.0,142.0,0.0,0.0
Liver-HCC::S.61,282.0,0.0,35.0,241.0,59.0,98.0,0.0,113.0
Liver-HCC::S.62,115.0,0.0,0.0,402.0,0.0,73.0,0.0,0.0
Liver-HCC::S.63,277.0,90.0,226.0,0.0,0.0,153.0,124.0,0.0
Liver-HCC::S.64,105.0,0.0,0.0,524.0,0.0,186.0,0.0,0.0
Liver-HCC::S.65,94.0,16.0,0.0,265.0,30.0,86.0,92.0,0.0
Liver-HCC::S.66,170.0,0.0,96.0,309.0,0.0,0.0,0.0,0.0
Liver-HCC::S.67,90.0,0.0,165.0,107.0,0.0,257.0,0.0,37.0
Liver-HCC::S.68,280.0,77.0,29.0,188.0,0.0,34.0,0.0,0.0
Liver-HCC::S.69,254.0,0.0,0.0,138.0,0.0,82.0,0.0,0.0
Liver-HCC::S.70,19.0,11.0,228.0,112.0,0.0,72.0,0.0,0.0
Liver-HCC::S.71,117.0,36.0,63.0,204.0,30.0,133.0,0.0,49.0
Liver-HCC::S.72,137.0,0.0,79.0,164.0,34.0,66.0,0.0,0.0
Liver-HCC::S.73,91.0,13.0,154.0,172.0,0.0,48.0,0.0,0.0
Liver-HCC::S.74,415.0,0.0,44.0,261.0,44.0,83.0,0.0,0.0
Liver-HCC::S.75,89.0,0.0,280.0,78.0,0.0,51.0,0.0,0.0
Liver-HCC::S.76,160.0,0.0,0.0,252.0,23.0,42.0,0.0,0.0
Liver-HCC::S.77,187.0,14.0,40.0,186.0,0.0,129.0,66.0,29.0
Liver-HCC::S.78,42.0,33.0,187.0,115.0,0.0,192.0,0.0,0.0
Liver-HCC::S.79,329.0,31.0,151.0,243.0,0.0,56.0,0.0,0.0
Liver-HCC::S.80,91.0,0.0,68.0,154.0,0.0,20.0,0.0,0.0
Liver-HCC::S.81,19.0,43.0,85.0,52.0,0.0,41.0,99.0,23.0
Liver-HCC::S.82,108.0,18.0,384.0,234.0,0.0,133.0,0.0,0.0
Liver-HCC::S.83,30.0,0.0,0.0,126.0,0.0,42.0,0.0,0.0
Liver-HCC::S.84,55.0,0.0,159.0,0.0,0.0,33.0,54.0,0.0
Liver-HCC::S.85,230.0,0.0,216.0,60.0,0.0,0.0,0.0,0.0
Liver-HCC::S.86,38.0,0.0,0.0,128.0,0.0,114.0,53.0,0.0
Liver-HCC::S.87,44.0,0.0,242.0,100.0,0.0,141.0,0.0,0.0
Liver-HCC::S.88,406.0,20.0,180.0,265.0,0.0,91.0,0.0,0.0
Liver-HCC::S.89,56.0,0.0,92.0,108.0,0.0,146.0,51.0,27.0
Liver-HCC::S.90,19.0,22.0,0.0,123.0,0.0,57.0,0.0,46.0
Liver-HCC::S.91,324.0,36.0,158.0,256.0,0.0,0.0,0.0,0.0
Liver-HCC::S.92,49.0,0.0,59.0,142.0,0.0,14.0,0.0,0.0
Liver-HCC::S.93,139.0,0.0,163.0,119.0,0.0,60.0,0.0,0.0
Liver-HCC::S.94,0.0,20.0,209.0,91.0,0.0,228.0,60.0,33.0
Liver-HCC::S.95,161.0,43.0,145.0,130.0,0.0,102.0,51.0,39.0
Liver-HCC::S.96,30.0,0.0,0.0,303.0,0.0,93.0,0.0,0.0
Liver-HCC::S.97,32.0,24.0,290.0,113.0,0.0,23.0,0.0,0.0
Liver-HCC::S.98,23.0,0.0,242.0,383.0,0.0,43.0,0.0,0.0
Liver-HCC::S.99,41.0,27.0,85.0,176.0,0.0,265.0,0.0,0.0
