Samples	ID1	ID2	ID3	ID5	ID6	ID7	ID8	ID14
Stomach-AdenoCA::MSI-H.S.1	16738	84106	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.2	20666	90359	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.3	6660	30004	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.4	16726	104006	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.5	0	104680	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.6	18918	69396	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.7	14379	65166	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.8	10959	60236	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.9	34591	104559	0	0	0	0	0	0
Stomach-AdenoCA::MSI-H.S.10	25301	24877	0	0	0	0	0	0
