,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,9253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34910.0
ColoRect-AdenoCA::MSI-H.S.2,20967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55855.0
ColoRect-AdenoCA::MSI-H.S.3,15519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53503.0
ColoRect-AdenoCA::MSI-H.S.4,10800.0,55757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31482.0
ColoRect-AdenoCA::MSI-H.S.5,8459.0,37152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63135.0
ColoRect-AdenoCA::MSI-H.S.6,20953.0,43645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61668.0
ColoRect-AdenoCA::MSI-H.S.7,25110.0,25425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38301.0
ColoRect-AdenoCA::MSI-H.S.8,4793.0,52774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62737.0
ColoRect-AdenoCA::MSI-H.S.9,13864.0,33516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78878.0
ColoRect-AdenoCA::MSI-H.S.10,10244.0,62716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43135.0
ColoRect-AdenoCA::MSI-H.S.11,2646.0,12021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8298.0
ColoRect-AdenoCA::MSI-H.S.12,17348.0,52425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61163.0
ColoRect-AdenoCA::MSI-H.S.13,16091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56096.0
ColoRect-AdenoCA::MSI-H.S.14,19328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35746.0
ColoRect-AdenoCA::MSI-H.S.15,51721.0,27229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21538.0
ColoRect-AdenoCA::MSI-H.S.16,0.0,36607.0,0.0,0.0,25353.0,0.0,0.0,0.0,0.0,26216.0,0.0,67288.0
