Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11
Breast-AdenoCA::S.1	30	117	0	0	0	121	0	0
Breast-AdenoCA::S.2	176	0	0	0	0	188	98	0
Breast-AdenoCA::S.3	35	0	0	0	0	165	57	0
Breast-AdenoCA::S.4	118	0	0	0	281	278	0	0
Breast-AdenoCA::S.5	80	0	0	0	301	0	0	0
Breast-AdenoCA::S.6	22	0	0	0	0	55	37	0
Breast-AdenoCA::S.7	70	0	346	0	0	262	366	0
Breast-AdenoCA::S.8	0	0	0	0	775	0	0	0
Breast-AdenoCA::S.9	415	0	0	0	205	0	0	0
Breast-AdenoCA::S.10	109	0	0	0	0	203	95	0
Breast-AdenoCA::S.11	10	0	0	0	0	34	29	0
Breast-AdenoCA::S.12	86	0	0	0	0	455	0	0
Breast-AdenoCA::S.13	129	0	0	0	390	0	264	0
Breast-AdenoCA::S.14	399	116	0	0	0	801	0	0
Breast-AdenoCA::S.15	0	0	0	0	0	220	149	0
Breast-AdenoCA::S.16	55	0	0	0	351	210	135	0
Breast-AdenoCA::S.17	190	0	0	0	180	122	83	0
Breast-AdenoCA::S.18	0	94	222	0	0	0	89	0
Breast-AdenoCA::S.19	0	170	204	0	0	243	0	0
Breast-AdenoCA::S.20	53	0	0	0	0	162	55	0
Breast-AdenoCA::S.21	46	34	0	0	0	76	0	0
Breast-AdenoCA::S.22	0	47	0	180	0	134	0	0
Breast-AdenoCA::S.23	346	0	0	0	547	0	0	0
Breast-AdenoCA::S.24	209	0	0	0	0	213	92	0
Breast-AdenoCA::S.25	0	148	0	0	694	382	0	0
Breast-AdenoCA::S.26	31	0	0	0	0	0	184	0
Breast-AdenoCA::S.27	41	56	0	0	0	0	248	0
Breast-AdenoCA::S.28	118	0	0	0	0	303	0	0
Breast-AdenoCA::S.29	144	31	0	0	0	86	52	0
Breast-AdenoCA::S.30	108	0	0	0	0	464	0	0
Breast-AdenoCA::S.31	0	0	0	102	0	142	61	0
Breast-AdenoCA::S.32	0	0	0	0	969	530	0	0
Breast-AdenoCA::S.33	0	13	0	0	0	44	22	0
Breast-AdenoCA::S.34	64	99	0	0	0	103	0	0
Breast-AdenoCA::S.35	0	0	0	0	505	262	0	0
Breast-AdenoCA::S.36	112	46	0	224	70	0	0	0
Breast-AdenoCA::S.37	26	0	0	0	0	86	124	0
Breast-AdenoCA::S.38	185	111	0	0	0	208	145	0
Breast-AdenoCA::S.39	31	0	160	192	0	0	0	0
Breast-AdenoCA::S.40	332	0	0	0	0	155	162	0
Breast-AdenoCA::S.41	0	0	0	0	163	93	0	0
Breast-AdenoCA::S.42	38	31	0	0	0	39	30	0
Breast-AdenoCA::S.43	54	51	0	142	176	0	0	0
Breast-AdenoCA::S.44	121	0	0	0	0	54	99	0
Breast-AdenoCA::S.45	42	64	0	0	121	83	0	0
Breast-AdenoCA::S.46	23	48	0	50	76	0	0	0
Breast-AdenoCA::S.47	63	0	0	0	66	83	53	0
Breast-AdenoCA::S.48	200	0	0	0	0	70	57	0
Breast-AdenoCA::S.49	40	20	0	0	0	127	0	0
Breast-AdenoCA::S.50	134	0	0	0	0	243	0	0
Breast-AdenoCA::S.51	313	179	261	0	357	0	0	0
Breast-AdenoCA::S.52	17	0	0	0	0	11	0	0
Breast-AdenoCA::S.53	173	191	0	0	201	93	0	0
Breast-AdenoCA::S.54	0	0	0	0	221	0	183	0
Breast-AdenoCA::S.55	0	0	0	0	0	156	0	0
Breast-AdenoCA::S.56	39	0	0	0	245	106	0	0
Breast-AdenoCA::S.57	32	93	0	0	0	312	0	0
Breast-AdenoCA::S.58	74	54	0	0	0	0	115	0
Breast-AdenoCA::S.59	29	0	0	142	129	111	0	0
Breast-AdenoCA::S.60	37	28	0	0	148	285	81	0
Breast-AdenoCA::S.61	60	14	0	0	0	0	0	0
Breast-AdenoCA::S.62	0	48	0	0	0	174	77	0
Breast-AdenoCA::S.63	117	0	0	0	501	414	0	0
Breast-AdenoCA::S.64	0	135	0	0	0	0	224	0
Breast-AdenoCA::S.65	187	0	377	0	0	230	0	0
Breast-AdenoCA::S.66	121	0	0	117	0	143	0	0
Breast-AdenoCA::S.67	0	0	0	173	123	180	82	0
Breast-AdenoCA::S.68	13	19	0	0	45	41	0	0
Breast-AdenoCA::S.69	48	81	0	0	0	159	101	0
Breast-AdenoCA::S.70	0	66	0	0	0	115	0	0
Breast-AdenoCA::S.71	0	0	358	0	0	0	0	0
Breast-AdenoCA::S.72	0	0	0	0	513	196	0	0
Breast-AdenoCA::S.73	42	131	0	0	0	109	36	0
Breast-AdenoCA::S.74	179	103	0	138	0	0	93	0
Breast-AdenoCA::S.75	37	0	0	0	0	177	232	0
Breast-AdenoCA::S.76	105	0	0	0	0	43	35	0
Breast-AdenoCA::S.77	29	70	0	0	0	0	119	0
Breast-AdenoCA::S.78	119	245	0	0	118	0	0	0
Breast-AdenoCA::S.79	42	33	0	0	200	60	79	0
Breast-AdenoCA::S.80	88	151	0	0	0	82	49	0
Breast-AdenoCA::S.81	65	54	229	0	0	0	418	0
Breast-AdenoCA::S.82	0	0	0	0	929	0	0	0
Breast-AdenoCA::S.83	42	0	0	0	0	49	37	0
Breast-AdenoCA::S.84	64	0	0	0	0	119	81	0
Breast-AdenoCA::S.85	0	66	591	0	0	0	0	0
Breast-AdenoCA::S.86	42	0	0	0	404	217	0	0
Breast-AdenoCA::S.87	43	0	0	0	0	149	70	0
Breast-AdenoCA::S.88	37	168	0	107	0	0	0	0
Breast-AdenoCA::S.89	147	0	0	0	0	196	75	0
Breast-AdenoCA::S.90	0	89	0	0	0	289	326	0
Breast-AdenoCA::S.91	11	86	0	0	0	0	22	0
Breast-AdenoCA::S.92	55	65	0	0	0	345	0	0
Breast-AdenoCA::S.93	28	0	0	0	0	0	0	0
Breast-AdenoCA::S.94	0	82	0	0	856	0	334	0
Breast-AdenoCA::S.95	262	0	0	0	688	0	0	0
Breast-AdenoCA::S.96	46	53	0	0	0	135	131	0
Breast-AdenoCA::S.97	429	0	707	0	0	272	0	0
Breast-AdenoCA::S.98	0	0	0	0	863	0	0	0
Breast-AdenoCA::S.99	53	0	0	0	81	127	0	0
Breast-AdenoCA::S.100	63	0	0	121	79	189	0	0
