Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40	SBS44
ColoRect-AdenoCA::MSI-H.S.1	4647	23277	0	0	0	0	0	0	0	0	0	36235
ColoRect-AdenoCA::MSI-H.S.2	16128	20676	0	0	0	0	0	0	0	0	0	43849
ColoRect-AdenoCA::MSI-H.S.3	14426	13947	0	0	0	0	0	0	0	0	0	35701
ColoRect-AdenoCA::MSI-H.S.4	12584	42818	0	0	0	0	0	0	0	0	0	39927
ColoRect-AdenoCA::MSI-H.S.5	8270	21724	0	0	0	0	0	0	0	0	0	83738
ColoRect-AdenoCA::MSI-H.S.6	18333	43456	0	0	0	0	0	0	0	0	0	69308
ColoRect-AdenoCA::MSI-H.S.7	27108	25048	0	0	0	0	0	0	0	0	0	37902
ColoRect-AdenoCA::MSI-H.S.8	4089	48930	0	0	0	0	0	0	0	0	0	59077
ColoRect-AdenoCA::MSI-H.S.9	11056	35906	0	0	0	0	0	0	0	0	0	80386
ColoRect-AdenoCA::MSI-H.S.10	8700	57059	0	0	0	0	0	0	0	0	0	57677
ColoRect-AdenoCA::MSI-H.S.11	1739	11250	0	0	0	0	0	0	0	0	0	10501
ColoRect-AdenoCA::MSI-H.S.12	14842	43077	0	0	0	0	0	0	0	0	0	69656
ColoRect-AdenoCA::MSI-H.S.13	13114	22447	0	0	0	0	0	0	0	0	0	68110
ColoRect-AdenoCA::MSI-H.S.14	15417	13475	0	0	0	0	0	0	0	0	0	25510
ColoRect-AdenoCA::MSI-H.S.15	27379	43313	0	0	20737	0	0	0	0	0	0	0
ColoRect-AdenoCA::MSI-H.S.16	9043	17591	0	0	0	0	0	0	0	32933	0	83564
