Sample,SBS1,SBS2,SBS5,SBS13,SBS22,SBS29,SBS40,SBS41
Kidney-RCC::S.1,383.25585172186004,0.0,0.0,242.04960240660736,0.0,0.0,5098.415133488115,0.0
Kidney-RCC::S.2,328.5096732648881,0.0,0.0,0.0,0.0,0.0,2836.7145930485935,0.0
Kidney-RCC::S.3,0.0,0.0,3404.8190985451124,0.0,0.0,0.0,5694.245734673197,0.0
Kidney-RCC::S.4,456.77872443845496,0.0,1119.4922276440782,0.0,0.0,0.0,3504.8274582091544,0.0
Kidney-RCC::S.5,81.93865654388364,0.0,1390.8747430221547,0.0,0.0,0.0,1666.5379887576712,606.0518707163833
Kidney-RCC::S.6,334.20372637768185,0.0,0.0,0.0,0.0,0.0,5641.633776294601,0.0
Kidney-RCC::S.7,0.0,0.0,1563.4659702058557,0.0,0.0,0.0,6667.7742720973465,0.0
Kidney-RCC::S.8,117.92803909073126,0.0,191.73877014362938,0.0,0.0,0.0,0.0,0.0
Kidney-RCC::S.9,550.6305100502163,0.0,0.0,0.0,0.0,0.0,1716.0189748400178,0.0
Kidney-RCC::S.10,206.16501351382533,121.7029920724024,0.0,0.0,0.0,0.0,6332.590015214687,537.177723762076
Kidney-RCC::S.11,59.99054028320622,57.49516304466776,918.0609105007749,0.0,0.0,0.0,1207.3492570389667,0.0
Kidney-RCC::S.12,153.35524163726984,0.0,0.0,0.0,0.0,0.0,4805.198935022204,0.0
Kidney-RCC::S.13,0.0,0.0,0.0,0.0,16099.658351263866,0.0,6939.909386216937,0.0
Kidney-RCC::S.14,237.71925759043103,0.0,0.0,0.0,0.0,0.0,5206.685814894641,0.0
Kidney-RCC::S.15,159.37932315022184,0.0,664.9973530267197,0.0,0.0,0.0,1566.916594350643,0.0
Kidney-RCC::S.16,571.5629300123913,0.0,0.0,0.0,0.0,0.0,2989.750095022392,0.0
Kidney-RCC::S.17,332.4799287157737,0.0,0.0,0.0,0.0,0.0,2559.7179571766565,223.18789532218767
Kidney-RCC::S.18,0.0,106.14939065746239,1637.0357602551194,0.0,0.0,0.0,2438.3133264778153,0.0
Kidney-RCC::S.19,190.32345281915528,0.0,0.0,0.0,0.0,0.0,2308.3244819283386,0.0
Kidney-RCC::S.20,283.01159956438244,0.0,1104.0114301889575,0.0,0.0,0.0,5811.702927304104,0.0
Kidney-RCC::S.21,332.81810113054877,0.0,0.0,0.0,0.0,0.0,6254.980666289237,576.6784500539272
Kidney-RCC::S.22,83.92328256673588,0.0,678.9091745396053,0.0,0.0,0.0,1689.56758132001,0.0
Kidney-RCC::S.23,129.11542286364906,0.0,943.514659367966,0.0,0.0,0.0,2894.4277507274523,660.9566974477771
Kidney-RCC::S.24,0.0,0.0,1429.6749287709897,0.0,0.0,0.0,2519.916400625045,297.08892984134246
Kidney-RCC::S.25,325.0053195338434,0.0,0.0,0.0,0.0,0.0,7367.997084961151,0.0
