MutationType	DBS1	DBS6
AC>CA	4.97126349633023e-05	0.00266057088135458
AC>CG	2.64067115298024e-05	0.000146031334089387
AC>CT	0.00429109062359289	0.000240051508092143
AC>GA	0.000127032286525943	0.0085818414142941
AC>GG	5.71145162254439e-05	0.000104022320173262
AC>GT	0.00296075250485663	0.000132028329450679
AC>TA	0.00120030506953647	0.010102167632211
AC>TG	0.000172043726633561	0.000449096363055717
AC>TT	0.0265067369522638	0.00318068248222089
AT>CA	0.000482122536263817	0.000114024466343768
AT>CC	0.000297075504710277	6.3913714029533e-05
AT>CG	3.98101181396264e-06	1.82039060303208e-06
AT>GA	0.0021205389561811	0.00162034767962196
AT>GC	0.000174044235082789	1.72036914132702e-05
AT>TA	0.00234059488559612	0.00220047215751131
CC>AA	1.06026947809055e-05	8.30178132151993e-18
CC>AG	1.23031269627489e-05	0.0616132204103166
CC>AT	0.0187047540002767	0.000438094002268161
CC>GA	0.00013403406609824	0.0355076189052961
CC>GG	9.82249648570681e-05	0.0181038845686158
CC>GT	0.006921759234327	0.00344073828265405
CC>TA	0.0104026439359828	0.00222047644985232
CC>TG	0.00255064827276501	0.00687147441913758
CC>TT	0.858218124718579	8.30178132151993e-18
CG>AT	6.03153297442078e-07	0.00754161821256148
CG>GC	5.42137789740641e-06	0.00059012662405985
CG>GT	1.70043218184334e-06	0.00322069106690292
CG>TA	0.000356090503962487	8.30178132151993e-18
CG>TC	1.2603203230133e-05	0.00891191223792079
CG>TT	0.000124031523852102	0.0187040133388461
CT>AA	2.77070420218003e-05	0.00448096148438667
CT>AC	0.000419106520113152	0.00195041850324866
CT>AG	2.85072454014913e-18	0.0395084773734985
CT>GA	8.92226768355445e-05	0.00734157528915136
CT>GC	0.000252064064602659	0.00179038416452057
CT>GG	1.08027456258283e-05	0.00681146154211454
CT>TA	0.00781198549423322	8.84189721472725e-05
CT>TC	0.0105026693584441	8.30178132151993e-18
CT>TG	0.00224056946313475	0.0112024037109667
GC>AA	0.00158040167488969	8.30178132151993e-18
GC>AG	0.000107027202033669	0.00366078549840518
GC>AT	4.87123807386885e-05	0.00188040348005512
GC>CA	5.76146433377507e-05	0.00869186502216966
GC>CG	5.1513092567607e-06	9.04194013813737e-18
GC>TA	8.27210243755553e-07	0.000829177917534942
TA>AT	0.000505128383429933	0.00857183926812359
TA>CG	7.55191939583364e-06	0.000259055585816104
TA>CT	0.000702178465678837	0.0261056015050205
TA>GC	2.01051099147359e-05	0.000264056658901357
TA>GG	7.03178719903451e-05	0.00021804678651703
TA>GT	0.00115029235830579	6.25134135656621e-05
TC>AA	1.09027710482896e-05	0.0458098294609173
TC>AG	3.09078555405642e-06	0.00828177702917892
TC>AT	0.00246062539254977	0.000594127482528053
TC>CA	4.42112367279268e-06	0.011802532481197
TC>CG	3.3008389412253e-05	0.000862184999897612
TC>CT	0.00190048302676608	0.00939201525410508
TC>GA	6.42163212202013e-05	0.00734157528915136
TC>GG	0.000411104486316242	0.0015103240717464
TC>GT	0.00510129654553001	8.30178132151993e-18
TG>AA	0.00137034828772081	0.0255054727347902
TG>AC	0.000237060251233454	0.010102167632211
TG>AT	0.00241061268131908	0.221047430368182
TG>CA	0.00027907092866723	0.0114024466343768
TG>CC	0.000103026185135214	0.00789169332852919
TG>CT	0.0018504703155354	0.275059019688914
TG>GA	0.000407103469417787	0.00744159675085642
TG>GC	8.89226005681604e-05	0.00560120185548332
TG>GT	0.00190048302676608	0.0274058805071863
TT>AA	0.00549139569312937	0.000193041421090765
TT>AC	0.000720183041721884	0.000128027470982476
TT>AG	0.000418106265888538	0.00212045498814726
TT>CA	0.000725184312844953	8.30178132151993e-18
TT>CC	0.00542137789740641	8.30178132151993e-18
TT>CG	8.38213040226304e-05	1.12024037109667e-05
TT>GA	0.00186047285778153	8.30178132151993e-18
TT>GC	0.00106026947809055	4.09087778373693e-07
TT>GG	0.0016104093016281	8.30178132151993e-18
