,DBS2,DBS4,DBS6,DBS9,DBS11
Breast-AdenoCA::S.1,28.0,68.0,0.0,40.0,0.0
Breast-AdenoCA::S.2,0.0,37.0,46.0,0.0,12.0
Breast-AdenoCA::S.3,117.0,27.0,28.0,49.0,0.0
Breast-AdenoCA::S.4,29.0,45.0,23.0,29.0,0.0
Breast-AdenoCA::S.5,21.0,32.0,37.0,53.0,0.0
Breast-AdenoCA::S.6,14.0,61.0,17.0,22.0,10.0
Breast-AdenoCA::S.7,34.0,47.0,19.0,0.0,0.0
Breast-AdenoCA::S.8,5.0,11.0,22.0,54.0,0.0
Breast-AdenoCA::S.9,11.0,47.0,16.0,48.0,0.0
Breast-AdenoCA::S.10,52.0,14.0,27.0,62.0,14.0
Breast-AdenoCA::S.11,14.0,62.0,0.0,38.0,17.0
Breast-AdenoCA::S.12,1.0,14.0,27.0,46.0,40.0
Breast-AdenoCA::S.13,57.0,15.0,44.0,51.0,0.0
Breast-AdenoCA::S.14,12.0,11.0,9.0,31.0,59.0
Breast-AdenoCA::S.15,22.0,108.0,36.0,25.0,10.0
Breast-AdenoCA::S.16,18.0,0.0,58.0,17.0,0.0
Breast-AdenoCA::S.17,59.0,27.0,28.0,27.0,0.0
Breast-AdenoCA::S.18,144.0,0.0,53.0,0.0,17.0
Breast-AdenoCA::S.19,24.0,24.0,2.0,0.0,0.0
Breast-AdenoCA::S.20,43.0,12.0,0.0,50.0,0.0
Breast-AdenoCA::S.21,6.0,34.0,50.0,49.0,15.0
Breast-AdenoCA::S.22,9.0,0.0,22.0,140.0,0.0
Breast-AdenoCA::S.23,29.0,38.0,53.0,57.0,0.0
Breast-AdenoCA::S.24,18.0,10.0,39.0,46.0,0.0
Breast-AdenoCA::S.25,27.0,21.0,0.0,67.0,0.0
Breast-AdenoCA::S.26,0.0,68.0,15.0,36.0,0.0
Breast-AdenoCA::S.27,14.0,34.0,9.0,16.0,9.0
Breast-AdenoCA::S.28,8.0,37.0,15.0,40.0,5.0
Breast-AdenoCA::S.29,46.0,9.0,0.0,132.0,0.0
Breast-AdenoCA::S.30,17.0,7.0,7.0,37.0,6.0
Breast-AdenoCA::S.31,5.0,43.0,0.0,0.0,135.0
Breast-AdenoCA::S.32,27.0,0.0,0.0,18.0,58.0
Breast-AdenoCA::S.33,14.0,18.0,18.0,16.0,0.0
Breast-AdenoCA::S.34,88.0,58.0,13.0,43.0,0.0
Breast-AdenoCA::S.35,2.0,33.0,21.0,53.0,14.0
Breast-AdenoCA::S.36,54.0,54.0,41.0,93.0,54.0
Breast-AdenoCA::S.37,39.0,35.0,25.0,53.0,10.0
Breast-AdenoCA::S.38,124.0,13.0,30.0,0.0,0.0
Breast-AdenoCA::S.39,223.0,8.0,0.0,0.0,0.0
Breast-AdenoCA::S.40,0.0,41.0,22.0,0.0,0.0
