Sample,DBS2,DBS4,DBS6,DBS9,DBS11
Breast-AdenoCA::S.1,28.36893528054743,67.51660155842391,3.756912737075739,40.20928990289792,3.1713057232410367
Breast-AdenoCA::S.2,0.7066171580484409,36.801917268875535,45.65043646455138,0.0,12.487050854496383
Breast-AdenoCA::S.3,116.77438570038471,27.090860461284116,27.912442641497247,49.420844327145915,6.63512538024476
Breast-AdenoCA::S.4,29.037602865860293,44.83805932155451,23.283295268249677,28.907470459554762,0.0
Breast-AdenoCA::S.5,21.157710130425126,31.94064490572034,36.61259606438818,52.77861145779202,0.0
Breast-AdenoCA::S.6,14.355493028920998,60.548947911021656,17.029692085677965,21.793580576125148,9.536939884545134
Breast-AdenoCA::S.7,34.13028633304177,46.740000936798296,19.15361056171664,4.472014159492396,0.0
Breast-AdenoCA::S.8,4.808019121783659,10.81175024305382,21.525684842779384,53.89094456593667,0.0
Breast-AdenoCA::S.9,10.810021772842338,47.007585604806614,15.635569970049824,47.87289960760865,2.626574704302319
Breast-AdenoCA::S.10,52.092392738007995,13.998086580410796,26.761710857915553,62.38019033618305,14.36722958250776
Breast-AdenoCA::S.11,14.21908905318101,62.00181675458746,6.311116621990375,38.499313225077444,17.22738023462513
Breast-AdenoCA::S.12,1.193579516052768,13.818091520784233,26.99971104519125,46.4374073643649,39.83226489860393
Breast-AdenoCA::S.13,57.44545895386234,15.277244350604667,43.71231217953366,51.22139947736546,0.0
Breast-AdenoCA::S.14,12.364705376681767,11.024415356915473,9.499949473876368,31.38576404501249,58.90074757422365
Breast-AdenoCA::S.15,21.854195080733223,107.9265996475034,35.877528518699,24.551157118402525,10.000030900843958
Breast-AdenoCA::S.16,17.655085579379016,4.230373233102367,57.95276026075767,17.201135005855622,0.0
Breast-AdenoCA::S.17,58.85298122923991,26.958488175853514,28.228142354892356,27.38899073121665,0.0
Breast-AdenoCA::S.18,143.59218576221357,4.306754005610039,52.742980639458324,0.0,17.18445282721188
Breast-AdenoCA::S.19,23.8086356550338,23.94531152091306,2.4914091508848912,3.524347421647723,0.0
Breast-AdenoCA::S.20,42.599276242547624,12.184965592182913,0.0,50.210052217592434,0.0
Breast-AdenoCA::S.21,5.617413103944128,34.476423063087815,49.700327173352726,48.703909442522026,15.221002571101218
Breast-AdenoCA::S.22,9.035323184570967,0.0,22.11243161209962,140.1807048828755,0.0
Breast-AdenoCA::S.23,29.062280375125805,38.10264840531103,52.501989003999306,56.65489073947964,6.823051841006862
